date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-02,ES_VC,,4906914.0,,4072162.0,,8979076.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,ES_VC,24177.0,4931091.0,1133.0,4073295.0,25310.0,9004386.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_VC,27155.0,4958247.0,1316.0,4074611.0,28471.0,9032858.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,ES_VC,17091.0,4975338.0,1013.0,4075624.0,18104.0,9050962.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_VC,21689.0,4997028.0,1212.0,4076836.0,22901.0,9073864.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_VC,20183.0,5017211.0,1275.0,4078111.0,21458.0,9095322.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_VC,28316.0,5045527.0,1427.0,4079538.0,9079391.0,9125065.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_VC,26781.0,5072308.0,1365.0,4080903.0,9095988.0,9153211.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_VC,43281.0,5115589.0,1856.0,4082759.0,9127478.0,9198348.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_VC,0.0,,0.0,,-9117919.0,80429.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,ES_VC,0.0,,0.0,,6498.0,86927.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,ES_VC,50623.0,5166212.0,1086.0,4083845.0,9163130.0,9250057.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_VC,38127.0,5204340.0,1157.0,4085002.0,39284.0,9289342.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_VC,5154751.0,5248294.0,4086312.0,4086464.0,9241063.0,9334758.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_VC,5193726.0,5288398.0,4087396.0,4087984.0,9281122.0,9376382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_VC,5224650.0,5323131.0,4086585.0,4089541.0,9311235.0,9412672.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_VC,-5223844.0,99287.0,-4085402.0,4139.0,-9309246.0,103426.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_VC,5254095.0,5354012.0,4085703.0,4090235.0,9339798.0,9444247.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_VC,28110.0,5382122.0,646.0,4090881.0,28756.0,9473003.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_VC,5312267.0,5412364.0,4086467.0,4091860.0,9398734.0,9504224.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_VC,5339865.0,5441015.0,4085668.0,4092972.0,9425533.0,9533987.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_VC,5365750.0,5466518.0,4084909.0,4093857.0,9450659.0,9560375.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_VC,-5365563.0,100955.0,-4082540.0,11317.0,-9448103.0,112272.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_VC,0.0,5489879.0,0.0,4094441.0,0.0,9584320.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_VC,-5387165.0,102714.0,-4061046.0,33395.0,-9448211.0,136109.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_VC,5430805.0,5533771.0,4050882.0,4095861.0,9481687.0,9629632.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_VC,5451886.0,5555997.0,4038080.0,4096532.0,9489966.0,9652529.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_VC,5471348.0,5576262.0,4029296.0,4097136.0,9500644.0,9673398.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_VC,-5469614.0,106648.0,-4021559.0,75577.0,-9491173.0,182225.0,,,,,,,,,,,,,,,,,,,,,,,,
