date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-03,FI,,67.0,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FI,62050.0,62117.0,,5.0,62055.0,62122.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,FI,53248.0,115365.0,4957.0,4962.0,58205.0,120327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,FI,41790.0,157155.0,14719.0,19681.0,56509.0,176836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,FI,22331.0,179486.0,33340.0,53021.0,55671.0,232507.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,FI,39386.0,218872.0,16883.0,69904.0,56269.0,288776.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,FI,78155.0,297027.0,6520.0,76424.0,84675.0,373451.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,FI,94435.0,391462.0,8593.0,85017.0,103028.0,476479.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,FI,110674.0,502136.0,3268.0,88285.0,113942.0,590421.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,FI,123330.0,625466.0,917.0,89202.0,124247.0,714668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,FI,126372.0,751838.0,1212.0,90414.0,127584.0,842252.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,FI,109513.0,861351.0,1012.0,91426.0,110525.0,952777.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,FI,132370.0,993721.0,1310.0,92736.0,133680.0,1086457.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,FI,167291.0,1161012.0,6535.0,99271.0,173826.0,1260283.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,FI,204353.0,1365365.0,30870.0,130141.0,235223.0,1495506.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-25,FI,191476.0,1556841.0,30319.0,160460.0,221795.0,1717301.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,FI,196909.0,1753750.0,17571.0,178031.0,214480.0,1931781.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,FI,205879.0,1959629.0,38966.0,216997.0,244845.0,2176626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,FI,164956.0,2124585.0,71966.0,288963.0,236922.0,2413548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-23,FI,181101.0,2305686.0,95803.0,384766.0,276904.0,2690452.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-30,FI,163874.0,2469560.0,110005.0,494771.0,273879.0,2964331.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-06,FI,178006.0,2647566.0,122017.0,616788.0,300023.0,3264354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13,FI,220082.0,2867648.0,125140.0,741928.0,345222.0,3609576.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,FI,226022.0,3093670.0,119036.0,860964.0,345058.0,3954634.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,FI,135432.0,3229102.0,127060.0,988024.0,262492.0,4217126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04,FI,151717.0,3380819.0,174375.0,1162399.0,326092.0,4543218.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-11,FI,108496.0,3489315.0,205735.0,1368134.0,314231.0,4857449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18,FI,84100.0,3573415.0,185687.0,1553821.0,269787.0,5127236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-25,FI,66518.0,3639933.0,206186.0,1760007.0,272704.0,5399940.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,FI,65228.0,3705161.0,208898.0,1968905.0,274126.0,5674066.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08,FI,65139.0,3770300.0,199510.0,2168415.0,264649.0,5938715.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15,FI,90318.0,3860618.0,215725.0,2384140.0,306043.0,6244758.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22,FI,96418.0,3957036.0,206723.0,2590863.0,303141.0,6547899.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-29,FI,64541.0,4021577.0,190206.0,2781069.0,254747.0,6802646.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-05,FI,37024.0,4058601.0,198799.0,2979868.0,235823.0,7038469.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-12,FI,26306.0,4084907.0,177210.0,3157078.0,203516.0,7241985.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,FI,22961.0,4107868.0,122964.0,3280042.0,147133.0,7389118.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,FI,20681.0,4128549.0,125047.0,3405089.0,160599.0,7549717.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-03,FI,18017.0,4146566.0,120882.0,3525971.0,159023.0,7708740.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-10,FI,18322.0,4164888.0,103209.0,3629180.0,139103.0,7847843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-17,FI,23350.0,4188238.0,97142.0,3726322.0,135416.0,7983259.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-24,FI,23252.0,4211490.0,78743.0,3805065.0,112191.0,8095450.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,FI,21388.0,4232878.0,81805.0,3886870.0,117052.0,8212502.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-07,FI,15266.0,4248144.0,54258.0,3941128.0,88083.0,8300585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-14,FI,13151.0,4261295.0,38446.0,3979574.0,86682.0,8387267.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-21,FI,13968.0,4275263.0,27709.0,4007283.0,97056.0,8484323.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-28,FI,0.0,,26547.0,4033830.0,118553.0,8602876.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-05,FI,0.0,,27510.0,4061340.0,155723.0,8758599.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-12,FI,0.0,,24057.0,4085397.0,185983.0,8944582.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-19,FI,0.0,,0.0,,284358.0,9228940.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-24,FI,0.0,,0.0,,203739.0,9432679.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-26,FI,0.0,,0.0,,1801.0,9434480.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-27,FI,0.0,,0.0,,2413.0,9436893.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-28,FI,0.0,,0.0,,52333.0,9489226.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-30,FI,0.0,,0.0,,55595.0,9544821.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FI,0.0,,0.0,,71998.0,9616819.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,FI,0.0,,0.0,,89046.0,9705865.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,FI,0.0,,0.0,,173.0,9706038.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,FI,0.0,,0.0,,242.0,9706280.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-05,FI,0.0,,0.0,,14263.0,9720543.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-06,FI,0.0,,0.0,,151516.0,9872059.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,FI,0.0,,0.0,,91849.0,9963908.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,FI,0.0,,0.0,,126898.0,10090806.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,FI,0.0,,0.0,,134510.0,10225316.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,FI,0.0,,0.0,,37423.0,10262739.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,FI,3432.0,4278695.0,6539.0,4091936.0,79953.0,10342692.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,FI,2661.0,4281356.0,3380.0,4095316.0,64728.0,10407420.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,FI,1591.0,4282947.0,2894.0,4098210.0,54489.0,10461909.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-25,FI,8208.0,4291155.0,19858.0,4118068.0,231438.0,10693347.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26,FI,1589.0,4292744.0,3387.0,4121455.0,53428.0,10746775.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,FI,1157.0,4293901.0,2709.0,4124164.0,37696.0,10784471.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,FI,1149.0,4295050.0,2758.0,4126922.0,38983.0,10823454.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,FI,1565.0,4296615.0,3473.0,4130395.0,43001.0,10866455.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,FI,1339.0,4297954.0,3173.0,4133568.0,39595.0,10906050.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,FI,90629.0,4388583.0,798.0,4134366.0,102135.0,11008185.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,FI,1333.0,4389916.0,738.0,4135104.0,10241.0,11018426.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-02,FI,1690.0,4391606.0,1705.0,4136809.0,20953.0,11039379.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,FI,1638.0,4393244.0,1934.0,4138743.0,23714.0,11063093.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,FI,38135.0,4431379.0,36258.0,4175001.0,115882.0,11178975.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-05,FI,2474.0,4433853.0,2948.0,4177949.0,39233.0,11218208.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,FI,2993.0,4436846.0,1407.0,4179356.0,20062.0,11238270.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-08,FI,20394.0,4457240.0,18837.0,4198193.0,54757.0,11293027.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,FI,1298.0,4458538.0,1347.0,4199540.0,16828.0,11309855.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,FI,0.0,,1653.0,4201193.0,15296.0,11325151.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-11,FI,0.0,,1736.0,4202929.0,15466.0,11340617.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,FI,0.0,,1748.0,4204677.0,14950.0,11355567.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-13,FI,0.0,,1235.0,4205912.0,12083.0,11367650.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-14,FI,0.0,,768.0,4206680.0,2862.0,11370512.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-15,FI,0.0,,154.0,4206834.0,950.0,11371462.0,,,,,,,,,,,,,,,,,,,,,,,,
