date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR,609.0,609.0,55.0,55.0,664.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR,683.0,1292.0,42.0,97.0,725.0,1389.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR,384.0,1676.0,19.0,116.0,403.0,1792.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR,443.0,2119.0,18.0,134.0,461.0,2253.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR,440.0,2559.0,23.0,157.0,463.0,2716.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR,1158.0,3717.0,64.0,221.0,1222.0,3938.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR,363.0,4080.0,30.0,251.0,393.0,4331.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR,404.0,4484.0,27.0,278.0,431.0,4762.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR,2109.0,6593.0,49.0,327.0,2158.0,6920.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR,7753.0,14346.0,128.0,455.0,7881.0,14801.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR,12454.0,26800.0,121.0,576.0,12575.0,27376.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR,29462.0,56262.0,157.0,733.0,29619.0,56995.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR,37143.0,93405.0,198.0,931.0,37341.0,94336.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR,11212.0,104617.0,77.0,1008.0,11289.0,105625.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR,6007.0,110624.0,27.0,1035.0,6034.0,111659.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR,39935.0,150559.0,221.0,1256.0,40156.0,151815.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR,62142.0,212701.0,306.0,1562.0,62448.0,214263.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR,65119.0,277820.0,431.0,1993.0,65550.0,279813.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR,83118.0,360938.0,1184.0,3177.0,84302.0,364115.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR,69009.0,429947.0,554.0,3731.0,69563.0,433678.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR,20217.0,450164.0,186.0,3917.0,20403.0,454081.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR,10986.0,461150.0,136.0,4053.0,11122.0,465203.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR,85903.0,547053.0,610.0,4663.0,86513.0,551716.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR,130600.0,677653.0,873.0,5536.0,131473.0,683189.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR,137549.0,815202.0,848.0,6384.0,138397.0,821586.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,FR,158403.0,973605.0,956.0,7340.0,159359.0,980945.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,FR,121065.0,1094670.0,841.0,8181.0,121906.0,1102851.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,FR,38480.0,1133150.0,208.0,8389.0,38688.0,1141539.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,FR,9745.0,1142895.0,165.0,8554.0,9910.0,1151449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,FR,78238.0,1221133.0,1701.0,10255.0,79939.0,1231388.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,FR,100377.0,1321510.0,3971.0,14226.0,104348.0,1335736.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,FR,107246.0,1428756.0,6861.0,21087.0,114107.0,1449843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,FR,124356.0,1553112.0,16427.0,37514.0,140783.0,1590626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,FR,92184.0,1645296.0,18735.0,56249.0,110919.0,1701545.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,FR,29122.0,1674418.0,4533.0,60782.0,33655.0,1735200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,FR,5234.0,1679652.0,1856.0,62638.0,7090.0,1742290.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,FR,53131.0,1732783.0,22301.0,84939.0,75432.0,1817722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,FR,72310.0,1805093.0,37327.0,122266.0,109637.0,1927359.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,FR,72305.0,1877398.0,39477.0,161743.0,111782.0,2039141.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,FR,82076.0,1959474.0,53787.0,215530.0,135863.0,2175004.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,FR,68233.0,2027707.0,47212.0,262742.0,115445.0,2290449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,FR,23030.0,2050737.0,11306.0,274048.0,34336.0,2324785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,FR,5191.0,2055928.0,5721.0,279769.0,10912.0,2335697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,FR,46839.0,2102767.0,48188.0,327957.0,95027.0,2430724.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,FR,66008.0,2168775.0,77269.0,405226.0,143277.0,2574001.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,FR,71017.0,2239792.0,82253.0,487479.0,153270.0,2727271.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,FR,87279.0,2327071.0,105323.0,592802.0,192602.0,2919873.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,FR,79325.0,2406396.0,77101.0,669903.0,156426.0,3076299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,FR,22381.0,2428777.0,19911.0,689814.0,42292.0,3118591.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,FR,5076.0,2433853.0,7456.0,697270.0,12532.0,3131123.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,FR,38098.0,2471951.0,77645.0,774915.0,115743.0,3246866.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,FR,50398.0,2522349.0,101778.0,876693.0,152176.0,3399042.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,FR,50534.0,2572883.0,107158.0,983851.0,157692.0,3556734.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,FR,69787.0,2642670.0,124031.0,1107882.0,193818.0,3750552.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,FR,65068.0,2707738.0,93465.0,1201347.0,158533.0,3909085.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,FR,18589.0,2726327.0,29001.0,1230348.0,47590.0,3956675.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,FR,3321.0,2729648.0,6290.0,1236638.0,9611.0,3966286.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,FR,37497.0,2767145.0,74253.0,1310891.0,111750.0,4078036.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,FR,53780.0,2820925.0,86511.0,1397402.0,140291.0,4218327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,FR,60018.0,2880943.0,83935.0,1481337.0,143953.0,4362280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,FR,100579.0,2981522.0,94360.0,1575697.0,194939.0,4557219.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,FR,113468.0,3094990.0,73837.0,1649534.0,187305.0,4744524.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,FR,52103.0,3147093.0,23528.0,1673062.0,75631.0,4820155.0,,,,,,,,,,,,,,,,,,,,,,,,
