date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_BRE,3.0,3.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_BRE,4.0,7.0,0.0,0.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_BRE,1.0,8.0,0.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_BRE,2.0,10.0,0.0,0.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_BRE,3.0,13.0,0.0,0.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_BRE,14.0,27.0,0.0,0.0,14.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_BRE,7.0,34.0,0.0,0.0,7.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_BRE,3.0,37.0,0.0,0.0,3.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_BRE,52.0,89.0,0.0,0.0,52.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_BRE,215.0,304.0,0.0,0.0,215.0,304.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_BRE,347.0,651.0,2.0,2.0,349.0,653.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_BRE,874.0,1525.0,1.0,3.0,875.0,1528.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_BRE,1240.0,2765.0,2.0,5.0,1242.0,2770.0,,,,,,,,,,,,,,,,,,,,,,,,
