date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_COR,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_COR,5.0,5.0,0.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_COR,0.0,5.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_COR,0.0,5.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_COR,2.0,7.0,0.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_COR,0.0,7.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_COR,0.0,7.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_COR,0.0,7.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_COR,1.0,8.0,0.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_COR,6.0,14.0,0.0,0.0,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_COR,55.0,69.0,1.0,1.0,56.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_COR,312.0,381.0,1.0,2.0,313.0,383.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_COR,298.0,679.0,8.0,10.0,306.0,689.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR_COR,80.0,759.0,1.0,11.0,81.0,770.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR_COR,34.0,793.0,0.0,11.0,34.0,804.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR_COR,146.0,939.0,0.0,11.0,146.0,950.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR_COR,211.0,1150.0,1.0,12.0,212.0,1162.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR_COR,209.0,1359.0,1.0,13.0,210.0,1372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR_COR,263.0,1622.0,1.0,14.0,264.0,1636.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR_COR,395.0,2017.0,0.0,14.0,395.0,2031.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR_COR,192.0,2209.0,2.0,16.0,194.0,2225.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR_COR,82.0,2291.0,1.0,17.0,83.0,2308.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR_COR,459.0,2750.0,3.0,20.0,462.0,2770.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR_COR,946.0,3696.0,1.0,21.0,947.0,3717.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR_COR,775.0,4471.0,5.0,26.0,780.0,4497.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,FR_COR,781.0,5252.0,1.0,27.0,782.0,5279.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,FR_COR,730.0,5982.0,1.0,28.0,731.0,6010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,FR_COR,234.0,6216.0,0.0,28.0,234.0,6244.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,FR_COR,137.0,6353.0,1.0,29.0,138.0,6382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,FR_COR,410.0,6763.0,2.0,31.0,412.0,6794.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,FR_COR,768.0,7531.0,10.0,41.0,778.0,7572.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,FR_COR,618.0,8149.0,56.0,97.0,674.0,8246.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,FR_COR,659.0,8808.0,219.0,316.0,878.0,9124.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,FR_COR,621.0,9429.0,225.0,541.0,846.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,FR_COR,199.0,9628.0,68.0,609.0,267.0,10237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,FR_COR,139.0,9767.0,11.0,620.0,150.0,10387.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,FR_COR,439.0,10206.0,142.0,762.0,581.0,10968.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,FR_COR,613.0,10819.0,198.0,960.0,811.0,11779.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,FR_COR,747.0,11566.0,165.0,1125.0,912.0,12691.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,FR_COR,682.0,12248.0,295.0,1420.0,977.0,13668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,FR_COR,636.0,12884.0,200.0,1620.0,836.0,14504.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,FR_COR,197.0,13081.0,81.0,1701.0,278.0,14782.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,FR_COR,108.0,13189.0,53.0,1754.0,161.0,14943.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,FR_COR,318.0,13507.0,348.0,2102.0,666.0,15609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,FR_COR,679.0,14186.0,583.0,2685.0,1262.0,16871.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,FR_COR,617.0,14803.0,431.0,3116.0,1048.0,17919.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,FR_COR,651.0,15454.0,453.0,3569.0,1104.0,19023.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,FR_COR,604.0,16058.0,423.0,3992.0,1027.0,20050.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,FR_COR,288.0,16346.0,101.0,4093.0,389.0,20439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,FR_COR,179.0,16525.0,77.0,4170.0,256.0,20695.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,FR_COR,372.0,16897.0,325.0,4495.0,697.0,21392.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,FR_COR,595.0,17492.0,603.0,5098.0,1198.0,22590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,FR_COR,564.0,18056.0,480.0,5578.0,1044.0,23634.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,FR_COR,534.0,18590.0,533.0,6111.0,1067.0,24701.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,FR_COR,311.0,18901.0,601.0,6712.0,912.0,25613.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,FR_COR,256.0,19157.0,181.0,6893.0,437.0,26050.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,FR_COR,71.0,19228.0,75.0,6968.0,146.0,26196.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,FR_COR,214.0,19442.0,377.0,7345.0,591.0,26787.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,FR_COR,342.0,19784.0,622.0,7967.0,964.0,27751.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,FR_COR,303.0,20087.0,566.0,8533.0,869.0,28620.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,FR_COR,351.0,20438.0,582.0,9115.0,933.0,29553.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,FR_COR,425.0,20863.0,548.0,9663.0,973.0,30526.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,FR_COR,355.0,21218.0,153.0,9816.0,508.0,31034.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,FR_COR,65.0,21283.0,116.0,9932.0,181.0,31215.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,FR_COR,357.0,21640.0,416.0,10348.0,773.0,31988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,FR_COR,529.0,22169.0,630.0,10978.0,1159.0,33147.0,,,,,,,,,,,,,,,,,,,,,,,,
