date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_CVL,4.0,4.0,1.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_CVL,20.0,24.0,0.0,1.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_CVL,11.0,35.0,0.0,1.0,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_CVL,3.0,38.0,0.0,1.0,3.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_CVL,1.0,39.0,0.0,1.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_CVL,10.0,49.0,1.0,2.0,11.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_CVL,0.0,49.0,0.0,2.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_CVL,1.0,50.0,0.0,2.0,1.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_CVL,29.0,79.0,0.0,2.0,29.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_CVL,206.0,285.0,2.0,4.0,208.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_CVL,353.0,638.0,0.0,4.0,353.0,642.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_CVL,593.0,1231.0,2.0,6.0,595.0,1237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_CVL,1027.0,2258.0,4.0,10.0,1031.0,2268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR_CVL,501.0,2759.0,1.0,11.0,502.0,2770.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR_CVL,403.0,3162.0,0.0,11.0,403.0,3173.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR_CVL,1302.0,4464.0,3.0,14.0,1305.0,4478.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR_CVL,2497.0,6961.0,10.0,24.0,2507.0,6985.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR_CVL,2161.0,9122.0,9.0,33.0,2170.0,9155.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR_CVL,2566.0,11688.0,52.0,85.0,2618.0,11773.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR_CVL,2127.0,13815.0,15.0,100.0,2142.0,13915.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR_CVL,729.0,14544.0,7.0,107.0,736.0,14651.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR_CVL,338.0,14882.0,2.0,109.0,340.0,14991.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR_CVL,3264.0,18146.0,19.0,128.0,3283.0,18274.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR_CVL,6157.0,24303.0,31.0,159.0,6188.0,24462.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR_CVL,6990.0,31293.0,31.0,190.0,7021.0,31483.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,FR_CVL,7289.0,38582.0,17.0,207.0,7306.0,38789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,FR_CVL,5056.0,43638.0,13.0,220.0,5069.0,43858.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,FR_CVL,1232.0,44870.0,3.0,223.0,1235.0,45093.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,FR_CVL,225.0,45095.0,1.0,224.0,226.0,45319.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,FR_CVL,3023.0,48118.0,34.0,258.0,3057.0,48376.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,FR_CVL,4810.0,52928.0,115.0,373.0,4925.0,53301.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,FR_CVL,5102.0,58030.0,220.0,593.0,5322.0,58623.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,FR_CVL,5472.0,63502.0,595.0,1188.0,6067.0,64690.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,FR_CVL,3304.0,66806.0,721.0,1909.0,4025.0,68715.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,FR_CVL,1139.0,67945.0,384.0,2293.0,1523.0,70238.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,FR_CVL,240.0,68185.0,348.0,2641.0,588.0,70826.0,,,,,,,,,,,,,,,,,,,,,,,,
