date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_GES,4.0,4.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_GES,20.0,24.0,0.0,0.0,20.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_GES,17.0,41.0,0.0,0.0,17.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_GES,19.0,60.0,1.0,1.0,20.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_GES,17.0,77.0,0.0,1.0,17.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_GES,28.0,105.0,1.0,2.0,29.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_GES,11.0,116.0,0.0,2.0,11.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_GES,6.0,122.0,0.0,2.0,6.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_GES,259.0,381.0,0.0,2.0,259.0,383.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_GES,823.0,1204.0,8.0,10.0,831.0,1214.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_GES,1243.0,2447.0,2.0,12.0,1245.0,2459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_GES,2437.0,4884.0,7.0,19.0,2444.0,4903.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_GES,3113.0,7997.0,13.0,32.0,3126.0,8029.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR_GES,939.0,8936.0,4.0,36.0,943.0,8972.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR_GES,261.0,9197.0,1.0,37.0,262.0,9234.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR_GES,3000.0,12197.0,9.0,46.0,3009.0,12243.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR_GES,5194.0,17391.0,15.0,61.0,5209.0,17452.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR_GES,7646.0,25037.0,27.0,88.0,7673.0,25125.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR_GES,9506.0,34543.0,92.0,180.0,9598.0,34723.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR_GES,6769.0,41312.0,44.0,224.0,6813.0,41536.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR_GES,1941.0,43253.0,8.0,232.0,1949.0,43485.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR_GES,904.0,44157.0,1.0,233.0,905.0,44390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR_GES,8721.0,52878.0,48.0,281.0,8769.0,53159.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR_GES,10684.0,63562.0,53.0,334.0,10737.0,63896.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR_GES,11244.0,74806.0,81.0,415.0,11325.0,75221.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,FR_GES,11817.0,86623.0,55.0,470.0,11872.0,87093.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,FR_GES,9625.0,96248.0,52.0,522.0,9677.0,96770.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,FR_GES,3287.0,99535.0,29.0,551.0,3316.0,100086.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,FR_GES,1560.0,101095.0,8.0,559.0,1568.0,101654.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,FR_GES,6695.0,107790.0,317.0,876.0,7012.0,108666.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,FR_GES,5690.0,113480.0,455.0,1331.0,6145.0,114811.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,FR_GES,7460.0,120940.0,698.0,2029.0,8158.0,122969.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,FR_GES,8932.0,129872.0,1339.0,3368.0,10271.0,133240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,FR_GES,6797.0,136669.0,1879.0,5247.0,8676.0,141916.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,FR_GES,2561.0,139230.0,569.0,5816.0,3130.0,145046.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,FR_GES,1238.0,140468.0,101.0,5917.0,1339.0,146385.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,FR_GES,6325.0,146793.0,2381.0,8298.0,8706.0,155091.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,FR_GES,6233.0,153026.0,3941.0,12239.0,10174.0,165265.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,FR_GES,5593.0,158619.0,4906.0,17145.0,10499.0,175764.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,FR_GES,6413.0,165032.0,7258.0,24403.0,13671.0,189435.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,FR_GES,6372.0,171404.0,5096.0,29499.0,11468.0,200903.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,FR_GES,2009.0,173413.0,1314.0,30813.0,3323.0,204226.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,FR_GES,419.0,173832.0,573.0,31386.0,992.0,205218.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,FR_GES,3853.0,177685.0,4619.0,36005.0,8472.0,213690.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,FR_GES,5735.0,183420.0,6048.0,42053.0,11783.0,225473.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,FR_GES,6297.0,189717.0,6270.0,48323.0,12567.0,238040.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,FR_GES,7117.0,196834.0,6817.0,55140.0,13934.0,251974.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,FR_GES,7303.0,204137.0,5608.0,60748.0,12911.0,264885.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,FR_GES,2558.0,206695.0,1327.0,62075.0,3885.0,268770.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,FR_GES,1610.0,208305.0,1098.0,63173.0,2708.0,271478.0,,,,,,,,,,,,,,,,,,,,,,,,
