date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_GF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_GF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_GF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_GF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_GF,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_GF,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_GF,1.0,3.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_GF,0.0,3.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_GF,0.0,3.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_GF,8.0,11.0,0.0,1.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_GF,3.0,14.0,0.0,1.0,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_GF,3.0,17.0,0.0,1.0,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_GF,1.0,18.0,0.0,1.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR_GF,0.0,18.0,0.0,1.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR_GF,3.0,21.0,0.0,1.0,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR_GF,1.0,22.0,0.0,1.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR_GF,2.0,24.0,0.0,1.0,2.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR_GF,35.0,59.0,0.0,1.0,35.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR_GF,47.0,106.0,0.0,1.0,47.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR_GF,35.0,141.0,0.0,1.0,35.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR_GF,16.0,157.0,1.0,2.0,17.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR_GF,0.0,157.0,0.0,2.0,0.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR_GF,69.0,226.0,0.0,2.0,69.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR_GF,140.0,366.0,2.0,4.0,142.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR_GF,123.0,489.0,0.0,4.0,123.0,493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,FR_GF,116.0,605.0,0.0,4.0,116.0,609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,FR_GF,73.0,678.0,0.0,4.0,73.0,682.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,FR_GF,1.0,679.0,0.0,4.0,1.0,683.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,FR_GF,0.0,679.0,0.0,4.0,0.0,683.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,FR_GF,54.0,733.0,0.0,4.0,54.0,737.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,FR_GF,97.0,830.0,2.0,6.0,99.0,836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,FR_GF,97.0,927.0,1.0,7.0,98.0,934.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,FR_GF,79.0,1006.0,0.0,7.0,79.0,1013.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,FR_GF,103.0,1109.0,3.0,10.0,106.0,1119.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,FR_GF,0.0,1109.0,0.0,10.0,0.0,1119.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,FR_GF,0.0,1109.0,0.0,10.0,0.0,1119.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,FR_GF,58.0,1167.0,0.0,10.0,58.0,1177.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,FR_GF,115.0,1282.0,2.0,12.0,117.0,1294.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,FR_GF,116.0,1398.0,9.0,21.0,125.0,1419.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,FR_GF,72.0,1470.0,25.0,46.0,97.0,1516.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,FR_GF,60.0,1530.0,7.0,53.0,67.0,1583.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,FR_GF,1.0,1531.0,1.0,54.0,2.0,1585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,FR_GF,0.0,1531.0,0.0,54.0,0.0,1585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,FR_GF,47.0,1578.0,16.0,70.0,63.0,1648.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,FR_GF,90.0,1668.0,40.0,110.0,130.0,1778.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,FR_GF,96.0,1764.0,48.0,158.0,144.0,1922.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,FR_GF,95.0,1859.0,85.0,243.0,180.0,2102.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,FR_GF,78.0,1937.0,53.0,296.0,131.0,2233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,FR_GF,3.0,1940.0,1.0,297.0,4.0,2237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,FR_GF,1.0,1941.0,0.0,297.0,1.0,2238.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,FR_GF,31.0,1972.0,59.0,356.0,90.0,2328.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,FR_GF,116.0,2088.0,49.0,405.0,165.0,2493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,FR_GF,139.0,2227.0,113.0,518.0,252.0,2745.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,FR_GF,98.0,2325.0,128.0,646.0,226.0,2971.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,FR_GF,110.0,2435.0,68.0,714.0,178.0,3149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,FR_GF,1.0,2436.0,1.0,715.0,2.0,3151.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,FR_GF,0.0,2436.0,0.0,715.0,0.0,3151.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,FR_GF,69.0,2505.0,47.0,762.0,116.0,3267.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,FR_GF,143.0,2648.0,96.0,858.0,239.0,3506.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,FR_GF,175.0,2823.0,112.0,970.0,287.0,3793.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,FR_GF,235.0,3058.0,92.0,1062.0,327.0,4120.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,FR_GF,241.0,3299.0,67.0,1129.0,308.0,4428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,FR_GF,111.0,3410.0,4.0,1133.0,115.0,4543.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,FR_GF,3.0,3413.0,0.0,1133.0,3.0,4546.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,FR_GF,170.0,3583.0,91.0,1224.0,261.0,4807.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,FR_GF,232.0,3815.0,100.0,1324.0,332.0,5139.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,FR_GF,234.0,4049.0,124.0,1448.0,358.0,5497.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,FR_GF,272.0,4321.0,80.0,1528.0,352.0,5849.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,FR_GF,257.0,4578.0,50.0,1578.0,307.0,6156.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,FR_GF,119.0,4697.0,2.0,1580.0,121.0,6277.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,FR_GF,3.0,4700.0,0.0,1580.0,3.0,6280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,FR_GF,168.0,4868.0,40.0,1620.0,208.0,6488.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,FR_GF,320.0,5188.0,89.0,1709.0,409.0,6897.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,FR_GF,342.0,5530.0,106.0,1815.0,448.0,7345.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,FR_GF,248.0,5778.0,106.0,1921.0,354.0,7699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,FR_GF,260.0,6038.0,86.0,2007.0,346.0,8045.0,,,,,,,,,,,,,,,,,,,,,,,,
