date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_MQ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_MQ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_MQ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_MQ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_MQ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_MQ,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_MQ,1.0,2.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_MQ,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_MQ,1.0,3.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_MQ,9.0,12.0,0.0,0.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_MQ,5.0,17.0,0.0,0.0,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_MQ,28.0,45.0,0.0,0.0,28.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_MQ,92.0,137.0,1.0,1.0,93.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR_MQ,22.0,159.0,0.0,1.0,22.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR_MQ,1.0,160.0,0.0,1.0,1.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR_MQ,125.0,285.0,0.0,1.0,125.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR_MQ,85.0,370.0,0.0,1.0,85.0,371.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR_MQ,64.0,434.0,0.0,1.0,64.0,435.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR_MQ,89.0,523.0,1.0,2.0,90.0,525.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR_MQ,154.0,677.0,3.0,5.0,157.0,682.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR_MQ,43.0,720.0,0.0,5.0,43.0,725.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR_MQ,1.0,721.0,0.0,5.0,1.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR_MQ,132.0,853.0,0.0,5.0,132.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR_MQ,146.0,999.0,2.0,7.0,148.0,1006.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR_MQ,144.0,1143.0,0.0,7.0,144.0,1150.0,,,,,,,,,,,,,,,,,,,,,,,,
