date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,FR_OCC,6.0,6.0,0.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,FR_OCC,11.0,17.0,0.0,0.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,FR_OCC,6.0,23.0,0.0,0.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,FR_OCC,3.0,26.0,0.0,0.0,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FR_OCC,12.0,38.0,0.0,0.0,12.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,FR_OCC,41.0,79.0,0.0,0.0,41.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,FR_OCC,4.0,83.0,0.0,0.0,4.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,FR_OCC,6.0,89.0,1.0,1.0,7.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,FR_OCC,74.0,163.0,0.0,1.0,74.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,FR_OCC,769.0,932.0,14.0,15.0,783.0,947.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,FR_OCC,806.0,1738.0,4.0,19.0,810.0,1757.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,FR_OCC,2531.0,4269.0,6.0,25.0,2537.0,4294.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,FR_OCC,3128.0,7397.0,3.0,28.0,3131.0,7425.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,FR_OCC,1535.0,8932.0,4.0,32.0,1539.0,8964.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,FR_OCC,524.0,9456.0,1.0,33.0,525.0,9489.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,FR_OCC,3544.0,13000.0,12.0,45.0,3556.0,13045.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,FR_OCC,5739.0,18739.0,17.0,62.0,5756.0,18801.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,FR_OCC,6389.0,25128.0,26.0,88.0,6415.0,25216.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,FR_OCC,8998.0,34126.0,99.0,187.0,9097.0,34313.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,FR_OCC,7284.0,41410.0,41.0,228.0,7325.0,41638.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,FR_OCC,1953.0,43363.0,23.0,251.0,1976.0,43614.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,FR_OCC,715.0,44078.0,3.0,254.0,718.0,44332.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,FR_OCC,7758.0,51836.0,36.0,290.0,7794.0,52126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,FR_OCC,11373.0,63209.0,59.0,349.0,11432.0,63558.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,FR_OCC,13770.0,76979.0,71.0,420.0,13841.0,77399.0,,,,,,,,,,,,,,,,,,,,,,,,
