date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-17,GB_UKD,,480227.0,,60918.0,,541145.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,GB_UKD,24714.0,504941.0,580.0,61498.0,25294.0,566439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,GB_UKD,48889.0,553830.0,482.0,61980.0,49371.0,615810.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,GB_UKD,41843.0,595673.0,730.0,62710.0,42573.0,658383.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,GB_UKD,55918.0,651591.0,439.0,63149.0,56357.0,714740.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,GB_UKD,60003.0,711594.0,252.0,63401.0,60255.0,774995.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,GB_UKD,54023.0,765617.0,112.0,63513.0,54135.0,829130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,GB_UKD,30442.0,796059.0,80.0,63593.0,30522.0,859652.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,GB_UKD,32861.0,828920.0,210.0,63803.0,33071.0,892723.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,GB_UKD,35271.0,864191.0,95.0,63898.0,35366.0,928089.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,GB_UKD,38266.0,902457.0,408.0,64306.0,38674.0,966763.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,GB_UKD,50780.0,953237.0,218.0,64524.0,50998.0,1017761.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,GB_UKD,61046.0,1014283.0,235.0,64759.0,61281.0,1079042.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,GB_UKD,68576.0,1082859.0,1350.0,66109.0,69926.0,1148968.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,GB_UKD,33624.0,1116483.0,269.0,66378.0,33893.0,1182861.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,GB_UKD,37796.0,1154279.0,166.0,66544.0,37962.0,1220823.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,GB_UKD,39636.0,1193915.0,131.0,66675.0,39767.0,1260590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,GB_UKD,55385.0,1249300.0,219.0,66894.0,55604.0,1316194.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,GB_UKD,51747.0,1301047.0,363.0,67257.0,52110.0,1368304.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,GB_UKD,53691.0,1354738.0,285.0,67542.0,53976.0,1422280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,GB_UKD,53700.0,1408438.0,97.0,67639.0,53797.0,1476077.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,GB_UKD,22035.0,1430473.0,28.0,67667.0,22063.0,1498140.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,GB_UKD,29099.0,1459572.0,126.0,67793.0,29225.0,1527365.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,GB_UKD,38323.0,1497895.0,224.0,68017.0,38547.0,1565912.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,GB_UKD,42210.0,1540105.0,326.0,68343.0,42536.0,1608448.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,GB_UKD,42799.0,1582904.0,329.0,68672.0,43128.0,1651576.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,GB_UKD,46711.0,1629615.0,422.0,69094.0,47133.0,1698709.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,GB_UKD,53099.0,1682714.0,249.0,69343.0,53348.0,1752057.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,GB_UKD,18663.0,1701377.0,23.0,69366.0,18686.0,1770743.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,GB_UKD,26709.0,1728086.0,156.0,69522.0,26865.0,1797608.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,GB_UKD,37577.0,1765663.0,254.0,69776.0,37831.0,1835439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,GB_UKD,54382.0,1820045.0,373.0,70149.0,54755.0,1890194.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,GB_UKD,52020.0,1872065.0,300.0,70449.0,52320.0,1942514.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,GB_UKD,42566.0,1914631.0,261.0,70710.0,42827.0,1985341.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,GB_UKD,34012.0,1948643.0,75.0,70785.0,34087.0,2019428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,GB_UKD,15368.0,1964011.0,71.0,70856.0,15439.0,2034867.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,GB_UKD,18493.0,1982504.0,117.0,70973.0,18610.0,2053477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,GB_UKD,32797.0,2015301.0,580.0,71553.0,33377.0,2086854.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,GB_UKD,50486.0,2065787.0,1201.0,72754.0,51687.0,2138541.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,GB_UKD,57723.0,2123510.0,1000.0,73754.0,58723.0,2197264.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,GB_UKD,60911.0,2184421.0,1147.0,74901.0,62058.0,2259322.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,GB_UKD,47449.0,2231870.0,1080.0,75981.0,48529.0,2307851.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,GB_UKD,18814.0,2250684.0,534.0,76515.0,19348.0,2327199.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,GB_UKD,22556.0,2273240.0,1368.0,77883.0,23924.0,2351123.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,GB_UKD,26379.0,2299619.0,3230.0,81113.0,29609.0,2380732.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,GB_UKD,26927.0,2326546.0,4260.0,85373.0,31187.0,2411919.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,GB_UKD,50023.0,2376569.0,4343.0,89716.0,54366.0,2466285.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,GB_UKD,47224.0,2423793.0,5266.0,94982.0,52490.0,2518775.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,GB_UKD,46797.0,2470590.0,1936.0,96918.0,48733.0,2567508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,GB_UKD,21320.0,2491910.0,630.0,97548.0,21950.0,2589458.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,GB_UKD,27115.0,2519025.0,3341.0,100889.0,30456.0,2619914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,GB_UKD,21688.0,2540713.0,6895.0,107784.0,28583.0,2648497.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,GB_UKD,27262.0,2567975.0,7471.0,115255.0,34733.0,2683230.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,GB_UKD,27824.0,2595799.0,8453.0,123708.0,36277.0,2719507.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,GB_UKD,34393.0,2630192.0,6839.0,130547.0,41232.0,2760739.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,GB_UKD,47029.0,2677221.0,4100.0,134647.0,51129.0,2811868.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,GB_UKD,25742.0,2702963.0,894.0,135541.0,26636.0,2838504.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,GB_UKD,36550.0,2739513.0,4345.0,139886.0,40895.0,2879399.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,GB_UKD,41293.0,2780806.0,8995.0,148881.0,50288.0,2929687.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,GB_UKD,41550.0,2822356.0,10318.0,159199.0,51868.0,2981555.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,GB_UKD,47952.0,2870308.0,14516.0,173715.0,62468.0,3044023.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,GB_UKD,62790.0,2933098.0,13619.0,187334.0,76409.0,3120432.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,GB_UKD,75327.0,3008425.0,8527.0,195861.0,83854.0,3204286.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,GB_UKD,31699.0,3040124.0,2036.0,197897.0,33735.0,3238021.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,GB_UKD,32908.0,3073032.0,9617.0,207514.0,42525.0,3280546.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,GB_UKD,32681.0,3105713.0,20132.0,227646.0,52813.0,3333359.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,GB_UKD,34682.0,3140395.0,31654.0,259300.0,66336.0,3399695.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,GB_UKD,36312.0,3176707.0,34276.0,293576.0,70588.0,3470283.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,GB_UKD,37979.0,3214686.0,31442.0,325018.0,69421.0,3539704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,GB_UKD,55779.0,3270465.0,29451.0,354469.0,85230.0,3624934.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,GB_UKD,25029.0,3295494.0,10545.0,365014.0,35574.0,3660508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,GB_UKD,28350.0,3323844.0,19190.0,384204.0,47540.0,3708048.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,GB_UKD,24540.0,3348384.0,30360.0,414564.0,54900.0,3762948.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,GB_UKD,27721.0,3376105.0,43666.0,458230.0,71387.0,3834335.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,GB_UKD,15876.0,3391981.0,60978.0,519208.0,76854.0,3911189.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,GB_UKD,7255.0,3399236.0,32819.0,552027.0,40074.0,3951263.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,GB_UKD,10003.0,3409239.0,22417.0,574444.0,32420.0,3983683.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,GB_UKD,2326.0,3411565.0,5290.0,579734.0,7616.0,3991299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,GB_UKD,1958.0,3413523.0,8263.0,587997.0,10221.0,4001520.0,,,,,,,,,,,,,,,,,,,,,,,,
