date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-17,GB_UKH,,370989.0,,53146.0,,424135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,GB_UKH,22927.0,393916.0,73.0,53219.0,23000.0,447135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,GB_UKH,47383.0,441299.0,85.0,53304.0,47468.0,494603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,GB_UKH,53258.0,494557.0,92.0,53396.0,53350.0,547953.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,GB_UKH,54940.0,549497.0,91.0,53487.0,55031.0,602984.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,GB_UKH,62125.0,611622.0,44.0,53531.0,62169.0,665153.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,GB_UKH,69190.0,680812.0,49.0,53580.0,69239.0,734392.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,GB_UKH,31699.0,712511.0,35.0,53615.0,31734.0,766126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,GB_UKH,29507.0,742018.0,43.0,53658.0,29550.0,795676.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,GB_UKH,29244.0,771262.0,47.0,53705.0,29291.0,824967.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,GB_UKH,24773.0,796035.0,51.0,53756.0,24824.0,849791.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,GB_UKH,41907.0,837942.0,115.0,53871.0,42022.0,891813.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,GB_UKH,51414.0,889356.0,113.0,53984.0,51527.0,943340.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,GB_UKH,63147.0,952503.0,1239.0,55223.0,64386.0,1007726.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,GB_UKH,34215.0,986718.0,254.0,55477.0,34469.0,1042195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,GB_UKH,33951.0,1020669.0,306.0,55783.0,34257.0,1076452.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,GB_UKH,33762.0,1054431.0,261.0,56044.0,34023.0,1110475.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,GB_UKH,42176.0,1096607.0,333.0,56377.0,42509.0,1152984.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,GB_UKH,46072.0,1142679.0,368.0,56745.0,46440.0,1199424.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,GB_UKH,43546.0,1186225.0,514.0,57259.0,44060.0,1243484.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,GB_UKH,61655.0,1247880.0,138.0,57397.0,61793.0,1305277.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,GB_UKH,28437.0,1276317.0,47.0,57444.0,28484.0,1333761.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,GB_UKH,27437.0,1303754.0,433.0,57877.0,27870.0,1361631.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,GB_UKH,36520.0,1340274.0,435.0,58312.0,36955.0,1398586.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,GB_UKH,35272.0,1375546.0,453.0,58765.0,35725.0,1434311.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,GB_UKH,46026.0,1421572.0,452.0,59217.0,46478.0,1480789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,GB_UKH,55627.0,1477199.0,473.0,59690.0,56100.0,1536889.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,GB_UKH,51630.0,1528829.0,383.0,60073.0,52013.0,1588902.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,GB_UKH,22493.0,1551322.0,138.0,60211.0,22631.0,1611533.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,GB_UKH,21755.0,1573077.0,349.0,60560.0,22104.0,1633637.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,GB_UKH,35009.0,1608086.0,360.0,60920.0,35369.0,1669006.0,,,,,,,,,,,,,,,,,,,,,,,,
