date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-17,GB_UKI,,367209.0,,50016.0,,417225.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,GB_UKI,21228.0,388437.0,1238.0,51254.0,22466.0,439691.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,GB_UKI,35296.0,423733.0,1181.0,52435.0,36477.0,476168.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,GB_UKI,41341.0,465074.0,918.0,53353.0,42259.0,518427.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,GB_UKI,39008.0,504082.0,1118.0,54471.0,40126.0,558553.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,GB_UKI,41733.0,545815.0,282.0,54753.0,42015.0,600568.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,GB_UKI,40744.0,586559.0,265.0,55018.0,41009.0,641577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,GB_UKI,25486.0,612045.0,238.0,55256.0,25724.0,667301.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,GB_UKI,35126.0,647171.0,610.0,55866.0,35736.0,703037.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,GB_UKI,43555.0,690726.0,445.0,56311.0,44000.0,747037.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,GB_UKI,41254.0,731980.0,298.0,56609.0,41552.0,788589.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,GB_UKI,45551.0,777531.0,278.0,56887.0,45829.0,834418.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,GB_UKI,53361.0,830892.0,231.0,57118.0,53592.0,888010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,GB_UKI,59985.0,890877.0,2037.0,59155.0,62022.0,950032.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,GB_UKI,45621.0,936498.0,844.0,59999.0,46465.0,996497.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,GB_UKI,38629.0,975127.0,379.0,60378.0,39008.0,1035505.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,GB_UKI,36363.0,1011490.0,280.0,60658.0,36643.0,1072148.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,GB_UKI,40245.0,1051735.0,249.0,60907.0,40494.0,1112642.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,GB_UKI,44787.0,1096522.0,367.0,61274.0,45154.0,1157796.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,GB_UKI,45249.0,1141771.0,184.0,61458.0,45433.0,1203229.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,GB_UKI,35431.0,1177202.0,82.0,61540.0,35513.0,1238742.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,GB_UKI,20955.0,1198157.0,102.0,61642.0,21057.0,1259799.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,GB_UKI,25708.0,1223865.0,156.0,61798.0,25864.0,1285663.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,GB_UKI,31181.0,1255046.0,239.0,62037.0,31420.0,1317083.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,GB_UKI,35828.0,1290874.0,413.0,62450.0,36241.0,1353324.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,GB_UKI,44331.0,1335205.0,512.0,62962.0,44843.0,1398167.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,GB_UKI,51432.0,1386637.0,325.0,63287.0,51757.0,1449924.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,GB_UKI,40055.0,1426692.0,119.0,63406.0,40174.0,1490098.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,GB_UKI,30631.0,1457323.0,45.0,63451.0,30676.0,1520774.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,GB_UKI,29442.0,1486765.0,216.0,63667.0,29658.0,1550432.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,GB_UKI,44584.0,1531349.0,394.0,64061.0,44978.0,1595410.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,GB_UKI,56382.0,1587731.0,629.0,64690.0,57011.0,1652421.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,GB_UKI,52819.0,1640550.0,1093.0,65783.0,53912.0,1706333.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,GB_UKI,46921.0,1687471.0,703.0,66486.0,47624.0,1753957.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,GB_UKI,40310.0,1727781.0,130.0,66616.0,40440.0,1794397.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,GB_UKI,15289.0,1743070.0,116.0,66732.0,15405.0,1809802.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,GB_UKI,26625.0,1769695.0,853.0,67585.0,27478.0,1837280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,GB_UKI,47124.0,1816819.0,1251.0,68836.0,48375.0,1885655.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,GB_UKI,53604.0,1870423.0,2361.0,71197.0,55965.0,1941620.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,GB_UKI,56782.0,1927205.0,3013.0,74210.0,59795.0,2001415.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,GB_UKI,57113.0,1984318.0,2687.0,76897.0,59800.0,2061215.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,GB_UKI,51140.0,2035458.0,2640.0,79537.0,53780.0,2114995.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,GB_UKI,24606.0,2060064.0,955.0,80492.0,25561.0,2140556.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,GB_UKI,23426.0,2083490.0,1885.0,82377.0,25311.0,2165867.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,GB_UKI,30620.0,2114110.0,3512.0,85889.0,34132.0,2199999.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,GB_UKI,33278.0,2147388.0,5884.0,91773.0,39162.0,2239161.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,GB_UKI,37756.0,2185144.0,5880.0,97653.0,43636.0,2282797.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,GB_UKI,44253.0,2229397.0,6577.0,104230.0,50830.0,2333627.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,GB_UKI,45281.0,2274678.0,3565.0,107795.0,48846.0,2382473.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,GB_UKI,18681.0,2293359.0,930.0,108725.0,19611.0,2402084.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,GB_UKI,25211.0,2318570.0,4238.0,112963.0,29449.0,2431533.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,GB_UKI,30024.0,2348594.0,7476.0,120439.0,37500.0,2469033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,GB_UKI,33575.0,2382169.0,7435.0,127874.0,41010.0,2510043.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,GB_UKI,36127.0,2418296.0,7179.0,135053.0,43306.0,2553349.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,GB_UKI,39170.0,2457466.0,8084.0,143137.0,47254.0,2600603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,GB_UKI,39885.0,2497351.0,4276.0,147413.0,44161.0,2644764.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,GB_UKI,21644.0,2518995.0,2453.0,149866.0,24097.0,2668861.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,GB_UKI,44084.0,2563079.0,5427.0,155293.0,49511.0,2718372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,GB_UKI,44430.0,2607509.0,8705.0,163998.0,53135.0,2771507.0,,,,,,,,,,,,,,,,,,,,,,,,
