date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-17,GB_UKJ,,578287.0,,74063.0,,652350.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,GB_UKJ,24153.0,602440.0,593.0,74656.0,24746.0,677096.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,GB_UKJ,44742.0,647182.0,710.0,75366.0,45452.0,722548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,GB_UKJ,45057.0,692239.0,471.0,75837.0,45528.0,768076.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,GB_UKJ,56877.0,749116.0,251.0,76088.0,57128.0,825204.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,GB_UKJ,62968.0,812084.0,141.0,76229.0,63109.0,888313.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,GB_UKJ,69817.0,881901.0,59.0,76288.0,69876.0,958189.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,GB_UKJ,28549.0,910450.0,95.0,76383.0,28644.0,986833.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,GB_UKJ,34185.0,944635.0,243.0,76626.0,34428.0,1021261.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,GB_UKJ,39181.0,983816.0,177.0,76803.0,39358.0,1060619.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,GB_UKJ,37176.0,1020992.0,125.0,76928.0,37301.0,1097920.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,GB_UKJ,53845.0,1074837.0,302.0,77230.0,54147.0,1152067.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,GB_UKJ,69968.0,1144805.0,284.0,77514.0,70252.0,1222319.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,GB_UKJ,87835.0,1232640.0,1632.0,79146.0,89467.0,1311786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,GB_UKJ,51827.0,1284467.0,262.0,79408.0,52089.0,1363875.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,GB_UKJ,46254.0,1330721.0,254.0,79662.0,46508.0,1410383.0,,,,,,,,,,,,,,,,,,,,,,,,
