date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-28,HU,,,,,,1094.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,HU,,129689.0,,1643.0,130238.0,131332.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,HU,629.0,130318.0,1296.0,2939.0,1925.0,133257.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,HU,4236.0,134554.0,1091.0,4030.0,5327.0,138584.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,HU,4429.0,138983.0,1785.0,5815.0,6214.0,144798.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,HU,4201.0,143184.0,1129.0,6944.0,5330.0,150128.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,HU,2073.0,145257.0,1191.0,8135.0,3264.0,153392.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,HU,1438.0,146695.0,1268.0,9403.0,2706.0,156098.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,HU,2981.0,149676.0,3236.0,12639.0,6217.0,162315.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,HU,3028.0,152704.0,5133.0,17772.0,8161.0,170476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,HU,8511.0,161215.0,8521.0,26293.0,17032.0,187508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,HU,14068.0,175283.0,11434.0,37727.0,25502.0,213010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,HU,23000.0,198283.0,11879.0,49606.0,34879.0,247889.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,HU,23722.0,222005.0,7219.0,56825.0,30941.0,278830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,HU,15867.0,237872.0,4441.0,61266.0,20308.0,299138.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,HU,5264.0,243136.0,7260.0,68526.0,12524.0,311662.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,HU,4134.0,247270.0,6510.0,75036.0,10644.0,322306.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,HU,2417.0,249687.0,9416.0,84452.0,11824.0,334130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,HU,14843.0,264530.0,8321.0,92773.0,23173.0,357303.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,HU,14880.0,279410.0,8879.0,101652.0,23759.0,381062.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,HU,6969.0,286379.0,3590.0,105242.0,10559.0,391621.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,HU,2663.0,289042.0,2350.0,107592.0,5013.0,396634.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,HU,2354.0,291396.0,2803.0,110395.0,5157.0,401791.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,HU,1231.0,292627.0,3175.0,113570.0,4406.0,406197.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,HU,1997.0,294624.0,3798.0,117368.0,5795.0,411992.0,,,,,,,,,,,,,,,,,,,,,,,,
