date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,IT,7333.0,7333.0,0.0,0.0,7350.0,7350.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,IT,1503.0,8836.0,0.0,0.0,1505.0,8855.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,IT,1098.0,9934.0,0.0,0.0,1099.0,9954.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,IT,4881.0,14815.0,0.0,0.0,4887.0,14841.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,IT,25905.0,40720.0,0.0,0.0,25949.0,40790.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,IT,11256.0,51976.0,0.0,0.0,11274.0,52064.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,IT,38997.0,90973.0,0.0,0.0,39073.0,91137.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,IT,35828.0,126801.0,0.0,0.0,35883.0,127020.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,IT,69483.0,196284.0,0.0,0.0,69632.0,196652.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,IT,80070.0,276354.0,0.0,0.0,80262.0,276914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,IT,65028.0,341382.0,0.0,0.0,65185.0,342099.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,IT,92421.0,433803.0,0.0,0.0,92660.0,434759.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,IT,96712.0,530515.0,0.0,0.0,96996.0,531755.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,IT,88062.0,618577.0,0.0,0.0,88270.0,620025.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,IT,60812.0,679389.0,0.0,0.0,60935.0,680960.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,IT,81988.0,761377.0,0.0,0.0,82203.0,763163.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,IT,83314.0,844691.0,0.0,0.0,83552.0,846715.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,IT,95150.0,939841.0,0.0,0.0,95495.0,942210.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,IT,94139.0,1033980.0,0.0,0.0,94575.0,1036785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,IT,90779.0,1124759.0,0.0,0.0,91045.0,1127830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,IT,65958.0,1190717.0,0.0,0.0,66134.0,1193964.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,IT,34589.0,1225306.0,2990.0,2990.0,37640.0,1231604.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,IT,39504.0,1264810.0,5097.0,8087.0,44703.0,1276307.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,IT,31744.0,1296554.0,1792.0,9879.0,33628.0,1309935.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,IT,26885.0,1323439.0,4606.0,14485.0,31535.0,1341470.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,IT,16570.0,1340009.0,19963.0,34448.0,36579.0,1378049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,IT,13253.0,1353262.0,14165.0,48613.0,27451.0,1405500.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,IT,6030.0,1359292.0,33337.0,81950.0,39381.0,1444881.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,IT,3247.0,1362539.0,30783.0,112733.0,34042.0,1478923.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,IT,4888.0,1367427.0,64744.0,177477.0,69651.0,1548574.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,IT,4337.0,1371764.0,76523.0,254000.0,80872.0,1629446.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,IT,6389.0,1378153.0,64854.0,318854.0,71256.0,1700702.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,IT,4918.0,1383071.0,89305.0,408159.0,94253.0,1794955.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,IT,5113.0,1388184.0,94044.0,502203.0,99176.0,1894131.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,IT,4191.0,1392375.0,86582.0,588785.0,90796.0,1984927.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,IT,2661.0,1395036.0,57344.0,646129.0,60009.0,2044936.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,IT,4355.0,1399391.0,81890.0,728019.0,86260.0,2131196.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,IT,6471.0,1405862.0,82142.0,810161.0,88641.0,2219837.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,IT,9079.0,1414941.0,91175.0,901336.0,100295.0,2320132.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,IT,13618.0,1428559.0,95381.0,996717.0,109035.0,2429167.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,IT,17935.0,1446494.0,90215.0,1086932.0,108238.0,2537405.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,IT,14648.0,1461142.0,63373.0,1150305.0,78100.0,2615505.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,IT,9514.0,1470656.0,32867.0,1183172.0,42432.0,2657937.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,IT,26840.0,1497496.0,40295.0,1223467.0,67268.0,2725205.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,IT,34433.0,1531929.0,32699.0,1256166.0,67290.0,2792495.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,IT,44946.0,1576875.0,28192.0,1284358.0,73357.0,2865852.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,IT,54957.0,1631832.0,19911.0,1304269.0,75331.0,2941183.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,IT,58401.0,1690233.0,15518.0,1319787.0,74612.0,3015795.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,IT,45714.0,1735947.0,6779.0,1326566.0,52942.0,3068737.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,IT,27171.0,1763118.0,2605.0,1329171.0,30032.0,3098769.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,IT,56191.0,1819309.0,6055.0,1335226.0,63024.0,3161793.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,IT,64520.0,1883829.0,6211.0,1341437.0,71506.0,3233299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,IT,70257.0,1954086.0,9606.0,1351043.0,80773.0,3314072.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,IT,81401.0,2035487.0,8144.0,1359187.0,90636.0,3404708.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,IT,85474.0,2120961.0,6830.0,1366017.0,93694.0,3498402.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,IT,73105.0,2194066.0,4516.0,1370533.0,78611.0,3577013.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,IT,48296.0,2242362.0,2260.0,1372793.0,51260.0,3628273.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,IT,99372.0,2341734.0,5403.0,1378196.0,106242.0,3734515.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,IT,99895.0,2441629.0,5493.0,1383689.0,107042.0,3841557.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,IT,112957.0,2554586.0,8193.0,1391882.0,122769.0,3964326.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,IT,114825.0,2669411.0,12324.0,1404206.0,129013.0,4093339.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,IT,121707.0,2791118.0,15474.0,1419680.0,139247.0,4232586.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,IT,113280.0,2904398.0,11952.0,1431632.0,127168.0,4359754.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,IT,69143.0,2973541.0,8218.0,1439850.0,78516.0,4438270.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,IT,109708.0,3083249.0,24526.0,1464376.0,136199.0,4574469.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,IT,129328.0,3212577.0,30815.0,1495191.0,162544.0,4737013.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,IT,143396.0,3355973.0,42206.0,1537397.0,188031.0,4925044.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,IT,148590.0,3504563.0,47313.0,1584710.0,198849.0,5123893.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,IT,151284.0,3655847.0,52578.0,1637288.0,207058.0,5330951.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,IT,136825.0,3792672.0,39249.0,1676537.0,178683.0,5509634.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,IT,80936.0,3873608.0,20437.0,1696974.0,103252.0,5612886.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,IT,131694.0,4005302.0,47445.0,1744419.0,182263.0,5795149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,IT,143198.0,4148500.0,49460.0,1793879.0,196138.0,5991287.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,IT,158042.0,4306542.0,55043.0,1848922.0,216621.0,6207908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,IT,161567.0,4468109.0,59869.0,1908791.0,225361.0,6433269.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,IT,148302.0,4616411.0,61170.0,1969961.0,213355.0,6646624.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,IT,125999.0,4742410.0,48538.0,2018499.0,177676.0,6824300.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,IT,70740.0,4813150.0,33408.0,2051907.0,106107.0,6930407.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,IT,102486.0,4915636.0,70581.0,2122488.0,175874.0,7106281.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,IT,66920.0,4982556.0,72692.0,2195180.0,140914.0,7247195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,IT,83297.0,5065853.0,81382.0,2276562.0,166392.0,7413587.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,IT,82650.0,5148503.0,79723.0,2356285.0,164241.0,7577828.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,IT,95760.0,5244263.0,78954.0,2435239.0,176807.0,7754635.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,IT,111778.0,5356041.0,62266.0,2497505.0,176457.0,7931092.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,IT,83519.0,5439560.0,45306.0,2542811.0,130796.0,8061888.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,IT,127341.0,5566901.0,66104.0,2608915.0,196786.0,8258674.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,IT,151475.0,5718376.0,71639.0,2680554.0,227221.0,8485895.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,IT,167585.0,5885961.0,86374.0,2766928.0,258426.0,8744321.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,IT,182135.0,6068096.0,84576.0,2851504.0,271893.0,9016214.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,IT,189386.0,6257482.0,78433.0,2929937.0,272925.0,9289139.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,IT,169726.0,6427208.0,67385.0,2997322.0,241593.0,9530732.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,IT,119682.0,6546890.0,40891.0,3038213.0,163773.0,9694505.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,IT,173716.0,6720606.0,66274.0,3104487.0,244474.0,9938979.0,,,,,,,,,,,,,,,,,,,,,,,,
