date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,IT_55,92.0,92.0,0.0,0.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,IT_55,347.0,439.0,0.0,0.0,347.0,439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,IT_55,294.0,733.0,0.0,0.0,295.0,734.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,IT_55,332.0,1065.0,0.0,0.0,332.0,1066.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,IT_55,293.0,1358.0,0.0,0.0,293.0,1359.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,IT_55,849.0,2207.0,0.0,0.0,851.0,2210.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,IT_55,908.0,3115.0,0.0,0.0,908.0,3118.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,IT_55,882.0,3997.0,0.0,0.0,884.0,4002.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,IT_55,1397.0,5394.0,0.0,0.0,1402.0,5404.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,IT_55,1255.0,6649.0,0.0,0.0,1257.0,6661.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,IT_55,1792.0,8441.0,0.0,0.0,1804.0,8465.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,IT_55,1091.0,9532.0,0.0,0.0,1095.0,9560.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,IT_55,1391.0,10923.0,0.0,0.0,1394.0,10954.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,IT_55,881.0,11804.0,0.0,0.0,883.0,11837.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,IT_55,477.0,12281.0,0.0,0.0,480.0,12317.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,IT_55,750.0,13031.0,0.0,0.0,758.0,13075.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,IT_55,767.0,13798.0,0.0,0.0,769.0,13844.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,IT_55,243.0,14041.0,0.0,0.0,243.0,14087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,IT_55,56.0,14097.0,0.0,0.0,56.0,14143.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,IT_55,594.0,14691.0,92.0,92.0,687.0,14830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,IT_55,103.0,14794.0,0.0,92.0,103.0,14933.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,IT_55,625.0,15419.0,0.0,92.0,628.0,15561.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,IT_55,380.0,15799.0,291.0,383.0,672.0,16233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,IT_55,33.0,15832.0,264.0,647.0,297.0,16530.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,IT_55,2.0,15834.0,300.0,947.0,302.0,16832.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,IT_55,1.0,15835.0,276.0,1223.0,277.0,17109.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,IT_55,5.0,15840.0,678.0,1901.0,683.0,17792.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,IT_55,19.0,15859.0,846.0,2747.0,865.0,18657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,IT_55,16.0,15875.0,871.0,3618.0,887.0,19544.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,IT_55,21.0,15896.0,1329.0,4947.0,1350.0,20894.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,IT_55,88.0,15984.0,1214.0,6161.0,1303.0,22197.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,IT_55,45.0,16029.0,1592.0,7753.0,1637.0,23834.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,IT_55,25.0,16054.0,1075.0,8828.0,1100.0,24934.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,IT_55,52.0,16106.0,1283.0,10111.0,1335.0,26269.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,IT_55,32.0,16138.0,959.0,11070.0,991.0,27260.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,IT_55,69.0,16207.0,710.0,11780.0,779.0,28039.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,IT_55,27.0,16234.0,759.0,12539.0,786.0,28825.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,IT_55,17.0,16251.0,825.0,13364.0,843.0,29668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,IT_55,37.0,16288.0,454.0,13818.0,491.0,30159.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,IT_55,1.0,16289.0,55.0,13873.0,56.0,30215.0,,,,,,,,,,,,,,,,,,,,,,,,
