date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-26,KR,,38776.0,,11051.0,,49783.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,KR,1746.0,40522.0,212.0,11263.0,1956.0,51739.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,KR,1031.0,41553.0,102.0,11365.0,1133.0,52872.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,KR,1935.0,43488.0,259.0,11624.0,2189.0,55061.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,KR,66230.0,109718.0,291.0,11915.0,66519.0,121580.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,KR,69390.0,179108.0,302.0,12217.0,69688.0,191268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,KR,70712.0,249820.0,507.0,12724.0,71209.0,262477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,KR,71165.0,320985.0,413.0,13137.0,71566.0,334043.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,KR,18473.0,339458.0,158.0,13295.0,18606.0,352649.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,KR,2432.0,341890.0,98.0,13393.0,2507.0,355156.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,KR,68108.0,409998.0,260.0,13653.0,68336.0,423492.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,KR,64275.0,474273.0,464.0,14117.0,64716.0,488208.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,KR,55023.0,529296.0,569.0,14686.0,55321.0,543529.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,KR,45440.0,574736.0,659.0,15345.0,45864.0,589393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,KR,39197.0,613933.0,586.0,15931.0,39529.0,628922.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,KR,4489.0,618422.0,207.0,16138.0,4632.0,633554.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,KR,1805.0,620227.0,135.0,16273.0,1883.0,635437.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,KR,14182.0,634409.0,1174.0,17447.0,14455.0,649892.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,KR,20512.0,654921.0,1038.0,18485.0,20859.0,670751.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,KR,21413.0,676334.0,915.0,19400.0,21717.0,692468.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,KR,20765.0,697099.0,890.0,20290.0,21273.0,713741.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,KR,18560.0,715659.0,1002.0,21292.0,18970.0,732711.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,KR,1982.0,717641.0,538.0,21830.0,2493.0,735204.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,KR,821.0,718462.0,446.0,22276.0,1248.0,736452.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,KR,4898.0,723360.0,762.0,23038.0,5500.0,741952.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,KR,21603.0,744963.0,1304.0,24342.0,22693.0,764645.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,KR,29422.0,774385.0,1624.0,25966.0,31019.0,795664.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,KR,33862.0,808247.0,1963.0,27929.0,35536.0,831200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,KR,25815.0,834062.0,2114.0,30043.0,27677.0,858877.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,KR,2493.0,836555.0,392.0,30435.0,2857.0,861734.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,KR,873.0,837428.0,257.0,30692.0,1121.0,862855.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,KR,26794.0,864222.0,1450.0,32142.0,28219.0,891074.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,KR,28818.0,893040.0,2767.0,34909.0,31540.0,922614.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,KR,23973.0,917013.0,5433.0,40342.0,29354.0,951968.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,KR,38134.0,955147.0,8037.0,48379.0,46047.0,998015.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,KR,40768.0,995915.0,7708.0,56087.0,47906.0,1045921.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,KR,9647.0,1005562.0,982.0,57069.0,10538.0,1056459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,KR,1271.0,1006833.0,301.0,57370.0,1529.0,1057988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,KR,38038.0,1044871.0,1777.0,59147.0,38759.0,1096747.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,KR,40100.0,1084971.0,7546.0,66693.0,46702.0,1143449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,KR,39665.0,1124636.0,11293.0,77986.0,49592.0,1193041.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,KR,39586.0,1164222.0,11984.0,89970.0,50182.0,1243223.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,KR,36535.0,1200757.0,9902.0,99872.0,44813.0,1288036.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,KR,10664.0,1211421.0,2311.0,102183.0,12241.0,1300277.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,KR,1260.0,1212681.0,490.0,102673.0,1659.0,1301936.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,KR,40691.0,1253372.0,2501.0,105174.0,41502.0,1343438.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,KR,46117.0,1299489.0,1822.0,106996.0,46916.0,1390354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,KR,47253.0,1346742.0,1018.0,108014.0,48262.0,1438616.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,KR,94208.0,1440950.0,962.0,108976.0,95166.0,1533782.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,KR,104170.0,1545120.0,1337.0,110313.0,105492.0,1639274.0,,,,,,,,,,,,,,,,,,,,,,,,
