date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-23,LU,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,LU,452.0,452.0,,,452.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,LU,348.0,800.0,,,348.0,801.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,LU,451.0,1251.0,,,451.0,1252.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,LU,100.0,1351.0,,,100.0,1352.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,LU,145.0,1496.0,,,145.0,1497.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,LU,210.0,1706.0,,,210.0,1707.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,LU,242.0,1948.0,,,242.0,1949.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,LU,430.0,2378.0,,,430.0,2379.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,LU,498.0,2876.0,,,498.0,2877.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,LU,362.0,3238.0,,,362.0,3239.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,LU,443.0,3681.0,,,443.0,3682.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,LU,79.0,3760.0,,,79.0,3761.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,LU,367.0,4127.0,,447.0,814.0,4575.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,LU,377.0,4504.0,347.0,794.0,724.0,5299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,LU,451.0,4955.0,449.0,1243.0,900.0,6199.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,LU,705.0,5660.0,0.0,1243.0,705.0,6904.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,LU,681.0,6341.0,1.0,1244.0,682.0,7586.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,LU,132.0,6473.0,0.0,1244.0,132.0,7718.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,LU,841.0,7314.0,1.0,1245.0,842.0,8560.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,LU,968.0,8282.0,0.0,1245.0,968.0,9528.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,LU,827.0,9109.0,97.0,1342.0,924.0,10452.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,LU,782.0,9891.0,141.0,1483.0,923.0,11375.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,LU,734.0,10625.0,198.0,1681.0,932.0,12307.0,,,,,,,,,,,,,,,,,,,,,,,,
