date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-04,LV,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,LV,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,LV,1.0,3.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,LV,1.0,4.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,LV,1.0,5.0,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,LV,1.0,6.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,LV,4.0,10.0,,,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,LV,4.0,14.0,,,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,LV,4.0,18.0,,,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,LV,5.0,23.0,,,5.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,LV,4.0,27.0,,,4.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,LV,3.0,30.0,,,3.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,LV,3.0,33.0,,,3.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,LV,5.0,38.0,,,5.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,LV,609.0,647.0,,1.0,610.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,LV,879.0,1526.0,0.0,1.0,879.0,1527.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,LV,801.0,2327.0,1.0,2.0,802.0,2329.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,LV,7.0,2334.0,0.0,2.0,7.0,2336.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,LV,6.0,2340.0,1.0,3.0,7.0,2343.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,LV,2.0,2342.0,0.0,3.0,2.0,2345.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,LV,4.0,2346.0,0.0,3.0,6.0,2351.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,LV,708.0,3054.0,1.0,4.0,709.0,3060.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,LV,897.0,3951.0,0.0,4.0,897.0,3957.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,LV,781.0,4732.0,3.0,7.0,784.0,4741.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,LV,814.0,5546.0,1.0,8.0,815.0,5556.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,LV,917.0,6463.0,4.0,12.0,921.0,6477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,LV,311.0,6774.0,0.0,12.0,311.0,6788.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,LV,336.0,7110.0,1.0,13.0,338.0,7126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,LV,1377.0,8487.0,0.0,13.0,1377.0,8503.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,LV,1638.0,10125.0,3.0,16.0,1641.0,10144.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,LV,1518.0,11643.0,6.0,22.0,1524.0,11668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,LV,1841.0,13484.0,5.0,27.0,1846.0,13514.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,LV,1881.0,15365.0,0.0,27.0,1881.0,15395.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,LV,675.0,16040.0,1.0,28.0,676.0,16071.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,LV,122.0,16162.0,5.0,33.0,127.0,16198.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,LV,277.0,16439.0,583.0,616.0,860.0,17058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,LV,80.0,16519.0,809.0,1425.0,889.0,17947.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,LV,30.0,16549.0,760.0,2185.0,790.0,18737.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,LV,274.0,16823.0,21.0,2206.0,295.0,19032.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,LV,209.0,17032.0,23.0,2229.0,232.0,19264.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,LV,134.0,17166.0,2.0,2231.0,136.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,LV,0.0,17166.0,5.0,2236.0,5.0,19405.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,LV,29.0,17195.0,653.0,2889.0,683.0,20088.0,,,,,,,,,,,,,,,,,,,,,,,,
