date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-24,MX,,2924.0,,,,2924.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,MX,3900.0,6824.0,,,3900.0,6824.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,MX,2755.0,9579.0,,,2755.0,9579.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,MX,8950.0,18529.0,,,8950.0,18529.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,MX,6469.0,24998.0,,,6469.0,24998.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,MX,18962.0,43960.0,,,18962.0,43960.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,MX,4276.0,48236.0,,,4276.0,48236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,MX,4949.0,53185.0,,,4949.0,53185.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,MX,5217.0,58402.0,,,5217.0,58402.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,MX,9066.0,67468.0,,,9066.0,67468.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,MX,7326.0,74794.0,,,7326.0,74794.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,MX,6506.0,81300.0,,,6506.0,81300.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,MX,5760.0,87060.0,,,5760.0,87060.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,MX,5819.0,92879.0,,,5819.0,92879.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,MX,99688.0,192567.0,,,99688.0,192567.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,MX,137416.0,329983.0,,,137416.0,329983.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,MX,85434.0,415417.0,,1958.0,87392.0,417375.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,MX,45608.0,461025.0,263.0,2221.0,45871.0,463246.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,MX,7683.0,468708.0,1213.0,3434.0,8896.0,472142.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,MX,17275.0,485983.0,3112.0,6546.0,20387.0,492529.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,MX,2530.0,488513.0,3063.0,9609.0,5593.0,498122.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,MX,1115.0,489628.0,1793.0,11402.0,2908.0,501030.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,MX,44689.0,534317.0,6616.0,18018.0,51305.0,552335.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,MX,60408.0,594725.0,2065.0,20083.0,62473.0,614808.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,MX,1571.0,596296.0,2389.0,22472.0,3960.0,618768.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,MX,8145.0,604441.0,2713.0,25185.0,10858.0,629626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,MX,11949.0,616390.0,3530.0,28715.0,15479.0,645105.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,MX,4615.0,621005.0,2599.0,31314.0,7214.0,652319.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,MX,3725.0,624730.0,0.0,31314.0,3725.0,656044.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,MX,1798.0,626528.0,0.0,31314.0,1798.0,657842.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,MX,4292.0,630820.0,83.0,31397.0,4375.0,662217.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,MX,478.0,631298.0,7612.0,39009.0,8090.0,670307.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,MX,187.0,631485.0,2833.0,41842.0,3020.0,673327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,MX,262.0,631747.0,1613.0,43455.0,1875.0,675202.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,MX,44.0,631791.0,2293.0,45748.0,2337.0,677539.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,MX,648.0,632439.0,8414.0,54162.0,9062.0,686601.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,MX,1907.0,634346.0,6580.0,60742.0,8487.0,695088.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,MX,1724.0,636070.0,3504.0,64246.0,5228.0,700316.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,MX,1028.0,637098.0,8854.0,73100.0,9882.0,710198.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,MX,583.0,637681.0,2736.0,75836.0,3319.0,713517.0,,,,,,,,,,,,,,,,,,,,,,,,
