date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-02,NO,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,NO,5.0,5.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,NO,1.0,6.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,NO,1.0,7.0,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,NO,4.0,11.0,,,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-12,NO,1.0,12.0,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,NO,2.0,14.0,,,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,NO,5.0,19.0,,,5.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,NO,9.0,28.0,,,9.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,NO,15.0,43.0,,,15.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,NO,5.0,48.0,,,5.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,NO,7.0,55.0,,,7.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,NO,14.0,69.0,,,14.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,NO,15.0,84.0,,,15.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,NO,17.0,101.0,,,17.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,NO,13.0,114.0,,,13.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,NO,8.0,122.0,,,8.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,NO,17.0,139.0,,,17.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,NO,627.0,766.0,,,627.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,NO,1092.0,1858.0,,,1092.0,1858.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,NO,472.0,2330.0,,,472.0,2330.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,NO,91.0,2421.0,,,91.0,2421.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,NO,27.0,2448.0,,,27.0,2448.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,NO,18.0,2466.0,,,18.0,2466.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,NO,42.0,2508.0,,,42.0,2508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,NO,38.0,2546.0,,,38.0,2546.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,NO,3446.0,5992.0,,,3446.0,5992.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,NO,9157.0,15149.0,,12.0,9169.0,15161.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,NO,6622.0,21771.0,2.0,14.0,6624.0,21785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,NO,1662.0,23433.0,10.0,24.0,1672.0,23457.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,NO,172.0,23605.0,2.0,26.0,174.0,23631.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,NO,139.0,23744.0,6.0,32.0,145.0,23776.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,NO,492.0,24236.0,11.0,43.0,503.0,24279.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,NO,4365.0,28601.0,9.0,52.0,4374.0,28653.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,NO,9965.0,38566.0,10.0,62.0,9975.0,38628.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,NO,8591.0,47157.0,10.0,72.0,8601.0,47229.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,NO,4620.0,51777.0,3.0,75.0,4623.0,51852.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,NO,843.0,52620.0,4.0,79.0,847.0,52699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,NO,388.0,53008.0,8.0,87.0,396.0,53095.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,NO,1332.0,54340.0,310.0,397.0,1642.0,54737.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,NO,4658.0,58998.0,836.0,1233.0,5494.0,60231.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,NO,10165.0,69163.0,711.0,1944.0,10876.0,71107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,NO,8601.0,77764.0,181.0,2125.0,8782.0,79889.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,NO,3443.0,81207.0,20.0,2145.0,3463.0,83352.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,NO,418.0,81625.0,10.0,2155.0,428.0,83780.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,NO,96.0,81721.0,12.0,2167.0,108.0,83888.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,NO,610.0,82331.0,20.0,2187.0,630.0,84518.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,NO,2367.0,84698.0,2411.0,4598.0,4778.0,89296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,NO,11686.0,96384.0,7859.0,12457.0,19545.0,108841.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,NO,11031.0,107415.0,6707.0,19164.0,17738.0,126579.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,NO,3923.0,111338.0,2147.0,21311.0,6070.0,132649.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,NO,206.0,111544.0,227.0,21538.0,433.0,133082.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,NO,183.0,111727.0,70.0,21608.0,253.0,133335.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,NO,259.0,111986.0,367.0,21975.0,626.0,133961.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,NO,6434.0,118420.0,3359.0,25334.0,9793.0,143754.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,NO,25385.0,143805.0,8868.0,34202.0,34253.0,178007.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,NO,26264.0,170069.0,8946.0,43148.0,35210.0,213217.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,NO,10855.0,180924.0,5067.0,48215.0,15922.0,229139.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,NO,864.0,181788.0,786.0,49001.0,1650.0,230789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,NO,351.0,182139.0,345.0,49346.0,696.0,231485.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,NO,137.0,182276.0,974.0,50320.0,1111.0,232596.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,NO,5689.0,187965.0,3448.0,53768.0,9137.0,241733.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,NO,23247.0,211212.0,9135.0,62903.0,32382.0,274115.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,NO,21256.0,232468.0,8947.0,71850.0,30203.0,304318.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,NO,8222.0,240690.0,3765.0,75615.0,11987.0,316305.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,NO,960.0,241650.0,349.0,75964.0,1309.0,317614.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,NO,145.0,241795.0,17.0,75981.0,162.0,317776.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,NO,882.0,242677.0,791.0,76772.0,1673.0,319449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,NO,6229.0,248906.0,2321.0,79093.0,8550.0,327999.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,NO,21974.0,270880.0,10794.0,89887.0,32768.0,360767.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,NO,19125.0,290005.0,11215.0,101102.0,30340.0,391107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,NO,10865.0,300870.0,4968.0,106070.0,15833.0,406940.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,NO,568.0,301438.0,228.0,106298.0,796.0,407736.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,NO,99.0,301537.0,175.0,106473.0,274.0,408010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,NO,2638.0,304175.0,194.0,106667.0,2832.0,410842.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,NO,6085.0,310260.0,5452.0,112119.0,11537.0,422379.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,NO,11232.0,321492.0,23291.0,135410.0,34523.0,456902.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,NO,11262.0,332754.0,26871.0,162281.0,38133.0,495035.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,NO,8475.0,341229.0,10306.0,172587.0,18781.0,513816.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,NO,513.0,341742.0,297.0,172884.0,810.0,514626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,NO,561.0,342303.0,184.0,173068.0,745.0,515371.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,NO,6114.0,348417.0,108.0,173176.0,6222.0,521593.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,NO,10798.0,359215.0,4016.0,177192.0,14814.0,536407.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,NO,18123.0,377338.0,18863.0,196055.0,36986.0,573393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,NO,16417.0,393755.0,19146.0,215201.0,35563.0,608956.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,NO,12119.0,405874.0,6846.0,222047.0,18965.0,627921.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,NO,515.0,406389.0,533.0,222580.0,1048.0,628969.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,NO,192.0,406581.0,22.0,222602.0,214.0,629183.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,NO,5190.0,411771.0,78.0,222680.0,5268.0,634451.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,NO,12893.0,424664.0,4423.0,227103.0,17316.0,651767.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,NO,21527.0,446191.0,17951.0,245054.0,39478.0,691245.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,NO,12121.0,458312.0,17433.0,262487.0,29554.0,720799.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,NO,2486.0,460798.0,8648.0,271135.0,11134.0,731933.0,,,,,,,,,,,,,,,,,,,,,,,,
