date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,PL,2170.0,2170.0,0.0,0.0,2170.0,2170.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,PL,4385.0,6555.0,0.0,0.0,4385.0,6555.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,PL,10028.0,16583.0,0.0,0.0,10028.0,16583.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,PL,20329.0,36912.0,0.0,0.0,20329.0,36912.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,PL,10611.0,47523.0,0.0,0.0,10612.0,47524.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,PL,1352.0,48875.0,2.0,2.0,1354.0,48878.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,PL,2262.0,51137.0,0.0,2.0,2262.0,51140.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,PL,640.0,51777.0,0.0,2.0,640.0,51780.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,PL,40623.0,92400.0,2.0,4.0,40625.0,92405.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,PL,55343.0,147743.0,1.0,5.0,55344.0,147749.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,PL,18761.0,166504.0,0.0,5.0,18761.0,166510.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,PL,30375.0,196879.0,0.0,5.0,30375.0,196885.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,PL,11831.0,208710.0,0.0,5.0,11831.0,208716.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,PL,2263.0,210973.0,0.0,5.0,2263.0,210979.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,PL,993.0,211966.0,2.0,7.0,996.0,211975.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,PL,47660.0,259626.0,2.0,9.0,47662.0,259637.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,PL,63444.0,323070.0,0.0,9.0,63444.0,323081.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,PL,55158.0,378228.0,1.0,10.0,55159.0,378240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,PL,46572.0,424800.0,3.0,13.0,46575.0,424815.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,PL,26253.0,451053.0,1.0,14.0,26254.0,451069.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,PL,20978.0,472031.0,17.0,31.0,20995.0,472064.0,,,,,,,,,,,,,,,,,,,,,,,,
