date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-13,PL_22,3615.0,,0.0,1.0,3615.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,PL_22,2928.0,,0.0,1.0,2928.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,PL_22,2508.0,,1.0,2.0,2509.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,PL_22,1637.0,,0.0,2.0,1637.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,PL_22,759.0,,0.0,2.0,759.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,PL_22,499.0,,0.0,2.0,499.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,PL_22,1100.0,,135.0,137.0,1235.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,PL_22,2048.0,,258.0,408.0,2306.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,PL_22,2020.0,,1149.0,1597.0,3169.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,PL_22,2468.0,,1392.0,3038.0,3860.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,PL_22,2309.0,,520.0,3866.0,2829.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,PL_22,549.0,,125.0,4109.0,674.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,PL_22,174.0,,24.0,4295.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,PL_22,2515.0,,1912.0,6207.0,4427.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,PL_22,4514.0,,2723.0,9279.0,7237.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,PL_22,3648.0,,1856.0,11470.0,5504.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,PL_22,2616.0,,2005.0,13647.0,4621.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,PL_22,1496.0,,913.0,14761.0,2409.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,PL_22,627.0,,341.0,15371.0,968.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,PL_22,1.0,,1.0,15940.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,PL_22,1290.0,,2079.0,18076.0,3369.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,PL_22,3138.0,,3338.0,21675.0,6476.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,PL_22,3184.0,,3140.0,25330.0,6324.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,PL_22,2674.0,,2937.0,28767.0,5611.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,PL_22,671.0,,1380.0,30509.0,2051.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,PL_22,150.0,,371.0,31175.0,521.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,PL_22,24.0,,349.0,31973.0,373.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,PL_22,1141.0,,826.0,32991.0,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,PL_22,4278.0,,1321.0,34421.0,5599.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,PL_22,3738.0,,2119.0,36533.0,5857.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,PL_22,3399.0,,3848.0,40618.0,7247.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,PL_22,1878.0,,2777.0,43723.0,4655.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,PL_22,1679.0,,715.0,44482.0,2394.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,PL_22,707.0,,88.0,44726.0,795.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,PL_22,1417.0,,869.0,45598.0,2286.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,PL_22,2035.0,,2224.0,48034.0,4259.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,PL_22,4819.0,,4464.0,52770.0,9283.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,PL_22,5452.0,,4771.0,57706.0,10223.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,PL_22,2600.0,,3163.0,61106.0,5763.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,PL_22,1966.0,,653.0,61949.0,2619.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,PL_22,713.0,,480.0,62606.0,1193.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,PL_22,1881.0,,680.0,63339.0,2561.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,PL_22,2887.0,,1159.0,64803.0,4046.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,PL_22,4875.0,,4681.0,69526.0,9556.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,PL_22,5457.0,,5401.0,74930.0,10858.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,PL_22,3161.0,,2586.0,77650.0,5747.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,PL_22,2830.0,,709.0,78417.0,3539.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,PL_22,999.0,,0.0,78531.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,PL_22,3335.0,,234.0,78777.0,3569.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,PL_22,4060.0,,1661.0,80535.0,5721.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,PL_22,5953.0,,3837.0,84579.0,9790.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,PL_22,6199.0,,5251.0,90090.0,11450.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,PL_22,4691.0,,2886.0,93208.0,7577.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,PL_22,3502.0,,867.0,94171.0,4369.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,PL_22,1056.0,,466.0,94749.0,1522.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,PL_22,1922.0,,578.0,95335.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,PL_22,2655.0,,752.0,96073.0,3407.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,PL_22,5461.0,,3091.0,99205.0,8552.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,PL_22,5577.0,,4793.0,104041.0,10370.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,PL_22,3177.0,,2194.0,106354.0,5371.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,PL_22,1270.0,,220.0,106576.0,1490.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,PL_22,610.0,,2.0,106615.0,612.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,PL_22,1597.0,,580.0,107186.0,2177.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,PL_22,2057.0,,882.0,108109.0,2939.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,PL_22,5561.0,,2933.0,111110.0,8494.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,PL_22,5442.0,,4141.0,115357.0,9583.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,PL_22,3006.0,,2355.0,117833.0,5361.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,PL_22,939.0,,578.0,118523.0,1517.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,PL_22,519.0,,230.0,119061.0,749.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,PL_22,2496.0,,431.0,119668.0,2927.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,PL_22,5450.0,,1348.0,121150.0,6798.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,PL_22,7941.0,,2987.0,124417.0,10928.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,PL_22,7845.0,,4615.0,129306.0,12460.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,PL_22,5562.0,,2587.0,132101.0,8149.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,PL_22,2867.0,,1099.0,133314.0,3966.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,PL_22,682.0,,485.0,133876.0,1167.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,PL_22,3629.0,,1030.0,134982.0,4659.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,PL_22,5714.0,,1478.0,136509.0,7192.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,PL_22,9535.0,,1590.0,138136.0,11125.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,PL_22,8847.0,,1547.0,139784.0,10394.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,PL_22,7313.0,,932.0,140815.0,8245.0,,,,,,,,,,,,,,,,,,,,,,,,,
