date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-01,PT,,5167.0,,4.0,,5173.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,PT,80365.0,85532.0,180.0,184.0,80532.0,85705.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,PT,50584.0,136116.0,1261.0,1445.0,51847.0,137552.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,PT,123246.0,259362.0,32788.0,34233.0,156135.0,293687.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,PT,42830.0,302192.0,46032.0,80265.0,88939.0,382626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,PT,24955.0,327147.0,37848.0,118113.0,62783.0,445409.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,PT,41712.0,368859.0,100046.0,218159.0,141786.0,587195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,PT,104449.0,473308.0,50845.0,269004.0,155310.0,742505.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,PT,178203.0,651511.0,21203.0,290207.0,199410.0,941915.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,PT,140988.0,792499.0,34294.0,324501.0,175232.0,1117147.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,PT,98951.0,891450.0,52734.0,377235.0,151608.0,1268755.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,PT,84590.0,976040.0,111129.0,488364.0,195653.0,1464408.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,PT,260451.0,1236491.0,22901.0,511265.0,283312.0,1747720.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,PT,140709.0,1377200.0,86234.0,597499.0,226845.0,1974565.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,PT,259570.0,1636770.0,55268.0,652767.0,314658.0,2289223.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,PT,428785.0,2065555.0,56243.0,709010.0,484991.0,2774214.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,PT,214193.0,2279748.0,141307.0,850317.0,355527.0,3129741.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,PT,350714.0,2630462.0,92241.0,942558.0,441532.0,3571273.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,PT,387664.0,3018126.0,222937.0,1165495.0,598031.0,4169304.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,PT,310894.0,3329020.0,309090.0,1474585.0,602021.0,4771325.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,PT,333548.0,3662568.0,223591.0,1698176.0,532992.0,5304317.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,PT,285705.0,3948273.0,332938.0,2031114.0,568960.0,5873277.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,PT,291866.0,4240139.0,343266.0,2374380.0,578121.0,6451398.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,PT,393701.0,4633840.0,255290.0,2629670.0,620498.0,7071896.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,PT,384391.0,5018231.0,393198.0,3022868.0,741597.0,7813493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,PT,426100.0,5444331.0,350029.0,3372897.0,730979.0,8544472.0,,,,,,,,,,,,,,,,,,,,,,,,
