date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-30,SE_122,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SE_122,960.0,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SE_122,2488.0,3540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SE_122,2938.0,6478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,SE_122,3320.0,9798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,SE_122,916.0,10714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,SE_122,375.0,11089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,SE_122,707.0,11796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,SE_122,3241.0,15037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,SE_122,4765.0,19802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,SE_122,6420.0,26222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,SE_122,6389.0,32611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,SE_122,5344.0,37955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,SE_122,3683.0,41638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,SE_122,4940.0,46578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,SE_122,9951.0,56529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,SE_122,11013.0,67542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,SE_122,10464.0,78006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,SE_122,13523.0,91529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,SE_122,6886.0,98415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,SE_122,8403.0,106818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,SE_122,5316.0,112134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,SE_122,7774.0,119908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,SE_122,7578.0,127486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,SE_122,8692.0,136178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,SE_122,10660.0,146838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,SE_122,8320.0,155158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,SE_122,8812.0,163970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,SE_122,7319.0,171289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,SE_122,7314.0,178603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,SE_122,5623.0,184226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,SE_122,2843.0,187069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,SE_122,2688.0,189757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,SE_122,3683.0,193440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,SE_122,3576.0,197016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,SE_122,2436.0,199452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,SE_122,2230.0,201682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,SE_122,1630.0,203312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,SE_122,1375.0,204687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,SE_122,1308.0,205995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,SE_122,856.0,206851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,SE_122,695.0,207546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,SE_122,3292.0,210838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,SE_122,3199.0,214037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,SE_122,3141.0,217178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,SE_122,462.0,217640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,SE_122,723.0,218363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-19,SE_122,888.0,219251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,SE_122,1033.0,220284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,SE_122,836.0,221120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-10,SE_122,925.0,222045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-17,SE_122,976.0,223021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-24,SE_122,520.0,223541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SE_122,276.0,223817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,SE_122,633.0,224450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,SE_122,750.0,225200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-22,SE_122,512.0,225712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,SE_122,475.0,226187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-05,SE_122,295.0,226482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,SE_122,215.0,226697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19,SE_122,152.0,226849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-26,SE_122,115.0,226964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05,SE_122,107.0,227071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,SE_122,59.0,227130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,SE_122,112.0,227242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-26,SE_122,41.0,227283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-02,SE_122,51.0,227334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-09,SE_122,30.0,227364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-16,SE_122,35.0,227399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-23,SE_122,40.0,227439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,SE_122,35.0,227474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-07,SE_122,57.0,227531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-14,SE_122,62.0,227593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,SE_122,39.0,227632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-28,SE_122,34.0,227666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-04,SE_122,36.0,227702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11,SE_122,25.0,227727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-18,SE_122,22.0,227749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25,SE_122,17.0,227766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,SE_122,16.0,227782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-09,SE_122,10.0,227792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-16,SE_122,14.0,227806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-23,SE_122,12.0,227818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-30,SE_122,11.0,227829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-06,SE_122,9.0,227838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,SE_122,8.0,227846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,SE_122,16.0,227862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,SE_122,9.0,227871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,SE_122,18.0,227889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-10,SE_122,22.0,227911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
