date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,SI,,6199.0,,,,6199.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,SI,1686.0,7885.0,,,1686.0,7885.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,SI,1326.0,9211.0,,,1326.0,9211.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,SI,422.0,9633.0,,,422.0,9633.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,SI,1857.0,11490.0,,,1857.0,11490.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,SI,151.0,11641.0,,,151.0,11641.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,SI,404.0,12045.0,,,404.0,12045.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,SI,556.0,12601.0,,1.0,556.0,12601.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,SI,1091.0,13692.0,0.0,1.0,1091.0,13692.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,SI,2546.0,16238.0,0.0,1.0,2546.0,16238.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SI,5392.0,21630.0,1.0,2.0,5393.0,21631.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,SI,5476.0,27106.0,0.0,2.0,5476.0,27107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SI,3264.0,30370.0,1.0,3.0,3265.0,30372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SI,254.0,30624.0,0.0,3.0,254.0,30626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,SI,1.0,30625.0,0.0,3.0,1.0,30627.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,SI,484.0,31109.0,0.0,3.0,484.0,31111.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,SI,1882.0,32991.0,0.0,3.0,1882.0,32993.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,SI,4735.0,37726.0,2.0,5.0,4737.0,37730.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,SI,6748.0,44474.0,1.0,6.0,6749.0,44479.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SI,4743.0,49217.0,147.0,153.0,4890.0,49369.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,SI,325.0,49542.0,0.0,153.0,325.0,49694.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,SI,2.0,49544.0,1.0,154.0,3.0,49697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,SI,43.0,49587.0,166.0,320.0,209.0,49906.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,SI,545.0,50132.0,1648.0,1968.0,2190.0,52096.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,SI,1192.0,51324.0,3808.0,5776.0,4996.0,57092.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,SI,1289.0,52613.0,3489.0,9265.0,4777.0,61869.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,SI,1188.0,53801.0,996.0,10261.0,2183.0,64052.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,SI,231.0,54032.0,490.0,10751.0,721.0,64773.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,SI,17.0,54049.0,135.0,10886.0,152.0,64925.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,SI,3.0,54052.0,5.0,10891.0,8.0,64933.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,SI,80.0,54132.0,1754.0,12645.0,1834.0,66767.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,SI,266.0,54398.0,4859.0,17504.0,5122.0,71889.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,SI,523.0,54921.0,5811.0,23315.0,6326.0,78215.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,SI,547.0,55468.0,4053.0,27368.0,4600.0,82815.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,SI,11.0,55479.0,106.0,27474.0,117.0,82932.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,SI,1.0,55480.0,2.0,27476.0,3.0,82935.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,SI,23.0,55503.0,44.0,27520.0,67.0,83002.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,SI,19.0,55522.0,1100.0,28620.0,1119.0,84121.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,SI,186.0,55708.0,4675.0,33295.0,4858.0,88979.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,SI,610.0,56318.0,6852.0,40147.0,7459.0,96438.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,SI,363.0,56681.0,5334.0,45481.0,5694.0,102132.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,SI,28.0,56709.0,575.0,46056.0,603.0,102735.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,SI,399.0,57108.0,1.0,46057.0,400.0,103135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,SI,88.0,57196.0,32.0,46089.0,120.0,103255.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,SI,2492.0,59688.0,727.0,46816.0,3219.0,106474.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,SI,6914.0,66602.0,1871.0,48687.0,8785.0,115259.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,SI,6930.0,73532.0,1809.0,50496.0,8736.0,123995.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,SI,711.0,74243.0,191.0,50687.0,902.0,124897.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,SI,17.0,70612.0,16.0,47496.0,33.0,118108.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,SI,76.0,74336.0,8.0,50711.0,84.0,125014.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,SI,1055.0,75391.0,77.0,50788.0,1132.0,126146.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,SI,4948.0,80339.0,631.0,51419.0,5577.0,131723.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,SI,8329.0,88668.0,769.0,52188.0,9097.0,140820.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,SI,6175.0,94843.0,608.0,52796.0,6783.0,147603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,SI,2525.0,97368.0,18.0,52814.0,2543.0,150146.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,SI,23213.0,93825.0,2244.0,49740.0,25457.0,143565.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,SI,474.0,97842.0,4.0,52819.0,478.0,150625.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,SI,1524.0,99366.0,12.0,52831.0,1536.0,152161.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,SI,6822.0,106188.0,188.0,53019.0,7010.0,159171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,SI,10804.0,116992.0,191.0,53210.0,10994.0,170165.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,SI,7265.0,124257.0,549.0,53759.0,7814.0,177979.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,SI,920.0,125177.0,11.0,53770.0,931.0,178910.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,SI,27130.0,120955.0,1293.0,51033.0,28423.0,171988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,SI,1139.0,126316.0,0.0,53770.0,1139.0,180049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,SI,2180.0,128496.0,10.0,53780.0,2190.0,182239.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,SI,6582.0,135078.0,903.0,54683.0,7484.0,189723.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,SI,6736.0,141814.0,4666.0,59349.0,11399.0,201122.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,SI,4599.0,146413.0,5780.0,65129.0,10378.0,211500.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,SI,1364.0,147777.0,596.0,65725.0,1959.0,213459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,SI,23025.0,143980.0,11546.0,62579.0,34571.0,206559.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,SI,1411.0,149190.0,396.0,66121.0,1807.0,215268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,SI,3693.0,152883.0,500.0,66621.0,4192.0,219460.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,SI,4792.0,157675.0,4976.0,71597.0,9767.0,229227.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,SI,6269.0,163944.0,7932.0,79529.0,14198.0,243425.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,SI,8482.0,172426.0,5181.0,84710.0,13659.0,257084.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,SI,6444.0,178870.0,2261.0,86971.0,8705.0,265789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,SI,29531.0,173511.0,20961.0,83540.0,50492.0,257051.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,SI,1343.0,180214.0,293.0,87264.0,1636.0,267426.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,SI,280.0,180494.0,785.0,88049.0,1065.0,268491.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,SI,452.0,180946.0,5714.0,93763.0,6166.0,274657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,SI,1678.0,182624.0,8438.0,102201.0,10114.0,284771.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,SI,2982.0,185606.0,4530.0,106731.0,7508.0,292279.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,SI,4066.0,189672.0,181.0,106912.0,4247.0,296526.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,SI,1.0,189673.0,1.0,106913.0,2.0,296528.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,SI,1129.0,190802.0,9.0,106922.0,1138.0,297666.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,SI,4000.0,194802.0,316.0,107238.0,4316.0,301982.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,SI,7377.0,202179.0,2631.0,109869.0,10005.0,311987.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,SI,11928.0,214107.0,2564.0,112433.0,14490.0,326477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,SI,13792.0,227899.0,2353.0,114786.0,16145.0,342622.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,SI,6807.0,234706.0,497.0,115283.0,7304.0,349926.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,SI,1258.0,235964.0,3.0,115286.0,1261.0,351187.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,SI,1130.0,237094.0,7.0,115293.0,1137.0,352324.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,SI,7736.0,244830.0,323.0,115616.0,8059.0,360383.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,SI,13423.0,258253.0,1331.0,116947.0,14753.0,375136.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,SI,16805.0,275058.0,2691.0,119638.0,19494.0,394630.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,SI,10139.0,285197.0,2125.0,121763.0,12263.0,406893.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,SI,3102.0,288299.0,29.0,121792.0,3131.0,410024.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,SI,1594.0,289893.0,2.0,121794.0,1596.0,411620.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,SI,1.0,289894.0,0.0,121794.0,1.0,411621.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,SI,2471.0,292365.0,369.0,122163.0,2840.0,414461.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,SI,6150.0,298515.0,21.0,122184.0,6171.0,420632.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,SI,14759.0,313274.0,658.0,122842.0,15417.0,436049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,SI,18563.0,331837.0,1701.0,124543.0,20264.0,456313.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,SI,9081.0,340918.0,131.0,124674.0,9211.0,465524.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,SI,1629.0,342547.0,13.0,124687.0,1642.0,467166.0,,,,,,,,,,,,,,,,,,,,,,,,
