date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-03,SK,,30159.0,,,,30160.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,SK,480.0,480.0,0.0,0.0,480.0,480.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,SK,968.0,1448.0,0.0,0.0,968.0,1448.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SK,6283.0,6791.0,0.0,0.0,6283.0,6791.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,SK,8153.0,15884.0,0.0,0.0,8153.0,15884.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SK,8135.0,24019.0,0.0,0.0,8135.0,24019.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SK,1705.0,23138.0,0.0,0.0,1705.0,23138.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,SK,3045.0,11830.0,0.0,0.0,3045.0,11830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,SK,4088.0,32857.0,0.0,0.0,4088.0,32857.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,SK,11036.0,43893.0,0.0,0.0,11036.0,43893.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,SK,6834.0,50727.0,0.0,0.0,6834.0,50727.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,SK,7402.0,58129.0,0.0,0.0,7402.0,58129.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SK,7958.0,66087.0,0.0,0.0,7958.0,66087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,SK,1063.0,56572.0,0.0,0.0,1063.0,56572.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,SK,54.0,17802.0,0.0,0.0,54.0,17802.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,SK,8256.0,75340.0,582.0,582.0,8838.0,75922.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,SK,7826.0,83166.0,584.0,1166.0,8410.0,84332.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,SK,7014.0,90180.0,874.0,2040.0,7888.0,92220.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,SK,5589.0,95769.0,649.0,2689.0,6238.0,98458.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,SK,6684.0,102453.0,133.0,2822.0,6817.0,105275.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,SK,276.0,21539.0,0.0,1.0,276.0,21540.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,SK,0.0,79622.0,0.0,2029.0,0.0,81651.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,SK,6858.0,109587.0,2293.0,5115.0,9151.0,114702.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,SK,6914.0,116501.0,361.0,5476.0,7275.0,121977.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,SK,6783.0,123284.0,169.0,5645.0,6952.0,128929.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,SK,8353.0,131637.0,1649.0,7294.0,10002.0,138931.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,SK,9606.0,141243.0,2423.0,9717.0,12029.0,150960.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,SK,1389.0,76639.0,3.0,3660.0,1392.0,80299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,SK,60.0,124819.0,0.0,7417.0,60.0,132236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,SK,9198.0,151890.0,2911.0,12631.0,12109.0,164521.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,SK,8760.0,160650.0,3450.0,16081.0,12210.0,176731.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,SK,9455.0,170105.0,2336.0,18417.0,11791.0,188522.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,SK,8763.0,178868.0,5597.0,24014.0,14360.0,202882.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,SK,8367.0,187235.0,6681.0,30695.0,15048.0,217930.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,SK,1993.0,103775.0,671.0,18790.0,2664.0,122565.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,SK,180.0,166689.0,0.0,26537.0,180.0,193226.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,SK,7491.0,196899.0,4279.0,35645.0,11770.0,232544.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,SK,7328.0,204227.0,7532.0,43177.0,14860.0,247404.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,SK,6426.0,210653.0,6512.0,49689.0,12938.0,260342.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,SK,7455.0,218108.0,6600.0,56289.0,14055.0,274397.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,SK,7694.0,225802.0,6395.0,62684.0,14089.0,288486.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,SK,4494.0,180691.0,396.0,50102.0,4890.0,230793.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,SK,11589.0,214765.0,205.0,54296.0,11794.0,269061.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,SK,6641.0,248526.0,6407.0,69692.0,13048.0,318218.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,SK,4999.0,253525.0,6311.0,76003.0,11310.0,329528.0,,,,,,,,,,,,,,,,,,,,,,,,
