date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-05,SK_BL,83.0,83.0,0.0,0.0,83.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SK_BL,3894.0,3977.0,0.0,0.0,3894.0,3977.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,SK_BL,1489.0,5466.0,0.0,0.0,1489.0,5466.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SK_BL,1939.0,7405.0,0.0,0.0,1939.0,7405.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SK_BL,195.0,7600.0,0.0,0.0,195.0,7600.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,SK_BL,1195.0,8795.0,0.0,0.0,1195.0,8795.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,SK_BL,1452.0,10247.0,0.0,0.0,1452.0,10247.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,SK_BL,1274.0,11521.0,0.0,0.0,1274.0,11521.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,SK_BL,1464.0,12985.0,0.0,0.0,1464.0,12985.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SK_BL,1385.0,14370.0,0.0,0.0,1385.0,14370.0,,,,,,,,,,,,,,,,,,,,,,,,
