date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-05,SK_TA,135.0,135.0,0.0,0.0,135.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SK_TA,100.0,235.0,0.0,0.0,100.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,SK_TA,582.0,817.0,0.0,0.0,582.0,817.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SK_TA,525.0,1342.0,0.0,0.0,525.0,1342.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SK_TA,0.0,1342.0,0.0,0.0,0.0,1342.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,SK_TA,300.0,1642.0,0.0,0.0,300.0,1642.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,SK_TA,779.0,2421.0,0.0,0.0,779.0,2421.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,SK_TA,683.0,3104.0,0.0,0.0,683.0,3104.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,SK_TA,893.0,3997.0,0.0,0.0,893.0,3997.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SK_TA,935.0,4932.0,0.0,0.0,935.0,4932.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,SK_TA,120.0,5052.0,0.0,0.0,120.0,5052.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,SK_TA,855.0,5787.0,0.0,0.0,855.0,5787.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,SK_TA,1063.0,6850.0,0.0,0.0,1063.0,6850.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,SK_TA,865.0,7715.0,0.0,0.0,865.0,7715.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,SK_TA,550.0,8265.0,0.0,0.0,550.0,8265.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,SK_TA,510.0,8775.0,0.0,0.0,510.0,8775.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,SK_TA,0.0,8775.0,0.0,0.0,0.0,8775.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,SK_TA,795.0,9570.0,1.0,1.0,796.0,9571.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,SK_TA,847.0,10417.0,0.0,1.0,847.0,10418.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,SK_TA,693.0,11110.0,1.0,2.0,694.0,11112.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,SK_TA,928.0,12038.0,0.0,2.0,928.0,12040.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,SK_TA,553.0,12591.0,118.0,120.0,671.0,12711.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,SK_TA,0.0,12591.0,0.0,120.0,0.0,12711.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,SK_TA,1053.0,13644.0,207.0,327.0,1260.0,13971.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,SK_TA,1283.0,14927.0,133.0,460.0,1416.0,15387.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,SK_TA,1403.0,16330.0,109.0,569.0,1512.0,16899.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,SK_TA,1102.0,17432.0,363.0,932.0,1465.0,18364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,SK_TA,1025.0,18457.0,324.0,1256.0,1349.0,19713.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,SK_TA,0.0,18457.0,0.0,1256.0,0.0,19713.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,SK_TA,994.0,19451.0,290.0,1546.0,1284.0,20997.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,SK_TA,687.0,20138.0,609.0,2155.0,1296.0,22293.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,SK_TA,768.0,20906.0,612.0,2767.0,1380.0,23673.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,SK_TA,790.0,21696.0,607.0,3374.0,1397.0,25070.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,SK_TA,789.0,22485.0,615.0,3989.0,1404.0,26474.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,SK_TA,3048.0,25533.0,0.0,3989.0,3048.0,29522.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,SK_TA,283.0,25816.0,1211.0,5200.0,1494.0,31016.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,SK_TA,217.0,26033.0,577.0,5777.0,794.0,31810.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,SK_TA,220.0,26253.0,562.0,6339.0,782.0,32592.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,SK_TA,348.0,26601.0,698.0,7037.0,1046.0,33638.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,SK_TA,697.0,27298.0,679.0,7716.0,1376.0,35014.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,SK_TA,1000.0,28298.0,0.0,7716.0,1000.0,36014.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,SK_TA,1330.0,29628.0,0.0,7716.0,1330.0,37344.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,SK_TA,266.0,29894.0,360.0,8076.0,626.0,37970.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,SK_TA,466.0,30360.0,736.0,8812.0,1202.0,39172.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,SK_TA,421.0,30781.0,678.0,9490.0,1099.0,40271.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,SK_TA,262.0,31043.0,538.0,10028.0,800.0,41071.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,SK_TA,230.0,31273.0,876.0,10904.0,1106.0,42177.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,SK_TA,1650.0,32923.0,0.0,10904.0,1650.0,43827.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,SK_TA,2000.0,34923.0,0.0,10904.0,2000.0,45827.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,SK_TA,330.0,35253.0,1237.0,12141.0,1567.0,47394.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,SK_TA,198.0,35451.0,868.0,13009.0,1066.0,48460.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,SK_TA,292.0,35743.0,1707.0,14716.0,1999.0,50459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,SK_TA,268.0,36011.0,926.0,15642.0,1194.0,51653.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,SK_TA,367.0,36378.0,884.0,16526.0,1251.0,52904.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,SK_TA,4406.0,40784.0,0.0,16526.0,4406.0,57310.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,SK_TA,53.0,40837.0,1039.0,17565.0,1092.0,58402.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,SK_TA,370.0,41207.0,710.0,18275.0,1080.0,59482.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,SK_TA,153.0,41360.0,825.0,19100.0,978.0,60460.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,SK_TA,675.0,42035.0,807.0,19907.0,1482.0,61942.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,SK_TA,602.0,42637.0,741.0,20648.0,1343.0,63285.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,SK_TA,4180.0,46817.0,0.0,20648.0,4180.0,67465.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,SK_TA,4147.0,50964.0,0.0,20648.0,4147.0,71612.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,SK_TA,1187.0,52151.0,315.0,20963.0,1502.0,73114.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,SK_TA,1265.0,53416.0,224.0,21187.0,1489.0,74603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,SK_TA,1217.0,54633.0,228.0,21415.0,1445.0,76048.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,SK_TA,1373.0,56006.0,315.0,21730.0,1688.0,77736.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,SK_TA,814.0,56820.0,730.0,22460.0,1544.0,79280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,SK_TA,4345.0,61165.0,0.0,22460.0,4345.0,83625.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,SK_TA,4367.0,65532.0,0.0,22460.0,4367.0,87992.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,SK_TA,1776.0,67308.0,136.0,22596.0,1912.0,89904.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,SK_TA,1373.0,68681.0,353.0,22949.0,1726.0,91630.0,,,,,,,,,,,,,,,,,,,,,,,,
