date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-05,SK_TC,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SK_TC,25.0,25.0,0.0,0.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,SK_TC,989.0,1014.0,0.0,0.0,989.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SK_TC,839.0,1853.0,0.0,0.0,839.0,1853.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SK_TC,260.0,2113.0,0.0,0.0,260.0,2113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,SK_TC,0.0,2113.0,0.0,0.0,0.0,2113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,SK_TC,471.0,2584.0,0.0,0.0,471.0,2584.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,SK_TC,536.0,3120.0,0.0,0.0,536.0,3120.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,SK_TC,635.0,3755.0,0.0,0.0,635.0,3755.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,SK_TC,564.0,4319.0,0.0,0.0,564.0,4319.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SK_TC,867.0,5186.0,0.0,0.0,867.0,5186.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,SK_TC,306.0,5492.0,0.0,0.0,306.0,5492.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,SK_TC,677.0,6169.0,0.0,0.0,677.0,6169.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,SK_TC,662.0,6831.0,0.0,0.0,662.0,6831.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,SK_TC,908.0,7739.0,0.0,0.0,908.0,7739.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,SK_TC,691.0,8430.0,0.0,0.0,691.0,8430.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,SK_TC,991.0,9421.0,0.0,0.0,991.0,9421.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,SK_TC,54.0,9475.0,0.0,0.0,54.0,9475.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,SK_TC,0.0,9475.0,0.0,0.0,0.0,9475.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,SK_TC,516.0,9991.0,0.0,0.0,516.0,9991.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,SK_TC,498.0,10489.0,0.0,0.0,498.0,10489.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,SK_TC,743.0,11232.0,0.0,0.0,743.0,11232.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,SK_TC,810.0,12042.0,0.0,0.0,810.0,12042.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,SK_TC,1443.0,13485.0,4.0,4.0,1447.0,13489.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,SK_TC,408.0,13893.0,0.0,4.0,408.0,13897.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,SK_TC,0.0,13893.0,0.0,4.0,0.0,13897.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,SK_TC,807.0,14700.0,14.0,18.0,821.0,14718.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,SK_TC,401.0,15101.0,1.0,19.0,402.0,15120.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,SK_TC,1172.0,16273.0,301.0,320.0,1473.0,16593.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,SK_TC,822.0,17095.0,270.0,590.0,1092.0,17685.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,SK_TC,917.0,18012.0,916.0,1506.0,1833.0,19518.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,SK_TC,1657.0,19669.0,239.0,1745.0,1896.0,21414.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,SK_TC,0.0,19669.0,0.0,1745.0,0.0,21414.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,SK_TC,368.0,20037.0,424.0,2169.0,792.0,22206.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,SK_TC,1031.0,21068.0,826.0,2995.0,1857.0,24063.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,SK_TC,398.0,21466.0,500.0,3495.0,898.0,24961.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,SK_TC,608.0,22074.0,546.0,4041.0,1154.0,26115.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,SK_TC,1057.0,23131.0,954.0,4995.0,2011.0,28126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,SK_TC,114.0,23245.0,66.0,5061.0,180.0,28306.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,SK_TC,2785.0,26030.0,205.0,5266.0,2990.0,31296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,SK_TC,49.0,26079.0,712.0,5978.0,761.0,32057.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,SK_TC,208.0,26287.0,566.0,6544.0,774.0,32831.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,SK_TC,655.0,26942.0,898.0,7442.0,1553.0,34384.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,SK_TC,306.0,27248.0,960.0,8402.0,1266.0,35650.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,SK_TC,438.0,27686.0,677.0,9079.0,1115.0,36765.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,SK_TC,926.0,28612.0,0.0,9079.0,926.0,37691.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,SK_TC,644.0,29256.0,0.0,9079.0,644.0,38335.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,SK_TC,241.0,29497.0,599.0,9678.0,840.0,39175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,SK_TC,746.0,30243.0,630.0,10308.0,1376.0,40551.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,SK_TC,537.0,30780.0,609.0,10917.0,1146.0,41697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,SK_TC,90.0,30870.0,717.0,11634.0,807.0,42504.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,SK_TC,251.0,31121.0,1129.0,12763.0,1380.0,43884.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,SK_TC,699.0,31820.0,346.0,13109.0,1045.0,44929.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,SK_TC,760.0,32580.0,0.0,13109.0,760.0,45689.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,SK_TC,113.0,32693.0,645.0,13754.0,758.0,46447.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,SK_TC,396.0,33089.0,1086.0,14840.0,1482.0,47929.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,SK_TC,357.0,33446.0,837.0,15677.0,1194.0,49123.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,SK_TC,381.0,33827.0,821.0,16498.0,1202.0,50325.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,SK_TC,719.0,34546.0,960.0,17458.0,1679.0,52004.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,SK_TC,1340.0,35886.0,1561.0,19019.0,2901.0,54905.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,SK_TC,1174.0,37060.0,0.0,19019.0,1174.0,56079.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,SK_TC,236.0,37296.0,418.0,19437.0,654.0,56733.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,SK_TC,304.0,37600.0,810.0,20247.0,1114.0,57847.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,SK_TC,200.0,37800.0,429.0,20676.0,629.0,58476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,SK_TC,901.0,38701.0,867.0,21543.0,1768.0,60244.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,SK_TC,1212.0,39913.0,491.0,22034.0,1703.0,61947.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,SK_TC,1253.0,41166.0,1850.0,23884.0,3103.0,65050.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,SK_TC,2410.0,43576.0,0.0,23884.0,2410.0,67460.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,SK_TC,1037.0,44613.0,51.0,23935.0,1088.0,68548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,SK_TC,1262.0,45875.0,179.0,24114.0,1441.0,69989.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,SK_TC,1072.0,46947.0,298.0,24412.0,1370.0,71359.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,SK_TC,884.0,47831.0,310.0,24722.0,1194.0,72553.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,SK_TC,1955.0,49786.0,400.0,25122.0,2355.0,74908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,SK_TC,2035.0,51821.0,508.0,25630.0,2543.0,77451.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,SK_TC,2025.0,53846.0,0.0,25630.0,2025.0,79476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,SK_TC,1129.0,54975.0,185.0,25815.0,1314.0,80790.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,SK_TC,1375.0,56350.0,467.0,26282.0,1842.0,82632.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,SK_TC,1087.0,57437.0,512.0,26794.0,1599.0,84231.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,SK_TC,1268.0,58705.0,302.0,27096.0,1570.0,85801.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,SK_TC,1393.0,60098.0,101.0,27197.0,1494.0,87295.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,SK_TC,2300.0,62398.0,147.0,27344.0,2447.0,89742.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,SK_TC,1900.0,64298.0,0.0,27344.0,1900.0,91642.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,SK_TC,1197.0,65495.0,38.0,27382.0,1235.0,92877.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,SK_TC,1487.0,66982.0,113.0,27495.0,1600.0,94477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,SK_TC,1728.0,68710.0,343.0,27838.0,2071.0,96548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,SK_TC,1301.0,70011.0,263.0,28101.0,1564.0,98112.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,SK_TC,227.0,70238.0,25.0,28126.0,252.0,98364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,SK_TC,313.0,70551.0,162.0,28288.0,475.0,98839.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,SK_TC,1697.0,72248.0,175.0,28463.0,1872.0,100711.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,SK_TC,1384.0,73632.0,84.0,28547.0,1468.0,102179.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,SK_TC,1115.0,74747.0,512.0,29059.0,1627.0,103806.0,,,,,,,,,,,,,,,,,,,,,,,,
