date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-04,SK_ZI,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,SK_ZI,230.0,230.0,0.0,0.0,230.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,SK_ZI,261.0,491.0,0.0,0.0,261.0,491.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,SK_ZI,641.0,1132.0,0.0,0.0,641.0,1132.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,SK_ZI,1104.0,2236.0,0.0,0.0,1104.0,2236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,SK_ZI,742.0,2978.0,0.0,0.0,742.0,2978.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,SK_ZI,200.0,3178.0,0.0,0.0,200.0,3178.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,SK_ZI,586.0,3764.0,0.0,0.0,586.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,SK_ZI,813.0,4577.0,0.0,0.0,813.0,4577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,SK_ZI,739.0,5316.0,0.0,0.0,739.0,5316.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,SK_ZI,1029.0,6345.0,0.0,0.0,1029.0,6345.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,SK_ZI,839.0,7184.0,0.0,0.0,839.0,7184.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,SK_ZI,132.0,7316.0,0.0,0.0,132.0,7316.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,SK_ZI,959.0,8275.0,0.0,0.0,959.0,8275.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,SK_ZI,1018.0,9293.0,0.0,0.0,1018.0,9293.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,SK_ZI,874.0,10167.0,1.0,1.0,875.0,10168.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,SK_ZI,802.0,10969.0,0.0,1.0,802.0,10970.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,SK_ZI,873.0,11842.0,0.0,1.0,873.0,11843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,SK_ZI,222.0,12064.0,0.0,1.0,222.0,12065.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,SK_ZI,0.0,12064.0,0.0,1.0,0.0,12065.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,SK_ZI,753.0,12817.0,0.0,1.0,753.0,12818.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,SK_ZI,574.0,13391.0,2.0,3.0,576.0,13394.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,SK_ZI,611.0,14002.0,0.0,3.0,611.0,14005.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,SK_ZI,1190.0,15192.0,0.0,3.0,1190.0,15195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,SK_ZI,1259.0,16451.0,0.0,3.0,1259.0,16454.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,SK_ZI,696.0,17147.0,0.0,3.0,696.0,17150.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,SK_ZI,0.0,17147.0,0.0,3.0,0.0,17150.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,SK_ZI,1340.0,18487.0,184.0,187.0,1524.0,18674.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,SK_ZI,1285.0,19772.0,202.0,389.0,1487.0,20161.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,SK_ZI,1149.0,20921.0,230.0,619.0,1379.0,21540.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,SK_ZI,1370.0,22291.0,424.0,1043.0,1794.0,23334.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,SK_ZI,1022.0,23313.0,951.0,1994.0,1973.0,25307.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,SK_ZI,124.0,23437.0,374.0,2368.0,498.0,25805.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,SK_ZI,0.0,23437.0,0.0,2368.0,0.0,25805.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,SK_ZI,691.0,24128.0,737.0,3105.0,1428.0,27233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,SK_ZI,890.0,25018.0,930.0,4035.0,1820.0,29053.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,SK_ZI,735.0,25753.0,764.0,4799.0,1499.0,30552.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,SK_ZI,745.0,26498.0,979.0,5778.0,1724.0,32276.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,SK_ZI,688.0,27186.0,872.0,6650.0,1560.0,33836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,SK_ZI,1230.0,28416.0,174.0,6824.0,1404.0,35240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,SK_ZI,2093.0,30509.0,0.0,6824.0,2093.0,37333.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,SK_ZI,678.0,31187.0,876.0,7700.0,1554.0,38887.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,SK_ZI,859.0,32046.0,655.0,8355.0,1514.0,40401.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,SK_ZI,722.0,32768.0,684.0,9039.0,1406.0,41807.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,SK_ZI,427.0,33195.0,705.0,9744.0,1132.0,42939.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,SK_ZI,1120.0,34315.0,740.0,10484.0,1860.0,44799.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,SK_ZI,1377.0,35692.0,283.0,10767.0,1660.0,46459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,SK_ZI,1040.0,36732.0,0.0,10767.0,1040.0,47499.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,SK_ZI,414.0,37146.0,724.0,11491.0,1138.0,48637.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,SK_ZI,605.0,37751.0,567.0,12058.0,1172.0,49809.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,SK_ZI,627.0,38378.0,724.0,12782.0,1351.0,51160.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,SK_ZI,244.0,38622.0,1110.0,13892.0,1354.0,52514.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,SK_ZI,212.0,38834.0,1232.0,15124.0,1444.0,53958.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,SK_ZI,1325.0,40159.0,418.0,15542.0,1743.0,55701.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,SK_ZI,0.0,40159.0,0.0,15542.0,0.0,55701.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,SK_ZI,388.0,40547.0,1106.0,16648.0,1494.0,57195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,SK_ZI,307.0,40854.0,1255.0,17903.0,1562.0,58757.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,SK_ZI,315.0,41169.0,1174.0,19077.0,1489.0,60246.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,SK_ZI,425.0,41594.0,1402.0,20479.0,1827.0,62073.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,SK_ZI,511.0,42105.0,898.0,21377.0,1409.0,63482.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,SK_ZI,2254.0,44359.0,0.0,21377.0,2254.0,65736.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,SK_ZI,420.0,44779.0,0.0,21377.0,420.0,66156.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,SK_ZI,426.0,45205.0,885.0,22262.0,1311.0,67467.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,SK_ZI,833.0,46038.0,635.0,22897.0,1468.0,68935.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,SK_ZI,442.0,46480.0,1007.0,23904.0,1449.0,70384.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,SK_ZI,1872.0,48352.0,658.0,24562.0,2530.0,72914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,SK_ZI,1765.0,50117.0,629.0,25191.0,2394.0,75308.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,SK_ZI,2807.0,52924.0,6.0,25197.0,2813.0,78121.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,SK_ZI,449.0,53373.0,0.0,25197.0,449.0,78570.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,SK_ZI,1852.0,55225.0,536.0,25733.0,2388.0,80958.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,SK_ZI,1559.0,56784.0,727.0,26460.0,2286.0,83244.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,SK_ZI,1658.0,58442.0,804.0,27264.0,2462.0,85706.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,SK_ZI,2092.0,60534.0,584.0,27848.0,2676.0,88382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,SK_ZI,1597.0,62131.0,989.0,28837.0,2586.0,90968.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,SK_ZI,1718.0,63849.0,117.0,28954.0,1835.0,92803.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,SK_ZI,39.0,63888.0,580.0,29534.0,619.0,93422.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,SK_ZI,2714.0,66602.0,195.0,29729.0,2909.0,96331.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,SK_ZI,2484.0,69086.0,493.0,30222.0,2977.0,99308.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,SK_ZI,2336.0,71422.0,531.0,30753.0,2867.0,102175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,SK_ZI,2849.0,74271.0,490.0,31243.0,3339.0,105514.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,SK_ZI,2374.0,76645.0,216.0,31459.0,2590.0,108104.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,SK_ZI,1712.0,78357.0,15.0,31474.0,1727.0,109831.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,SK_ZI,0.0,78357.0,0.0,31474.0,0.0,109831.0,,,,,,,,,,,,,,,,,,,,,,,,
