date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-13,TR,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,TR,,,,,279452.0,279452.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,TR,,,,,337200.0,616652.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,TR,,,,,60251.0,676903.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,TR,,,,,29548.0,706451.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,TR,,,,,125961.0,832412.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,TR,,,,,118223.0,950635.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,TR,,,,,101858.0,1052493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,TR,,,,,67765.0,1120258.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,TR,,,,,81954.0,1202212.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,TR,,,,,24671.0,1226883.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,TR,,,,,17770.0,1244653.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,TR,,,,,58100.0,1302753.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,TR,,,,,107520.0,1410273.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,TR,,,,,112307.0,1522580.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,TR,,,,,174995.0,1697575.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,TR,,,,,230776.0,1928351.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,TR,,,,,32509.0,1960860.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,TR,,,,,25377.0,1986237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,TR,,,,,150062.0,2136299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,TR,,,,,92934.0,2229233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,TR,,,,,114047.0,2343280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,TR,,,,,157526.0,2500806.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,TR,,,,,58996.0,2559802.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,TR,,,,,41915.0,2601717.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,TR,,,,,8779.0,2610496.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,TR,,,,,53707.0,2664203.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,TR,,,,,68506.0,2732709.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,TR,,,,,62407.0,2795116.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,TR,,,,,51009.0,2846125.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,TR,,3067822.0,,336532.0,558229.0,3404354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,TR,185183.0,3253005.0,120359.0,456891.0,305542.0,3709896.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,TR,83159.0,3336164.0,32046.0,488937.0,115205.0,3825101.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,TR,271984.0,3608148.0,84942.0,573879.0,356926.0,4182027.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,TR,376474.0,3984622.0,72283.0,646162.0,448757.0,4630784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,TR,492810.0,4477432.0,100008.0,746170.0,592818.0,5223602.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,TR,550747.0,5028179.0,120946.0,867116.0,671693.0,5895295.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,TR,356804.0,5384983.0,109600.0,976716.0,466404.0,6361699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,TR,118111.0,5503094.0,53700.0,1030416.0,171811.0,6533510.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,TR,14899.0,5517993.0,23421.0,1053837.0,38320.0,6571830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,TR,220478.0,5738471.0,44994.0,1098831.0,265472.0,6837302.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,TR,368051.0,6106522.0,84145.0,1182976.0,452196.0,7289498.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,TR,245888.0,6352410.0,84309.0,1267285.0,330197.0,7619695.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,TR,229829.0,6582239.0,130202.0,1397487.0,360031.0,7979726.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,TR,162908.0,6745147.0,156171.0,1553658.0,319079.0,8298805.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,TR,109495.0,6854642.0,106475.0,1660133.0,215970.0,8514775.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,TR,15281.0,6869923.0,17819.0,1677952.0,33100.0,8547875.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,TR,105635.0,6975558.0,121208.0,1799160.0,226843.0,8774718.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,TR,148164.0,7123722.0,150758.0,1949918.0,298922.0,9073640.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,TR,116793.0,7240515.0,127113.0,2077031.0,243906.0,9317546.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,TR,113021.0,7353536.0,129471.0,2206502.0,242492.0,9560038.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,TR,92801.0,7446337.0,103450.0,2309952.0,196251.0,9756289.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,TR,63586.0,7509923.0,63732.0,2373684.0,127318.0,9883607.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,TR,15020.0,7524943.0,18721.0,2392405.0,33741.0,9917348.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,TR,40080.0,7565023.0,44552.0,2436957.0,84632.0,10001980.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,TR,111496.0,7676519.0,109518.0,2546475.0,221014.0,10222994.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,TR,68961.0,7745480.0,68328.0,2614803.0,137289.0,10360283.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,TR,62358.0,7807838.0,79853.0,2694656.0,142211.0,10502494.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,TR,50727.0,7858565.0,189056.0,2883712.0,239783.0,10742277.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,TR,28979.0,7887544.0,152028.0,3035740.0,181007.0,10923284.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,TR,5251.0,7892795.0,63560.0,3099300.0,68811.0,10992095.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,TR,19151.0,7911946.0,250366.0,3349666.0,269517.0,11261612.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,TR,36374.0,7948320.0,398310.0,3747976.0,434684.0,11696296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,TR,28902.0,7977222.0,417047.0,4165023.0,445949.0,12142245.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,TR,14288.0,7991510.0,274949.0,4439972.0,289237.0,12431482.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,TR,16224.0,8007734.0,396871.0,4836843.0,413095.0,12844577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,TR,8344.0,8016078.0,176833.0,5013676.0,185177.0,13029754.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,TR,1620.0,8017698.0,26348.0,5040024.0,27968.0,13057722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,TR,28091.0,8045789.0,180139.0,5220163.0,208230.0,13265952.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,TR,45896.0,8091685.0,277319.0,5497482.0,323215.0,13589167.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,TR,41358.0,8133043.0,339342.0,5836824.0,380700.0,13969867.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,TR,30113.0,8163156.0,227430.0,6064254.0,257543.0,14227410.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,TR,32398.0,8195554.0,231439.0,6295693.0,263837.0,14491247.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,TR,21570.0,8217124.0,139842.0,6435535.0,161412.0,14652659.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,TR,153748.0,8370872.0,142853.0,6578388.0,296601.0,14949260.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,TR,243496.0,8614368.0,108706.0,6687094.0,352202.0,15301462.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,TR,380086.0,8994454.0,153239.0,6840333.0,533325.0,15834787.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,TR,212046.0,9206500.0,101850.0,6942183.0,313896.0,16148683.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,TR,107246.0,9313746.0,61241.0,7003424.0,168487.0,16317170.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,TR,165150.0,9478896.0,120599.0,7124023.0,285749.0,16602919.0,,,,,,,,,,,,,,,,,,,,,,,,
