date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-13,US,30817.0,30817.0,,7882.0,37821.0,37821.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,US,4538.0,35355.0,143.0,8025.0,4709.0,42530.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,US,45876.0,81231.0,290.0,8315.0,47301.0,89831.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,US,154818.0,236049.0,488.0,8803.0,159341.0,249172.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,US,266883.0,502932.0,789.0,9592.0,273552.0,522724.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,US,409980.0,912912.0,1262.0,10854.0,419055.0,941779.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,US,178859.0,1091771.0,1099.0,11953.0,183044.0,1124823.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,US,104032.0,1195803.0,774.0,12727.0,106211.0,1231034.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,US,377856.0,1573659.0,1578.0,14305.0,385316.0,1616350.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,US,440600.0,2014259.0,2992.0,17297.0,449891.0,2066241.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,US,563105.0,2577364.0,3183.0,20480.0,575083.0,2641324.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,US,191865.0,2769229.0,1210.0,21690.0,196869.0,2838193.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,US,12529.0,2781758.0,121.0,21811.0,12700.0,2850893.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,US,138594.0,2920352.0,989.0,22800.0,142120.0,2993013.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,US,93219.0,3013571.0,775.0,23575.0,96098.0,3089111.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,US,579373.0,3592944.0,4334.0,27909.0,594371.0,3683482.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,US,705455.0,4298399.0,5438.0,33347.0,725209.0,4408691.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,US,824450.0,5122849.0,7994.0,41341.0,845257.0,5253948.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,US,412726.0,5535575.0,3390.0,44731.0,423326.0,5677274.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,US,110341.0,5645916.0,8235.0,52966.0,122438.0,5799712.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,US,256528.0,5902444.0,3004.0,55970.0,265390.0,6065102.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,US,132462.0,6034906.0,2549.0,58519.0,139746.0,6204848.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,US,602331.0,6637237.0,45404.0,103923.0,661904.0,6866752.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,US,734586.0,7371823.0,87977.0,191900.0,836309.0,7703061.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,US,833390.0,8205213.0,173599.0,365499.0,1026540.0,8729601.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,US,867124.0,9072337.0,282366.0,647865.0,1172925.0,9902526.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,US,847816.0,9920153.0,365866.0,1013731.0,1240283.0,11142809.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,US,371131.0,10291284.0,129444.0,1143175.0,510580.0,11653389.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,US,177122.0,10468406.0,69884.0,1213059.0,252583.0,11905972.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,US,723451.0,11191857.0,325228.0,1538287.0,1074426.0,12980398.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,US,918387.0,12110244.0,316204.0,1854491.0,1263448.0,14243846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US,1030975.0,13141219.0,271639.0,2126130.0,1328253.0,15572099.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US,1157671.0,14298890.0,136781.0,2262911.0,1319870.0,16891969.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US,1119838.0,15418728.0,121610.0,2384521.0,1263068.0,18155037.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,US,566652.0,15985380.0,72478.0,2456999.0,650585.0,18805622.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,US,256298.0,16241678.0,42281.0,2499280.0,306517.0,19112139.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,US,642337.0,16884015.0,228652.0,2727932.0,892546.0,20004685.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US,969404.0,17853419.0,358045.0,3085977.0,1354403.0,21359088.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US,1158349.0,19011768.0,422478.0,3508455.0,1610518.0,22969606.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US,1332857.0,20344625.0,276582.0,3785037.0,1638857.0,24608463.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US,1401229.0,21745854.0,211126.0,3996163.0,1640586.0,26249049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US,741883.0,22487737.0,151584.0,4147747.0,908687.0,27157736.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US,306053.0,22793790.0,88636.0,4236383.0,401743.0,27559479.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US,860420.0,23654210.0,491226.0,4727609.0,1377916.0,28937395.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US,1054064.0,24708274.0,583211.0,5310820.0,1667595.0,30604990.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US,1249717.0,25957991.0,649743.0,5960563.0,1935879.0,32540869.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US,1368915.0,27326906.0,559773.0,6520336.0,1966089.0,34506958.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US,1372266.0,28699172.0,497939.0,7018275.0,1919187.0,36426145.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US,757333.0,29456505.0,243367.0,7261642.0,1019811.0,37445956.0,,,,,,,,,,,,,,,,,,,,,,,,
