date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_AL,,70861.0,,7270.0,,78134.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_AL,3931.0,74792.0,1975.0,9245.0,5906.0,84040.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_AL,5688.0,80480.0,0.0,,8260.0,92300.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_AL,6476.0,86956.0,4243.0,13488.0,8267.0,100567.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_AL,27363.0,114319.0,2858.0,16346.0,30228.0,130795.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_AL,6794.0,121113.0,1610.0,17956.0,8405.0,139200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_AL,23316.0,144429.0,3389.0,21345.0,26719.0,165919.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_AL,29888.0,174317.0,3495.0,24840.0,33395.0,199314.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_AL,19638.0,193955.0,2582.0,27422.0,22226.0,221540.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_AL,19878.0,213833.0,2314.0,29736.0,22197.0,243737.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_AL,6631.0,220464.0,242.0,29978.0,6875.0,250612.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_AL,3390.0,223854.0,955.0,30933.0,4347.0,254959.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_AL,8779.0,232633.0,2662.0,33595.0,11485.0,266444.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_AL,8704.0,241337.0,3836.0,37431.0,12549.0,278993.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_AL,15264.0,256601.0,6642.0,44073.0,21922.0,300915.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_AL,31767.0,288368.0,9669.0,53742.0,41521.0,342436.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_AL,9933.0,298301.0,1589.0,55331.0,11538.0,353974.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_AL,3327.0,301628.0,977.0,56308.0,4306.0,358280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_AL,11083.0,312711.0,2517.0,58825.0,13602.0,371882.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_AL,12287.0,324998.0,4165.0,62990.0,16457.0,388339.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_AL,13847.0,338845.0,6165.0,69155.0,20089.0,408428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_AL,14677.0,353522.0,7448.0,76603.0,22169.0,430597.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_AL,16753.0,370275.0,7675.0,84278.0,24576.0,455173.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_AL,5292.0,375567.0,1863.0,86141.0,7159.0,462332.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_AL,2947.0,378514.0,2312.0,88453.0,5304.0,467636.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_AL,16682.0,395196.0,6580.0,95033.0,23333.0,490969.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_AL,17266.0,412462.0,7487.0,102520.0,24833.0,515802.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_AL,18797.0,431259.0,8516.0,111036.0,27435.0,543237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_AL,16812.0,448071.0,10983.0,122019.0,27878.0,571115.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_AL,18961.0,467032.0,11010.0,133029.0,30044.0,601159.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_AL,7033.0,474065.0,4003.0,137032.0,11095.0,612254.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_AL,,,,,0.0,612254.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_AL,12141.0,486206.0,12256.0,149288.0,24428.0,636682.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_AL,8218.0,494424.0,5053.0,154341.0,13338.0,650020.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_AL,11236.0,505660.0,10763.0,165104.0,22018.0,672038.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_AL,39771.0,545431.0,27200.0,192304.0,67094.0,739132.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_AL,15537.0,560968.0,22208.0,214512.0,37804.0,776936.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_AL,6537.0,567505.0,5127.0,219639.0,11677.0,788613.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_AL,16236.0,583741.0,8462.0,228101.0,5001.0,793614.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US_AL,10195.0,593936.0,11324.0,239425.0,21494.0,815108.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US_AL,0.0,593936.0,14190.0,253615.0,0.0,815108.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US_AL,10666.0,604602.0,14850.0,268465.0,24595.0,839703.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US_AL,22461.0,627063.0,17630.0,286095.0,54156.0,893859.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US_AL,16145.0,643208.0,21773.0,307868.0,37231.0,931090.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US_AL,6537.0,649745.0,5422.0,313290.0,11412.0,942502.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US_AL,3564.0,653309.0,2783.0,316073.0,5891.0,948393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US_AL,9878.0,663187.0,13973.0,330046.0,23768.0,972161.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US_AL,11623.0,674810.0,16795.0,346841.0,27870.0,1000031.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,US_AL,13981.0,688791.0,18615.0,365456.0,32140.0,1032171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,US_AL,0.0,688791.0,17622.0,383078.0,0.0,1032171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,US_AL,32318.0,721109.0,18983.0,402061.0,67526.0,1099697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,US_AL,6572.0,727681.0,4662.0,406723.0,10435.0,1110132.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,US_AL,5286.0,732967.0,3214.0,409937.0,6544.0,1116676.0,,,,208670.0,,536261.0,,,,199638.0,,578887.0,,,,1619.0,,1528.0,,,,,,
2021-03-09,US_AL,14301.0,747268.0,10146.0,420083.0,24308.0,1140984.0,,,4050.0,212720.0,13140.0,549401.0,,,6075.0,205713.0,11168.0,590055.0,,,21.0,1640.0,0.0,1528.0,,,,,,
2021-03-10,US_AL,21234.0,768502.0,14935.0,435018.0,32836.0,1173820.0,,,3880.0,216600.0,13307.0,562708.0,,,8229.0,213942.0,16759.0,606814.0,,,2824.0,4464.0,2770.0,4298.0,,,,,,
2021-03-11,US_AL,22362.0,790864.0,-435018.0,0.0,35982.0,1209802.0,,,4722.0,221322.0,13743.0,576451.0,,,9640.0,223582.0,18926.0,625740.0,,,3363.0,7827.0,3313.0,7611.0,,,,,,
2021-03-12,US_AL,25554.0,816418.0,0.0,0.0,39403.0,1249205.0,,,6389.0,227711.0,15769.0,592220.0,,,8194.0,231776.0,18791.0,644531.0,,,4866.0,12693.0,4843.0,12454.0,,,,,,
2021-03-13,US_AL,0.0,816418.0,472325.0,472325.0,0.0,1249205.0,,,113.0,227824.0,0.0,592220.0,,,16.0,231792.0,0.0,644531.0,,,0.0,12693.0,0.0,12454.0,,,,,,
2021-03-14,US_AL,32919.0,849337.0,25328.0,497653.0,49407.0,1298612.0,,,7880.0,235704.0,18088.0,610308.0,,,10994.0,242786.0,25188.0,669719.0,,,6451.0,19144.0,6131.0,18585.0,,,,,,
2021-03-15,US_AL,4965.0,854302.0,3691.0,501344.0,7807.0,1306419.0,,,1171.0,236875.0,3220.0,613528.0,,,2003.0,244789.0,4102.0,673821.0,,,517.0,19661.0,485.0,19070.0,,,,,,
