date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_AR,,39357.0,,8.0,,40879.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_AR,41101.0,80458.0,12841.0,12849.0,53975.0,94854.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_AR,9881.0,90339.0,0.0,,13462.0,108316.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_AR,7490.0,97829.0,5932.0,18781.0,10022.0,118338.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_AR,20934.0,118763.0,2953.0,21734.0,23999.0,142337.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_AR,26029.0,144792.0,4807.0,26541.0,30975.0,173312.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_AR,0.0,144792.0,0.0,26541.0,0.0,173312.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_AR,22996.0,167788.0,5059.0,31600.0,28364.0,201676.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_AR,0.0,167788.0,0.0,31600.0,0.0,201676.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_AR,11502.0,179290.0,972.0,32572.0,12564.0,214240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_AR,6256.0,185546.0,587.0,33159.0,6855.0,221095.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_AR,11269.0,196815.0,3896.0,37055.0,15195.0,236290.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_AR,12630.0,209445.0,3855.0,40910.0,16534.0,252824.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_AR,0.0,209445.0,0.0,40910.0,0.0,252824.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_AR,12107.0,221552.0,5008.0,45918.0,17169.0,269993.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_AR,12383.0,233935.0,6200.0,52118.0,18658.0,288651.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_AR,10932.0,244867.0,4146.0,56264.0,15142.0,303793.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_AR,5076.0,249943.0,2349.0,58613.0,7437.0,311230.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_AR,1898.0,251841.0,1290.0,59903.0,3240.0,314470.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_AR,4466.0,256307.0,3453.0,63356.0,7977.0,322447.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_AR,10256.0,266563.0,5422.0,68778.0,15780.0,338227.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_AR,7896.0,274459.0,5032.0,73810.0,12948.0,351175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_AR,15694.0,290153.0,7754.0,81564.0,23499.0,374674.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_AR,9986.0,300139.0,8744.0,90308.0,18771.0,393445.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_AR,4465.0,304604.0,3750.0,94058.0,8219.0,401664.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_AR,1313.0,305917.0,1144.0,95202.0,2463.0,404127.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_AR,5422.0,311339.0,8467.0,103669.0,13927.0,418054.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_AR,5633.0,316972.0,7082.0,110751.0,12749.0,430803.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_AR,8590.0,325562.0,7714.0,118465.0,16343.0,447146.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_AR,4584.0,330146.0,5575.0,124040.0,10240.0,457386.0,,,,,,,,,,,,,,,,,,,,,,,,
