date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_AZ,,95141.0,,8343.0,,141355.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_AZ,9246.0,104387.0,4049.0,12392.0,13390.0,154745.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_AZ,53010.0,157397.0,0.0,,18920.0,173665.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_AZ,18816.0,176213.0,8445.0,20837.0,23421.0,197086.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_AZ,59118.0,235331.0,10055.0,30892.0,69190.0,266276.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_AZ,11629.0,246960.0,3896.0,34788.0,15611.0,281887.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_AZ,15160.0,262120.0,6825.0,41613.0,22012.0,303899.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_AZ,18107.0,280227.0,7325.0,48938.0,25450.0,329349.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_AZ,25517.0,305744.0,6076.0,55014.0,31609.0,360958.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_AZ,26351.0,332095.0,3277.0,58291.0,29665.0,390623.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_AZ,18553.0,350648.0,4420.0,62711.0,23039.0,413662.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_AZ,15370.0,366018.0,1840.0,64551.0,17230.0,430892.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_AZ,23041.0,389059.0,4295.0,68846.0,27366.0,458258.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_AZ,23782.0,412841.0,5081.0,73927.0,28891.0,487149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_AZ,27056.0,439897.0,6846.0,80773.0,33948.0,521097.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_AZ,30019.0,469916.0,6217.0,86990.0,36272.0,557369.0,,,,,,,,,,,,,,,,,,,,,,,,
