date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_CO,,187838.0,,36425.0,,224428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_CO,10389.0,198227.0,4846.0,41271.0,15237.0,239665.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_CO,11073.0,209300.0,0.0,,15041.0,254706.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_CO,14461.0,223761.0,5750.0,47021.0,17527.0,272233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_CO,54878.0,278639.0,2876.0,49897.0,58059.0,330292.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_CO,8535.0,287174.0,1563.0,51460.0,10146.0,340438.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_CO,9642.0,296816.0,3014.0,54474.0,12756.0,353194.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_CO,16395.0,313211.0,7612.0,62086.0,24089.0,377283.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_CO,41913.0,355124.0,14816.0,76902.0,57213.0,434496.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_CO,9765.0,364889.0,3565.0,80467.0,13384.0,447880.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_CO,7377.0,372266.0,2479.0,82946.0,9866.0,457746.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_CO,9413.0,381679.0,7254.0,90200.0,16781.0,474527.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_CO,12477.0,394156.0,8463.0,98663.0,21179.0,495706.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_CO,15783.0,409939.0,9844.0,108507.0,26173.0,521879.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_CO,13115.0,423054.0,10263.0,118770.0,23477.0,545356.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_CO,17522.0,440576.0,6308.0,125078.0,23878.0,569234.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_CO,14846.0,455422.0,5660.0,130738.0,20553.0,589787.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_CO,9516.0,464938.0,2014.0,132752.0,11560.0,601347.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_CO,7882.0,472820.0,7858.0,140610.0,15778.0,617125.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_CO,12512.0,485332.0,9219.0,149829.0,21798.0,638923.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_CO,10049.0,495381.0,12682.0,162511.0,22780.0,661703.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_CO,16643.0,512024.0,16464.0,178975.0,33157.0,694860.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_CO,16355.0,528379.0,18548.0,197523.0,35035.0,729895.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_CO,11582.0,539961.0,10428.0,207951.0,22065.0,751960.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_CO,2204.0,542165.0,3377.0,211328.0,5600.0,757560.0,,,,,,,,,,,,,,,,,,,,,,,,
