date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_DE,,15911.0,,2784.0,,26410.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_DE,736.0,16647.0,1266.0,4050.0,2003.0,28413.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_DE,9002.0,25649.0,0.0,,2677.0,31090.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_DE,0.0,25649.0,1304.0,5354.0,0.0,31090.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_DE,10030.0,35679.0,1414.0,6768.0,11467.0,42557.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_DE,2931.0,38610.0,151.0,6919.0,3083.0,45640.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_DE,3290.0,41900.0,436.0,7355.0,3729.0,49369.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_DE,3392.0,45292.0,1492.0,8847.0,4888.0,54257.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_DE,4150.0,49442.0,1601.0,10448.0,5766.0,60023.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_DE,3144.0,52586.0,1016.0,11464.0,4163.0,64186.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_DE,2545.0,55131.0,183.0,11647.0,2728.0,66914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_DE,1515.0,56646.0,77.0,11724.0,1593.0,68507.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_DE,8306.0,64952.0,628.0,12352.0,8942.0,77449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_DE,4007.0,68959.0,769.0,13121.0,4840.0,82289.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_DE,3725.0,72684.0,1089.0,14210.0,5011.0,87300.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_DE,4296.0,76980.0,746.0,14956.0,5209.0,92509.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_DE,5990.0,82970.0,1441.0,16397.0,7445.0,99954.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_DE,1512.0,84482.0,1231.0,17628.0,2743.0,102697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_DE,661.0,85143.0,412.0,18040.0,1073.0,103770.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_DE,3182.0,88325.0,528.0,18568.0,3774.0,107544.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_DE,1402.0,89727.0,1826.0,20394.0,3240.0,110784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_DE,2538.0,92265.0,870.0,21264.0,3442.0,114226.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_DE,2697.0,94962.0,1527.0,22791.0,4249.0,118475.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_DE,3488.0,98450.0,1454.0,24245.0,4953.0,123428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_DE,2286.0,100736.0,934.0,25179.0,3222.0,126650.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_DE,647.0,101383.0,226.0,25405.0,873.0,127523.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_DE,1936.0,103319.0,649.0,26054.0,2593.0,130116.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_DE,2441.0,105760.0,810.0,26864.0,3254.0,133370.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_DE,2336.0,108096.0,878.0,27742.0,3221.0,136591.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_DE,3822.0,111918.0,1681.0,29423.0,5512.0,142103.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_DE,2646.0,114564.0,1672.0,31095.0,4334.0,146437.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_DE,,,,,0.0,146437.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_DE,3036.0,117600.0,2907.0,34002.0,5950.0,152387.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_DE,1066.0,118666.0,1599.0,35601.0,2724.0,155111.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_DE,2821.0,121487.0,1898.0,37499.0,4734.0,159845.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_DE,9331.0,130818.0,6115.0,43614.0,15460.0,175305.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_DE,,,,,5295.0,180600.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_DE,,,,,340.0,180940.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_DE,1342.0,132160.0,2973.0,46587.0,2961.0,183901.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US_DE,495.0,132655.0,2191.0,48778.0,2718.0,186619.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US_DE,0.0,132655.0,2398.0,51176.0,0.0,186619.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US_DE,834.0,133489.0,3774.0,54950.0,3217.0,189836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US_DE,4832.0,138321.0,4972.0,59922.0,13909.0,203745.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US_DE,2989.0,141310.0,5818.0,65740.0,8994.0,212739.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US_DE,2829.0,144139.0,3553.0,69293.0,6573.0,219312.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US_DE,1583.0,145722.0,4382.0,73675.0,6062.0,225374.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US_DE,170.0,145892.0,91.0,73766.0,43.0,225417.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US_DE,4048.0,149940.0,7509.0,81275.0,12252.0,237669.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,US_DE,4558.0,154498.0,3681.0,84956.0,8525.0,246194.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,US_DE,0.0,154498.0,4399.0,89355.0,0.0,246194.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,US_DE,9456.0,163954.0,4351.0,93706.0,18407.0,264601.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,US_DE,6002.0,169956.0,4275.0,97981.0,10866.0,275467.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,US_DE,2612.0,172568.0,2562.0,100543.0,5207.0,280674.0,,,,50804.0,,147679.0,,,,49402.0,,132677.0,,,,325.0,,285.0,,,,,,
2021-03-09,US_DE,1469.0,174037.0,3079.0,103622.0,4427.0,285101.0,,,2114.0,52918.0,2886.0,150565.0,,,735.0,50137.0,1322.0,133999.0,,,230.0,555.0,219.0,504.0,,,,,,
2021-03-10,US_DE,464.0,174501.0,222.0,103844.0,161.0,285262.0,,,79.0,52997.0,5.0,150570.0,,,136.0,50273.0,156.0,134155.0,,,8.0,563.0,0.0,504.0,,,,,,
2021-03-11,US_DE,10276.0,184777.0,-103844.0,0.0,14433.0,299695.0,,,1622.0,54619.0,9594.0,160164.0,,,1538.0,51811.0,3646.0,137801.0,,,1203.0,1766.0,1192.0,1696.0,,,,,,
2021-03-12,US_DE,5475.0,190252.0,0.0,0.0,8287.0,307982.0,,,1016.0,55635.0,4522.0,164686.0,,,1456.0,53267.0,3169.0,140970.0,,,603.0,2369.0,596.0,2292.0,,,,,,
2021-03-13,US_DE,0.0,190252.0,111344.0,111344.0,0.0,307982.0,,,48.0,55683.0,0.0,164686.0,,,12.0,53279.0,0.0,140970.0,,,0.0,2369.0,0.0,2292.0,,,,,,
2021-03-14,US_DE,6916.0,197168.0,4230.0,115574.0,9808.0,317790.0,,,2015.0,57698.0,6022.0,170708.0,,,1348.0,54627.0,2930.0,143900.0,,,868.0,3237.0,853.0,3145.0,,,,,,
2021-03-15,US_DE,11138.0,208306.0,5208.0,120782.0,16106.0,333896.0,,,1039.0,58737.0,7533.0,178241.0,,,2497.0,57124.0,6876.0,150776.0,,,1671.0,4908.0,1697.0,4842.0,,,,,,
2021-03-16,US_DE,3477.0,211783.0,2037.0,122819.0,4533.0,338429.0,,,181.0,58918.0,1596.0,179837.0,,,688.0,57812.0,1715.0,152491.0,,,1169.0,6077.0,1222.0,6064.0,,,,,,
2021-03-17,US_DE,6704.0,218487.0,1714.0,124533.0,7750.0,346179.0,,,538.0,59456.0,5871.0,185708.0,,,515.0,58327.0,1240.0,153731.0,,,660.0,6737.0,638.0,6702.0,,,,,,
2021-03-18,US_DE,6991.0,225478.0,1374.0,125907.0,8392.0,354571.0,,,488.0,59944.0,5266.0,190974.0,,,844.0,59171.0,3117.0,156848.0,,,42.0,6779.0,8.0,6710.0,,,,,,
2021-03-19,US_DE,5942.0,231420.0,1275.0,127182.0,7452.0,362023.0,,,668.0,60612.0,5099.0,196073.0,,,577.0,59748.0,2339.0,159187.0,,,30.0,6809.0,14.0,6724.0,,,,,,
2021-03-20,US_DE,7393.0,238813.0,2236.0,129418.0,10142.0,372165.0,,,1737.0,62349.0,6761.0,202834.0,,,481.0,60229.0,3370.0,162557.0,,,17.0,6826.0,7.0,6731.0,,,,,,
2021-03-21,US_DE,7709.0,246522.0,2078.0,131496.0,10177.0,382342.0,,,1639.0,63988.0,6712.0,209546.0,,,417.0,60646.0,3463.0,166020.0,,,20.0,6846.0,1.0,6732.0,,,,,,
2021-03-22,US_DE,4956.0,251478.0,1902.0,133398.0,6815.0,389157.0,,,1033.0,65021.0,3818.0,213364.0,,,684.0,61330.0,2976.0,168996.0,,,186.0,7032.0,21.0,6753.0,,,,,,
2021-03-23,US_DE,753.0,252231.0,213.0,133611.0,0.0,389157.0,,,107.0,65128.0,0.0,213364.0,,,63.0,61393.0,0.0,168996.0,,,43.0,7075.0,0.0,6753.0,,,,,,
2021-03-24,US_DE,6457.0,258688.0,1959.0,135570.0,8047.0,397204.0,,,1621.0,66749.0,5108.0,218472.0,,,287.0,61680.0,2928.0,171924.0,,,49.0,7124.0,8.0,6761.0,,,,,,
2021-03-25,US_DE,6368.0,265056.0,2925.0,138495.0,9431.0,406635.0,,,2381.0,69130.0,5662.0,224134.0,,,440.0,62120.0,3691.0,175615.0,,,103.0,7227.0,77.0,6838.0,,,,,,
2021-03-26,US_DE,7339.0,272395.0,3518.0,142013.0,10931.0,417566.0,,,2478.0,71608.0,6911.0,231045.0,,,902.0,63022.0,3907.0,179522.0,,,138.0,7365.0,111.0,6949.0,,,,,,
2021-03-27,US_DE,6336.0,278731.0,4180.0,146193.0,10570.0,428136.0,,,3251.0,74859.0,7334.0,238379.0,,,833.0,63855.0,3155.0,182677.0,,,95.0,7460.0,80.0,7029.0,,,,,,
2021-03-28,US_DE,6369.0,285100.0,3704.0,149897.0,10632.0,438768.0,,,2776.0,77635.0,6845.0,245224.0,,,857.0,64712.0,3737.0,186414.0,,,70.0,7530.0,44.0,7073.0,,,,,,
2021-03-29,US_DE,5427.0,290527.0,3004.0,152901.0,8800.0,447568.0,,,2363.0,79998.0,5592.0,250816.0,,,529.0,65241.0,3110.0,189524.0,,,111.0,7641.0,98.0,7171.0,,,,,,
2021-03-30,US_DE,4869.0,295396.0,2540.0,155441.0,5879.0,453447.0,,,761.0,80759.0,1791.0,252607.0,,,229.0,65470.0,2457.0,191981.0,,,1551.0,9192.0,1629.0,8800.0,,,,,,
2021-03-31,US_DE,6647.0,302043.0,4332.0,159773.0,10029.0,463476.0,,,2374.0,83133.0,6060.0,258667.0,,,669.0,66139.0,2574.0,194555.0,,,1288.0,10480.0,1387.0,10187.0,,,,,,
2021-04-01,US_DE,7657.0,309700.0,3813.0,163586.0,10436.0,473912.0,,,1946.0,85079.0,4619.0,263286.0,,,628.0,66767.0,4483.0,199038.0,,,1236.0,11716.0,1322.0,11509.0,,,,,,
