date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_HI,,,,,,33483.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_HI,,,,,3122.0,36605.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_HI,,39690.0,,7268.0,10353.0,46958.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_HI,12945.0,52635.0,4051.0,11319.0,16996.0,63954.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_HI,5476.0,58111.0,2514.0,13833.0,7990.0,71944.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_HI,5171.0,63282.0,2299.0,16132.0,7470.0,79414.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_HI,4708.0,67990.0,670.0,16802.0,5378.0,84792.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_HI,0.0,67990.0,0.0,16802.0,0.0,84792.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_HI,6306.0,74296.0,993.0,17795.0,7300.0,92092.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_HI,1524.0,75820.0,144.0,17939.0,1668.0,93760.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_HI,3327.0,79147.0,605.0,18544.0,3932.0,97692.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_HI,4992.0,84139.0,1260.0,19804.0,6252.0,103944.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_HI,5289.0,89428.0,1932.0,21736.0,7221.0,111165.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_HI,7315.0,96743.0,2022.0,23758.0,9337.0,120502.0,,,,,,,,,,,,,,,,,,,,,,,,
