date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_IA,,91969.0,,6099.0,,98691.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_IA,8836.0,100805.0,0.0,,13402.0,112093.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_IA,7251.0,108056.0,4643.0,10742.0,8890.0,120983.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_IA,21986.0,130042.0,1887.0,12629.0,23972.0,144955.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_IA,3486.0,133528.0,1366.0,13995.0,4895.0,149850.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_IA,5972.0,139500.0,2865.0,16860.0,8893.0,158743.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_IA,6142.0,145642.0,5569.0,22429.0,11864.0,170607.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_IA,5503.0,151145.0,3997.0,26426.0,9503.0,180110.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_IA,6490.0,157635.0,4523.0,30949.0,11073.0,191183.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_IA,3810.0,161445.0,1200.0,32149.0,5020.0,196203.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_IA,1350.0,162795.0,398.0,32547.0,1779.0,197982.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_IA,2671.0,165466.0,3520.0,36067.0,6214.0,204196.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_IA,3875.0,169341.0,4410.0,40477.0,8301.0,212497.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_IA,5314.0,174655.0,6308.0,46785.0,11850.0,224347.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_IA,7882.0,182537.0,5539.0,52324.0,13527.0,237874.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_IA,8152.0,190689.0,6043.0,58367.0,14328.0,252202.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_IA,3320.0,194009.0,1892.0,60259.0,5266.0,257468.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_IA,1225.0,195234.0,826.0,61085.0,2054.0,259522.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_IA,4008.0,199242.0,3149.0,64234.0,7255.0,266777.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_IA,7274.0,206516.0,5167.0,69401.0,12475.0,279252.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_IA,9177.0,215693.0,4851.0,74252.0,14125.0,293377.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_IA,8744.0,224437.0,6388.0,80640.0,15150.0,308527.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_IA,13117.0,237554.0,6733.0,87373.0,19885.0,328412.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_IA,14795.0,252349.0,2133.0,89506.0,16938.0,345350.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_IA,5110.0,257459.0,1019.0,90525.0,6453.0,351803.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_IA,11515.0,268974.0,5125.0,95650.0,16956.0,368759.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_IA,13622.0,282596.0,4336.0,99986.0,18611.0,387370.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_IA,16436.0,299032.0,4636.0,104622.0,21208.0,408578.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_IA,18819.0,317851.0,5038.0,109660.0,23895.0,432473.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_IA,17920.0,335771.0,5747.0,115407.0,24039.0,456512.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_IA,,,,,0.0,456512.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_IA,24530.0,360301.0,4458.0,119865.0,29198.0,485710.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_IA,7276.0,367577.0,2426.0,122291.0,9777.0,495487.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_IA,10271.0,377848.0,1820.0,124111.0,12163.0,507650.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_IA,34078.0,411926.0,10884.0,134995.0,45056.0,552706.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_IA,18503.0,430429.0,6109.0,141104.0,24668.0,577374.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_IA,15443.0,445872.0,6511.0,147615.0,22115.0,599489.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_IA,12762.0,458634.0,4543.0,152158.0,11699.0,611188.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US_IA,2987.0,461621.0,1177.0,153335.0,3740.0,614928.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US_IA,0.0,461621.0,1986.0,155321.0,0.0,614928.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US_IA,5081.0,466702.0,2664.0,157985.0,6789.0,621717.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US_IA,24621.0,491323.0,5258.0,163243.0,32357.0,654074.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US_IA,24336.0,515659.0,5971.0,169214.0,30522.0,684596.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US_IA,19031.0,534690.0,9423.0,178637.0,28458.0,713054.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US_IA,12150.0,546840.0,9531.0,188168.0,21791.0,734845.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US_IA,3987.0,550827.0,2047.0,190215.0,5868.0,740713.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US_IA,6599.0,557426.0,6476.0,196691.0,13147.0,753860.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,US_IA,10183.0,567609.0,9317.0,206008.0,19454.0,773314.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,US_IA,0.0,567609.0,13486.0,219494.0,0.0,773314.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,US_IA,39648.0,607257.0,33767.0,253261.0,87933.0,861247.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,US_IA,23921.0,631178.0,21144.0,274405.0,45223.0,906470.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,US_IA,16470.0,647648.0,30283.0,304688.0,33580.0,940050.0,,,,136885.0,,415727.0,,,,154452.0,,510459.0,,,,13344.0,,13745.0,,,,,,
2021-03-09,US_IA,5806.0,653454.0,8746.0,313434.0,12327.0,952377.0,,,5271.0,142156.0,7873.0,423600.0,,,1168.0,155620.0,2039.0,512498.0,,,2307.0,15651.0,2415.0,16160.0,,,,,,
2021-03-10,US_IA,9946.0,663400.0,9693.0,323127.0,17500.0,969877.0,,,3628.0,145784.0,7254.0,430854.0,,,3855.0,159475.0,7985.0,520483.0,,,2210.0,17861.0,2261.0,18421.0,,,,,,
2021-03-11,US_IA,16987.0,680387.0,-323127.0,0.0,29513.0,999390.0,,,5166.0,150950.0,12239.0,443093.0,,,7238.0,166713.0,13152.0,533635.0,,,3978.0,21839.0,4122.0,22543.0,,,,,,
2021-03-12,US_IA,18719.0,699106.0,0.0,0.0,34906.0,1034296.0,,,4164.0,155114.0,12250.0,455343.0,,,12192.0,178905.0,20232.0,553867.0,,,3105.0,24944.0,2424.0,24967.0,,,,,,
2021-03-13,US_IA,0.0,699106.0,359687.0,359687.0,0.0,1034296.0,,,701.0,155815.0,0.0,455343.0,,,9.0,178914.0,0.0,553867.0,,,7.0,24951.0,0.0,24967.0,,,,,,
2021-03-14,US_IA,35288.0,734394.0,48073.0,407760.0,80260.0,1114556.0,,,15614.0,171429.0,31035.0,486378.0,,,29217.0,208131.0,46194.0,600061.0,,,3242.0,28193.0,3031.0,27998.0,,,,,,
2021-03-15,US_IA,16749.0,751143.0,15613.0,423373.0,30523.0,1145079.0,,,6337.0,177766.0,16809.0,503187.0,,,7422.0,215553.0,11841.0,611902.0,,,1854.0,30047.0,1873.0,29871.0,,,,,,
2021-03-16,US_IA,4639.0,755782.0,5590.0,428963.0,9924.0,1155003.0,,,2172.0,179938.0,4835.0,508022.0,,,3272.0,218825.0,4967.0,616869.0,,,144.0,30191.0,122.0,29993.0,,,,,,
2021-03-17,US_IA,843.0,756625.0,440.0,429403.0,381.0,1155384.0,,,100.0,180038.0,0.0,508022.0,,,274.0,219099.0,381.0,617250.0,,,66.0,30257.0,0.0,29993.0,,,,,,
2021-03-18,US_IA,16010.0,772635.0,12279.0,441682.0,27176.0,1182560.0,,,4183.0,184221.0,13325.0,521347.0,,,7366.0,226465.0,13119.0,630369.0,,,727.0,30984.0,732.0,30725.0,,,,,,
2021-03-19,US_IA,21869.0,794504.0,22763.0,464445.0,43404.0,1225964.0,,,8933.0,193154.0,20485.0,541832.0,,,12631.0,239096.0,21724.0,652093.0,,,1198.0,32182.0,1195.0,31920.0,,,,,,
2021-03-20,US_IA,18977.0,813481.0,21440.0,485885.0,39811.0,1265775.0,,,10850.0,204004.0,18477.0,560309.0,,,9601.0,248697.0,20357.0,672450.0,,,989.0,33171.0,977.0,32897.0,,,,,,
2021-03-21,US_IA,20219.0,833700.0,17506.0,503391.0,36620.0,1302395.0,,,7934.0,211938.0,17259.0,577568.0,,,8470.0,257167.0,18190.0,690640.0,,,1101.0,34272.0,1171.0,34068.0,,,,,,
2021-03-22,US_IA,13101.0,846801.0,10091.0,513482.0,22496.0,1324891.0,,,6239.0,218177.0,14431.0,591999.0,,,3400.0,260567.0,7670.0,698310.0,,,452.0,34724.0,395.0,34463.0,,,,,,
2021-03-23,US_IA,5307.0,852108.0,3825.0,517307.0,8856.0,1333747.0,,,3108.0,221285.0,6871.0,598870.0,,,615.0,261182.0,1905.0,700215.0,,,101.0,34825.0,80.0,34543.0,,,,,,
2021-03-24,US_IA,7948.0,860056.0,6033.0,523340.0,12409.0,1346156.0,,,2256.0,223541.0,5090.0,603960.0,,,2810.0,263992.0,6365.0,706580.0,,,965.0,35790.0,954.0,35497.0,,,,,,
2021-03-25,US_IA,17269.0,877325.0,6698.0,530038.0,23146.0,1369302.0,,,2780.0,226321.0,13954.0,617914.0,,,3536.0,267528.0,8866.0,715446.0,,,382.0,36172.0,326.0,35823.0,,,,,,
2021-03-26,US_IA,19366.0,896691.0,14416.0,544454.0,33241.0,1402543.0,,,4766.0,231087.0,13677.0,631591.0,,,9370.0,276898.0,19313.0,734759.0,,,279.0,36451.0,251.0,36074.0,,,,,,
2021-03-27,US_IA,24750.0,921441.0,17969.0,562423.0,42680.0,1445223.0,,,6843.0,237930.0,22814.0,654405.0,,,10137.0,287035.0,18826.0,753585.0,,,989.0,37440.0,1040.0,37114.0,,,,,,
