date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_ID,,31504.0,,4308.0,,35845.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_ID,1672.0,33176.0,1345.0,5653.0,3027.0,38872.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_ID,2003.0,35179.0,0.0,,3714.0,42586.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_ID,2467.0,37646.0,3190.0,8843.0,4050.0,46636.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_ID,15963.0,53609.0,1322.0,10165.0,17339.0,63975.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_ID,4719.0,58328.0,573.0,10738.0,5292.0,69267.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_ID,2790.0,61118.0,1022.0,11760.0,4105.0,73372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_ID,3177.0,64295.0,1315.0,13075.0,4616.0,77988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_ID,3997.0,68292.0,636.0,13711.0,4652.0,82640.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_ID,4132.0,72424.0,348.0,14059.0,4488.0,87128.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_ID,3775.0,76199.0,360.0,14419.0,4143.0,91271.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_ID,2285.0,78484.0,208.0,14627.0,2495.0,93766.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_ID,2373.0,80857.0,816.0,15443.0,3225.0,96991.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_ID,4516.0,85373.0,1281.0,16724.0,5809.0,102800.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_ID,3602.0,88975.0,2246.0,18970.0,6073.0,108873.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_ID,4657.0,93632.0,1178.0,20148.0,5856.0,114729.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_ID,4655.0,98287.0,1488.0,21636.0,6151.0,120880.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_ID,2659.0,100946.0,832.0,22468.0,3497.0,124377.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_ID,2013.0,102959.0,257.0,22725.0,2271.0,126648.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_ID,4275.0,107234.0,1446.0,24171.0,5736.0,132384.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_ID,5876.0,113110.0,2174.0,26345.0,9513.0,141897.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_ID,7037.0,120147.0,2625.0,28970.0,17497.0,159394.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_ID,13663.0,133810.0,3041.0,32011.0,16826.0,176220.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_ID,7106.0,140916.0,2311.0,34322.0,9461.0,185681.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_ID,8315.0,149231.0,1588.0,35910.0,9910.0,195591.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_ID,2141.0,151372.0,1092.0,37002.0,3235.0,198826.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_ID,3866.0,155238.0,2606.0,39608.0,6553.0,205379.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_ID,4558.0,159796.0,3623.0,43231.0,8684.0,214063.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_ID,0.0,159796.0,0.0,43231.0,0.0,214063.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_ID,4154.0,163950.0,3285.0,46516.0,7522.0,221585.0,,,,,,,,,,,,,,,,,,,,,,,,
