date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_IL,,284035.0,,62757.0,,347005.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_IL,7410.0,291445.0,11429.0,74186.0,18854.0,365859.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_IL,25431.0,316876.0,0.0,,37807.0,403666.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_IL,24642.0,341518.0,17062.0,91248.0,34099.0,437765.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_IL,72844.0,414362.0,13285.0,104533.0,87496.0,525261.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_IL,11462.0,425824.0,3118.0,107651.0,14665.0,539926.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_IL,26186.0,452010.0,4282.0,111933.0,30601.0,570527.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_IL,27838.0,479848.0,8821.0,120754.0,36975.0,607502.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_IL,38931.0,518779.0,8153.0,128907.0,47250.0,654752.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_IL,37738.0,556517.0,6423.0,135330.0,44320.0,699072.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_IL,21889.0,578406.0,2135.0,137465.0,24131.0,723203.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_IL,11806.0,590212.0,2929.0,140394.0,14786.0,737989.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_IL,20812.0,611024.0,7531.0,147925.0,28670.0,766659.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_IL,32531.0,643555.0,14161.0,162086.0,56666.0,823325.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_IL,41974.0,685529.0,18977.0,181063.0,61177.0,884502.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_IL,47477.0,733006.0,16580.0,197643.0,64302.0,948804.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_IL,48530.0,781536.0,13885.0,211528.0,62650.0,1011454.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_IL,35717.0,817253.0,7567.0,219095.0,43360.0,1054814.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_IL,14303.0,831556.0,3931.0,223026.0,18262.0,1073076.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_IL,27520.0,859076.0,7824.0,230850.0,35495.0,1108571.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_IL,46905.0,905981.0,16913.0,247763.0,69798.0,1178369.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_IL,56364.0,962345.0,12485.0,260248.0,69152.0,1247521.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_IL,66142.0,1028487.0,15028.0,275276.0,82442.0,1329963.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_IL,58112.0,1086599.0,13182.0,288458.0,71622.0,1401585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_IL,45247.0,1131846.0,10743.0,299201.0,56108.0,1457693.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_IL,16329.0,1148175.0,3722.0,302923.0,20087.0,1477780.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_IL,49921.0,1198096.0,11764.0,314687.0,62001.0,1539781.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_IL,45610.0,1243706.0,15421.0,330108.0,65049.0,1604830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_IL,50859.0,1294565.0,18718.0,348826.0,70158.0,1674988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_IL,69962.0,1364527.0,27166.0,375992.0,97580.0,1772568.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_IL,57050.0,1421577.0,24348.0,400340.0,81660.0,1854228.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_IL,,,,,0.0,1854228.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_IL,77062.0,1498639.0,22641.0,422981.0,100154.0,1954382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_IL,32918.0,1531557.0,8329.0,431310.0,41717.0,1996099.0,,,,,,,,,,,,,,,,,,,,,,,,
