date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_ME,,38045.0,,4518.0,,54945.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_ME,1112.0,39157.0,664.0,5182.0,2303.0,57248.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_ME,12474.0,51631.0,0.0,,3881.0,61129.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_ME,0.0,51631.0,3092.0,8274.0,0.0,61129.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_ME,11085.0,62716.0,1744.0,10018.0,12849.0,73978.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_ME,1544.0,64260.0,643.0,10661.0,2189.0,76167.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_ME,2873.0,67133.0,1410.0,12071.0,4335.0,80502.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_ME,3060.0,70193.0,2822.0,14893.0,5893.0,86395.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_ME,3917.0,74110.0,2669.0,17562.0,6608.0,93003.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_ME,5200.0,79310.0,1589.0,19151.0,6812.0,99815.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_ME,3527.0,82837.0,722.0,19873.0,4254.0,104069.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_ME,627.0,83464.0,223.0,20096.0,855.0,104924.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_ME,2639.0,86103.0,1611.0,21707.0,4259.0,109183.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_ME,2775.0,88878.0,3218.0,24925.0,6008.0,115191.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_ME,4635.0,93513.0,3330.0,28255.0,8016.0,123207.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_ME,5955.0,99468.0,2800.0,31055.0,8860.0,132067.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_ME,6197.0,105665.0,2066.0,33121.0,8286.0,140353.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_ME,4252.0,109917.0,1178.0,34299.0,5433.0,145786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_ME,0.0,109917.0,0.0,34299.0,0.0,145786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_ME,0.0,109917.0,0.0,34299.0,0.0,145786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_ME,5045.0,114962.0,2571.0,36870.0,7653.0,153439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_ME,4062.0,119024.0,1672.0,38542.0,5797.0,159236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_ME,7103.0,126127.0,2264.0,40806.0,9390.0,168626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_ME,6146.0,132273.0,3641.0,44447.0,9823.0,178449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_ME,0.0,132273.0,0.0,44447.0,0.0,178449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_ME,5732.0,138005.0,3323.0,47770.0,9063.0,187512.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_ME,3773.0,141778.0,1951.0,49721.0,5734.0,193246.0,,,,,,,,,,,,,,,,,,,,,,,,
