date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_MI,,207786.0,,19472.0,,227685.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_MI,51333.0,259119.0,12465.0,31937.0,63834.0,291519.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_MI,27230.0,286349.0,0.0,,35716.0,327235.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_MI,26066.0,312415.0,16599.0,48536.0,36947.0,364182.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_MI,104813.0,417228.0,14244.0,62780.0,119410.0,483592.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_MI,17174.0,434402.0,7755.0,70535.0,25015.0,508607.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_MI,29515.0,463917.0,10479.0,81014.0,40237.0,548844.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_MI,34041.0,497958.0,11459.0,92473.0,46610.0,595454.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_MI,38270.0,536228.0,13417.0,105890.0,57207.0,652661.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_MI,36939.0,573167.0,5353.0,111243.0,42612.0,695273.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_MI,26498.0,599665.0,5597.0,116840.0,32164.0,727437.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_MI,11425.0,611090.0,3122.0,119962.0,14833.0,742270.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_MI,18347.0,629437.0,11320.0,131282.0,29761.0,772031.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_MI,29681.0,659118.0,12475.0,143757.0,42385.0,814416.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_MI,36118.0,695236.0,15966.0,159723.0,52247.0,866663.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_MI,39667.0,734903.0,15394.0,175117.0,55760.0,922423.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_MI,38041.0,772944.0,15660.0,190777.0,54607.0,977030.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_MI,21447.0,794391.0,6993.0,197770.0,28514.0,1005544.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_MI,7420.0,801811.0,2495.0,200265.0,9939.0,1015483.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_MI,12551.0,814362.0,13969.0,214234.0,26785.0,1042268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_MI,21162.0,835524.0,15139.0,229373.0,36540.0,1078808.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_MI,31242.0,866766.0,23590.0,252963.0,55367.0,1134175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_MI,29396.0,896162.0,29382.0,282345.0,59006.0,1193181.0,,,,,,,,,,,,,,,,,,,,,,,,
