date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_MO,,107939.0,,22155.0,,161784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_MO,0.0,107939.0,0.0,22155.0,0.0,161784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_MO,37582.0,145521.0,0.0,,13530.0,175314.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_MO,8143.0,153664.0,14370.0,36525.0,15133.0,190447.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_MO,36129.0,189793.0,8843.0,45368.0,45807.0,236254.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_MO,4074.0,193867.0,3962.0,49330.0,8222.0,244476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_MO,11350.0,205217.0,9452.0,58782.0,20906.0,265382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_MO,12380.0,217597.0,7917.0,66699.0,20315.0,285697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_MO,4252.0,221849.0,1767.0,68466.0,6026.0,291723.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_MO,21088.0,242937.0,4782.0,73248.0,26014.0,317737.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_MO,15361.0,258298.0,2575.0,75823.0,17958.0,335695.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_MO,3932.0,262230.0,644.0,76467.0,4578.0,340273.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_MO,14760.0,276990.0,3059.0,79526.0,17877.0,358150.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_MO,17882.0,294872.0,6301.0,85827.0,24402.0,382552.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_MO,18289.0,313161.0,6562.0,92389.0,25889.0,408441.0,,,,,,,,,,,,,,,,,,,,,,,,
