date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_MP,,1094.0,,331.0,,3722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_MP,47.0,1141.0,372.0,703.0,419.0,4141.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_MP,2314.0,3455.0,0.0,,457.0,4598.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_MP,305.0,3760.0,443.0,1146.0,311.0,4909.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_MP,693.0,4453.0,770.0,1916.0,1463.0,6372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_MP,116.0,4569.0,303.0,2219.0,419.0,6791.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_MP,37.0,4606.0,481.0,2700.0,518.0,7309.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_MP,94.0,4700.0,316.0,3016.0,411.0,7720.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_MP,319.0,5019.0,0.0,3016.0,319.0,8039.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_MP,350.0,5369.0,1.0,3017.0,351.0,8390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_MP,105.0,5474.0,0.0,3017.0,105.0,8495.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_MP,205.0,5679.0,38.0,3055.0,243.0,8738.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_MP,287.0,5966.0,1.0,3056.0,288.0,9026.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_MP,223.0,6189.0,2.0,3058.0,225.0,9251.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_MP,297.0,6486.0,0.0,3058.0,297.0,9548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_MP,185.0,6671.0,0.0,3058.0,185.0,9733.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_MP,225.0,6896.0,92.0,3150.0,317.0,10050.0,,,,,,,,,,,,,,,,,,,,,,,,
