date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_NC,,189213.0,,19293.0,,211610.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_NC,39473.0,228686.0,15855.0,35148.0,55328.0,266938.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_NC,4352.0,233038.0,0.0,,1274.0,268212.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_NC,26821.0,259859.0,7642.0,42790.0,34612.0,302824.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_NC,86674.0,346533.0,11222.0,54012.0,97955.0,400779.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_NC,22285.0,368818.0,4395.0,58407.0,26701.0,427480.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_NC,37439.0,406257.0,8329.0,66736.0,45802.0,473282.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_NC,43887.0,450144.0,7691.0,74427.0,51632.0,524914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_NC,47243.0,497387.0,4770.0,79197.0,52093.0,577007.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_NC,54807.0,552194.0,4555.0,83752.0,59432.0,636439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_NC,37242.0,589436.0,2312.0,86064.0,39598.0,676037.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_NC,22417.0,611853.0,1228.0,87292.0,23685.0,699722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_NC,16127.0,627980.0,853.0,88145.0,17026.0,716748.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_NC,100571.0,728551.0,32335.0,120480.0,133053.0,849801.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_NC,956.0,729507.0,466.0,120946.0,1422.0,851223.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_NC,33128.0,762635.0,14317.0,135263.0,47513.0,898736.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_NC,38147.0,800782.0,14643.0,149906.0,52921.0,951657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_NC,18076.0,818858.0,5918.0,155824.0,24086.0,975743.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_NC,261.0,819119.0,149.0,155973.0,410.0,976153.0,,,,,,,,,,,,,,,,,,,,,,,,
