date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_NE,,65924.0,,8459.0,,74439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_NE,3189.0,69113.0,2070.0,10529.0,5260.0,79699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_NE,2966.0,72079.0,0.0,,5221.0,84920.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_NE,5655.0,77734.0,2521.0,13050.0,6275.0,91195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_NE,11320.0,89054.0,810.0,13860.0,12494.0,103689.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_NE,1986.0,91040.0,603.0,14463.0,2594.0,106283.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_NE,3810.0,94850.0,1743.0,16206.0,5558.0,111841.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_NE,4721.0,99571.0,1880.0,18086.0,6609.0,118450.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_NE,4049.0,103620.0,1560.0,19646.0,5619.0,124069.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_NE,6240.0,109860.0,2529.0,22175.0,8777.0,132846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_NE,812.0,110672.0,372.0,22547.0,1187.0,134033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_NE,576.0,111248.0,518.0,23065.0,1098.0,135131.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_NE,2906.0,114154.0,1533.0,24598.0,4442.0,139573.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_NE,2615.0,116769.0,7782.0,32380.0,10446.0,150019.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_NE,3352.0,120121.0,4970.0,37350.0,8351.0,158370.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_NE,5142.0,125263.0,3743.0,41093.0,8906.0,167276.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_NE,7739.0,133002.0,2619.0,43712.0,10435.0,177711.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_NE,1191.0,134193.0,2004.0,45716.0,3206.0,180917.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_NE,684.0,134877.0,807.0,46523.0,1495.0,182412.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_NE,3477.0,138354.0,2366.0,48889.0,5873.0,188285.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_NE,3303.0,141657.0,3501.0,52390.0,6841.0,195126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_NE,5926.0,147583.0,2923.0,55313.0,9010.0,204136.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_NE,9556.0,157139.0,4672.0,59985.0,14269.0,218405.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_NE,6340.0,163479.0,6033.0,66018.0,12469.0,230874.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_NE,1558.0,165037.0,1618.0,67636.0,3187.0,234061.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_NE,816.0,165853.0,420.0,68056.0,1237.0,235298.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_NE,3200.0,169053.0,2510.0,70566.0,5769.0,241067.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_NE,3637.0,172690.0,3138.0,73704.0,6812.0,247879.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_NE,6812.0,179502.0,5131.0,78835.0,12027.0,259906.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_NE,9105.0,188607.0,4835.0,83670.0,14044.0,273950.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_NE,7032.0,195639.0,4686.0,88356.0,11758.0,285708.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_NE,,,,,0.0,285708.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_NE,3021.0,198660.0,1875.0,90231.0,4918.0,290626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_NE,2478.0,201138.0,1767.0,91998.0,4278.0,294904.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_NE,5652.0,206790.0,4441.0,96439.0,10153.0,305057.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_NE,28470.0,235260.0,14164.0,110603.0,42697.0,347754.0,,,,,,,,,,,,,,,,,,,,,,,,
