date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_NH,,11615.0,,5.0,,50613.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_NH,1107.0,12722.0,4.0,9.0,4605.0,55218.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_NH,41058.0,53780.0,0.0,,3493.0,58711.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_NH,3017.0,56797.0,5691.0,5700.0,3806.0,62517.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_NH,7605.0,64402.0,1420.0,7120.0,9039.0,71556.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_NH,2964.0,67366.0,893.0,8013.0,3862.0,75418.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_NH,2915.0,70281.0,2306.0,10319.0,5221.0,80639.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_NH,2698.0,72979.0,2256.0,12575.0,4956.0,85595.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_NH,3630.0,76609.0,591.0,13166.0,4221.0,89816.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_NH,3333.0,79942.0,189.0,13355.0,3522.0,93338.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_NH,732.0,80674.0,552.0,13907.0,1285.0,94623.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_NH,743.0,81417.0,1635.0,15542.0,2379.0,97002.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_NH,3396.0,84813.0,2682.0,18224.0,6078.0,103080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_NH,3811.0,88624.0,3557.0,21781.0,7371.0,110451.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_NH,3681.0,92305.0,3274.0,25055.0,6957.0,117408.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_NH,3843.0,96148.0,2489.0,27544.0,6332.0,123740.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_NH,2376.0,98524.0,2192.0,29736.0,4573.0,128313.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_NH,1517.0,100041.0,685.0,30421.0,2202.0,130515.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_NH,3323.0,103364.0,1960.0,32381.0,5284.0,135799.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_NH,678.0,104042.0,1749.0,34130.0,2472.0,138271.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_NH,4070.0,108112.0,2738.0,36868.0,6815.0,145086.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_NH,4432.0,112544.0,3621.0,40489.0,8059.0,153145.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_NH,3979.0,116523.0,3399.0,43888.0,8033.0,161178.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_NH,3029.0,119552.0,1679.0,45567.0,4709.0,165887.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_NH,211.0,119763.0,504.0,46071.0,716.0,166603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_NH,1438.0,121201.0,1338.0,47409.0,2124.0,168727.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_NH,4265.0,125466.0,3193.0,50602.0,7465.0,176192.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_NH,5340.0,130806.0,2543.0,53145.0,7911.0,184103.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_NH,4451.0,135257.0,2551.0,55696.0,7011.0,191114.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_NH,5851.0,141108.0,3706.0,59402.0,9561.0,200675.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_NH,5610.0,146718.0,2256.0,61658.0,7866.0,208541.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_NH,,,,,0.0,208541.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_NH,4530.0,151248.0,3577.0,65235.0,8108.0,216649.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_NH,793.0,152041.0,873.0,66108.0,1667.0,218316.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_NH,5037.0,157078.0,3509.0,69617.0,8547.0,226863.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_NH,9413.0,166491.0,5104.0,74721.0,14523.0,241386.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_NH,5267.0,171758.0,3640.0,78361.0,8910.0,250296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_NH,7381.0,179139.0,3129.0,81490.0,10513.0,260809.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_NH,12990.0,192129.0,3818.0,85308.0,7084.0,267893.0,,,,,,,,,,,,,,,,,,,,,,,,
