date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_NJ,,206737.0,,14306.0,,221045.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_NJ,28415.0,235152.0,0.0,,42377.0,263422.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_NJ,43804.0,278956.0,22435.0,36741.0,53648.0,317070.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_NJ,75697.0,354653.0,7138.0,43879.0,83078.0,400148.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_NJ,26506.0,381159.0,5541.0,49420.0,32072.0,432220.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_NJ,0.0,381159.0,0.0,49420.0,0.0,432220.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_NJ,25335.0,406494.0,6793.0,56213.0,32143.0,464363.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_NJ,31217.0,437711.0,5293.0,61506.0,36526.0,500889.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_NJ,31049.0,468760.0,3658.0,65164.0,34736.0,535625.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_NJ,23301.0,492061.0,4210.0,69374.0,27516.0,563141.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_NJ,9751.0,501812.0,2838.0,72212.0,12592.0,575733.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_NJ,28600.0,530412.0,7436.0,79648.0,36129.0,611862.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_NJ,27744.0,558156.0,8550.0,88198.0,36353.0,648215.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_NJ,58462.0,616618.0,20542.0,108740.0,79211.0,727426.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_NJ,32417.0,649035.0,9051.0,117791.0,41518.0,768944.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_NJ,21118.0,670153.0,5356.0,123147.0,26496.0,795440.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_NJ,10438.0,680591.0,4405.0,127552.0,14853.0,810293.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_NJ,16727.0,697318.0,9544.0,137096.0,26291.0,836584.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_NJ,6639.0,703957.0,8474.0,145570.0,15137.0,851721.0,,,,,,,,,,,,,,,,,,,,,,,,
