date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_NM,,43344.0,,11335.0,,78235.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_NM,2529.0,45873.0,1091.0,12426.0,3620.0,81855.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_NM,27555.0,73428.0,0.0,,7560.0,89415.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_NM,6744.0,80172.0,6285.0,18711.0,9890.0,99305.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_NM,32278.0,112450.0,4525.0,23236.0,38845.0,138150.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_NM,3678.0,116128.0,1470.0,24706.0,5152.0,143302.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_NM,6828.0,122956.0,2308.0,27014.0,9163.0,152465.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_NM,7255.0,130211.0,2264.0,29278.0,9580.0,162045.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_NM,18753.0,148964.0,3855.0,33133.0,22653.0,184698.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_NM,13672.0,162636.0,1745.0,34878.0,15443.0,200141.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_NM,3894.0,166530.0,629.0,35507.0,4529.0,204670.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_NM,5049.0,171579.0,316.0,35823.0,5466.0,210136.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_NM,4459.0,176038.0,2469.0,38292.0,6939.0,217075.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_NM,4234.0,180272.0,3377.0,41669.0,7617.0,224692.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_NM,8810.0,189082.0,5209.0,46878.0,14063.0,238755.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_NM,6245.0,195327.0,3275.0,50153.0,9566.0,248321.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_NM,9641.0,204968.0,6161.0,56314.0,15826.0,264147.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_NM,7248.0,212216.0,3785.0,60099.0,11077.0,275224.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_NM,1725.0,213941.0,641.0,60740.0,2393.0,277617.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_NM,5092.0,219033.0,2081.0,62821.0,7213.0,284830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_NM,5257.0,224290.0,4425.0,67246.0,9736.0,294566.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_NM,7574.0,231864.0,4705.0,71951.0,12379.0,306945.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_NM,8652.0,240516.0,6823.0,78774.0,15666.0,322611.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_NM,4814.0,245330.0,4326.0,83100.0,9182.0,331793.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_NM,5752.0,251082.0,4816.0,87916.0,10993.0,342786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_NM,2452.0,253534.0,822.0,88738.0,3278.0,346064.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_NM,4539.0,258073.0,3982.0,92720.0,8563.0,354627.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_NM,6032.0,264105.0,8945.0,101665.0,15237.0,369864.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_NM,8220.0,272325.0,10289.0,111954.0,18942.0,388806.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_NM,4495.0,276820.0,6425.0,118379.0,11105.0,399911.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_NM,9718.0,286538.0,9937.0,128316.0,19971.0,419882.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_NM,,,,,0.0,419882.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_NM,14171.0,300709.0,9204.0,137520.0,23477.0,443359.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_NM,2111.0,302820.0,1742.0,139262.0,4020.0,447379.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_NM,3684.0,306504.0,4787.0,144049.0,8655.0,456034.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_NM,73102.0,379606.0,33073.0,177122.0,106546.0,562580.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_NM,7073.0,386679.0,8982.0,186104.0,16336.0,578916.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_NM,8162.0,394841.0,8667.0,194771.0,17035.0,595951.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_NM,14664.0,409505.0,5688.0,200459.0,8781.0,604732.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US_NM,5291.0,414796.0,2982.0,203441.0,7764.0,612496.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US_NM,0.0,414796.0,3063.0,206504.0,0.0,612496.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US_NM,3065.0,417861.0,7907.0,214411.0,6170.0,618666.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US_NM,20809.0,438670.0,10232.0,224643.0,38452.0,657118.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US_NM,11888.0,450558.0,8883.0,233526.0,20969.0,678087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US_NM,16935.0,467493.0,11831.0,245357.0,27451.0,705538.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US_NM,2692.0,470185.0,3258.0,248615.0,6074.0,711612.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US_NM,5274.0,475459.0,6017.0,254632.0,9877.0,721489.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US_NM,8461.0,483920.0,5903.0,260535.0,14441.0,735930.0,,,,,,,,,,,,,,,,,,,,,,,,
