date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_OH,,311867.0,,,,311890.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_OH,17428.0,329295.0,,,17428.0,329318.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_OH,9666.0,338961.0,,,19106.0,348424.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_OH,22857.0,361818.0,,13552.0,27004.0,375428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_OH,82994.0,444812.0,13587.0,27139.0,96656.0,472084.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_OH,11612.0,456424.0,3771.0,30910.0,15397.0,487481.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_OH,0.0,456424.0,0.0,30910.0,0.0,487481.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_OH,44133.0,500557.0,13851.0,44761.0,58018.0,545499.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_OH,34987.0,535544.0,14392.0,59153.0,49425.0,594924.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_OH,39944.0,575488.0,12191.0,71344.0,52180.0,647104.0,,,,,,,,,,,,,,,,,,,,,,,,
