date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_OK,,109045.0,,17463.0,,157843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_OK,9741.0,118786.0,4815.0,22278.0,14560.0,172403.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_OK,41249.0,160035.0,0.0,,14863.0,187266.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_OK,13127.0,173162.0,6639.0,28917.0,16144.0,203410.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_OK,36525.0,209687.0,2002.0,30919.0,38683.0,242093.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_OK,8003.0,217690.0,1389.0,32308.0,9591.0,251684.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_OK,13212.0,230902.0,2398.0,34706.0,15750.0,267434.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_OK,17052.0,247954.0,2729.0,37435.0,20068.0,287502.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_OK,15361.0,263315.0,1855.0,39290.0,17304.0,304806.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_OK,15968.0,279283.0,1999.0,41289.0,18004.0,322810.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_OK,3396.0,282679.0,345.0,41634.0,3736.0,326546.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_OK,2120.0,284799.0,180.0,41814.0,2328.0,328874.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_OK,11509.0,296308.0,4782.0,46596.0,16270.0,345144.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_OK,12150.0,308458.0,5869.0,52465.0,18109.0,363253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_OK,15167.0,323625.0,8215.0,60680.0,23435.0,386688.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_OK,15757.0,339382.0,7830.0,68510.0,23617.0,410305.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_OK,17509.0,356891.0,9949.0,78459.0,27680.0,437985.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_OK,3779.0,360670.0,1772.0,80231.0,5596.0,443581.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_OK,1859.0,362529.0,234.0,80465.0,2094.0,445675.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_OK,9491.0,372020.0,7131.0,87596.0,16765.0,462440.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_OK,10024.0,382044.0,11758.0,99354.0,21944.0,484384.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_OK,11269.0,393313.0,14854.0,114208.0,26309.0,510693.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_OK,13046.0,406359.0,17348.0,131556.0,30559.0,541252.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_OK,18253.0,424612.0,14054.0,145610.0,32494.0,573746.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_OK,6887.0,431499.0,5409.0,151019.0,12308.0,586054.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_OK,923.0,432422.0,1224.0,152243.0,2153.0,588207.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_OK,8192.0,440614.0,9945.0,162188.0,18199.0,606406.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_OK,11552.0,452166.0,10321.0,172509.0,21955.0,628361.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_OK,5890.0,458056.0,6057.0,178566.0,11992.0,640353.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_OK,10143.0,468199.0,10286.0,188852.0,20482.0,660835.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_OK,9179.0,477378.0,12192.0,201044.0,21519.0,682354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_OK,,,,,0.0,682354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_OK,7100.0,484478.0,5129.0,206173.0,12262.0,694616.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_OK,1085.0,485563.0,732.0,206905.0,1821.0,696437.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_OK,1689.0,487252.0,2298.0,209203.0,4003.0,700440.0,,,,,,,,,,,,,,,,,,,,,,,,
