date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_SC,,77042.0,,3954.0,,81075.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_SC,10542.0,87584.0,8259.0,12213.0,18812.0,99887.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_SC,8647.0,96231.0,0.0,,15968.0,115855.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_SC,5491.0,101722.0,7264.0,19477.0,5981.0,121836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_SC,53826.0,155548.0,10766.0,30243.0,65339.0,187175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_SC,4970.0,160518.0,436.0,30679.0,5433.0,192608.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_SC,13388.0,173906.0,3598.0,34277.0,17023.0,209631.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_SC,15264.0,189170.0,3906.0,38183.0,19371.0,229002.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_SC,17493.0,206663.0,2629.0,40812.0,20153.0,249155.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_SC,26594.0,233257.0,2998.0,43810.0,29640.0,278795.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_SC,24758.0,258015.0,3753.0,47563.0,28553.0,307348.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_SC,9247.0,267262.0,594.0,48157.0,9863.0,317211.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_SC,8029.0,275291.0,1712.0,49869.0,9774.0,326985.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_SC,27599.0,302890.0,5314.0,55183.0,32964.0,359949.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_SC,19305.0,322195.0,5791.0,60974.0,25209.0,385158.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_SC,17349.0,339544.0,5312.0,66286.0,22702.0,407860.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_SC,22013.0,361557.0,8173.0,74459.0,31681.0,439541.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_SC,17579.0,379136.0,5579.0,80038.0,23210.0,462751.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_SC,6772.0,385908.0,1165.0,81203.0,7945.0,470696.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_SC,5677.0,391585.0,2807.0,84010.0,8506.0,479202.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_SC,12181.0,403766.0,5973.0,89983.0,18231.0,497433.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_SC,14753.0,418519.0,6502.0,96485.0,21459.0,518892.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_SC,16560.0,435079.0,6947.0,103432.0,23987.0,542879.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_SC,15452.0,450531.0,9737.0,113169.0,26038.0,568917.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_SC,9980.0,460511.0,6037.0,119206.0,16775.0,585692.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_SC,0.0,460511.0,0.0,119206.0,0.0,585692.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_SC,14605.0,475116.0,7625.0,126831.0,22370.0,608062.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_SC,12302.0,487418.0,6817.0,133648.0,20434.0,628496.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_SC,12587.0,500005.0,7158.0,140806.0,20879.0,649375.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_SC,12151.0,512156.0,12208.0,153014.0,25468.0,674843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_SC,13485.0,525641.0,14685.0,167699.0,29343.0,704186.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_SC,,,,,0.0,704186.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_SC,17066.0,542707.0,15798.0,183497.0,34290.0,738476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_SC,9236.0,551943.0,7403.0,190900.0,16946.0,755422.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_SC,11056.0,562999.0,10803.0,201703.0,22691.0,778113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_SC,47293.0,610292.0,21184.0,222887.0,69941.0,848054.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_SC,15585.0,625877.0,14405.0,237292.0,31722.0,879776.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_SC,12487.0,638364.0,17534.0,254826.0,30893.0,910669.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_SC,22061.0,660425.0,17626.0,272452.0,21919.0,932588.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US_SC,4712.0,665137.0,4040.0,276492.0,8548.0,941136.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US_SC,0.0,665137.0,10026.0,286518.0,0.0,941136.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US_SC,21937.0,687074.0,13626.0,300144.0,32567.0,973703.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US_SC,23361.0,710435.0,13141.0,313285.0,51613.0,1025316.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US_SC,14958.0,725393.0,17045.0,330330.0,32653.0,1057969.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US_SC,12265.0,737658.0,15288.0,345618.0,28581.0,1086550.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US_SC,17626.0,755284.0,11678.0,357296.0,30261.0,1116811.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US_SC,4320.0,759604.0,2487.0,359783.0,6238.0,1123049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US_SC,9031.0,768635.0,17939.0,377722.0,27150.0,1150199.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,US_SC,15880.0,784515.0,34285.0,412007.0,52554.0,1202753.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,US_SC,0.0,784515.0,13512.0,425519.0,0.0,1202753.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,US_SC,39309.0,823824.0,28667.0,454186.0,81822.0,1284575.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,US_SC,27576.0,851400.0,33834.0,488020.0,62755.0,1347330.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,US_SC,21892.0,873292.0,11268.0,499288.0,33180.0,1380510.0,,,,358773.0,,883872.0,,,,139644.0,,494999.0,,,,669.0,,630.0,,,,,,
2021-03-09,US_SC,11852.0,885144.0,6282.0,505570.0,16852.0,1397362.0,,,2991.0,361764.0,7233.0,891105.0,,,2368.0,142012.0,8600.0,503599.0,,,923.0,1592.0,1005.0,1635.0,,,,,,
2021-03-10,US_SC,17401.0,902545.0,10610.0,516180.0,25654.0,1423016.0,,,5575.0,367339.0,11355.0,902460.0,,,2894.0,144906.0,12026.0,515625.0,,,2140.0,3732.0,2272.0,3907.0,,,,,,
