date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_VA,,,,,,190607.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_VA,,,,,27229.0,217836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_VA,,192918.0,,,0.0,217836.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_VA,21814.0,214732.0,,28164.0,26398.0,244234.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_VA,75414.0,290146.0,7075.0,35239.0,82660.0,326894.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_VA,14014.0,304160.0,2440.0,37679.0,16472.0,343366.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_VA,16015.0,320175.0,2661.0,40340.0,18726.0,362092.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_VA,33633.0,353808.0,5664.0,46004.0,39356.0,401448.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_VA,22570.0,376378.0,3003.0,49007.0,27849.0,429297.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_VA,16749.0,393127.0,2163.0,51170.0,22371.0,451668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_VA,22557.0,415684.0,8682.0,59852.0,31305.0,482973.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_VA,81371.0,497055.0,12776.0,72628.0,111855.0,594828.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_VA,27141.0,524196.0,6815.0,79443.0,34191.0,629019.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_VA,28713.0,552909.0,10202.0,89645.0,39382.0,668401.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_VA,45944.0,598853.0,10145.0,99790.0,56367.0,724768.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_VA,49525.0,648378.0,11087.0,110877.0,61152.0,785920.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_VA,39505.0,687883.0,7735.0,118612.0,47301.0,833221.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_VA,30230.0,718113.0,7321.0,125933.0,37599.0,870820.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_VA,23904.0,742017.0,6359.0,132292.0,30393.0,901213.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_VA,15527.0,757544.0,6029.0,138321.0,21727.0,922940.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_VA,17046.0,774590.0,8616.0,146937.0,26126.0,949066.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_VA,31034.0,805624.0,12302.0,159239.0,44782.0,993848.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_VA,36963.0,842587.0,21512.0,180751.0,58729.0,1052577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_VA,33255.0,875842.0,17364.0,198115.0,50793.0,1103370.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_VA,21207.0,897049.0,10989.0,209104.0,32269.0,1135639.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_VA,14965.0,912014.0,10719.0,219823.0,25951.0,1161590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_VA,13572.0,925586.0,11785.0,231608.0,25750.0,1187340.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_VA,19596.0,945182.0,16176.0,247784.0,35859.0,1223199.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_VA,26017.0,971199.0,25322.0,273106.0,51639.0,1274838.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_VA,21957.0,993156.0,33378.0,306484.0,55467.0,1330305.0,,,,,,,,,,,,,,,,,,,,,,,,
