date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_VI,,,,,,880.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_VI,,,,,315.0,1195.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_VI,,1267.0,,,229.0,1424.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_VI,207.0,1474.0,,157.0,207.0,1631.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_VI,496.0,1970.0,8.0,165.0,504.0,2135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_VI,208.0,2178.0,75.0,240.0,283.0,2418.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_VI,272.0,2450.0,54.0,294.0,326.0,2744.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_VI,253.0,2703.0,73.0,367.0,326.0,3070.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_VI,243.0,2946.0,42.0,409.0,285.0,3355.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_VI,23.0,2969.0,0.0,409.0,23.0,3378.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_VI,15.0,2984.0,6.0,415.0,21.0,3399.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_VI,267.0,3251.0,81.0,496.0,348.0,3747.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_VI,287.0,3538.0,140.0,636.0,427.0,4174.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_VI,363.0,3901.0,83.0,719.0,446.0,4620.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_VI,466.0,4367.0,170.0,889.0,636.0,5256.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_VI,531.0,4898.0,180.0,1069.0,711.0,5967.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_VI,22.0,4920.0,19.0,1088.0,41.0,6008.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_VI,106.0,5026.0,2.0,1090.0,108.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_VI,421.0,5447.0,172.0,1262.0,593.0,6709.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_VI,459.0,5906.0,219.0,1481.0,678.0,7387.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_VI,331.0,6237.0,494.0,1975.0,825.0,8212.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_VI,436.0,6673.0,236.0,2211.0,672.0,8884.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_VI,288.0,6961.0,294.0,2505.0,582.0,9466.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_VI,11.0,6972.0,0.0,2505.0,11.0,9477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_VI,42.0,7014.0,10.0,2515.0,52.0,9529.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_VI,299.0,7313.0,236.0,2751.0,535.0,10064.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_VI,449.0,7762.0,205.0,2956.0,654.0,10718.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_VI,277.0,8039.0,173.0,3129.0,450.0,11168.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_VI,365.0,8404.0,158.0,3287.0,523.0,11691.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_VI,245.0,8649.0,246.0,3533.0,491.0,12182.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_VI,81.0,8730.0,25.0,3558.0,106.0,12288.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_VI,,,,,0.0,12288.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_VI,76.0,8806.0,54.0,3612.0,130.0,12418.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_VI,496.0,9302.0,248.0,3860.0,744.0,13162.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_VI,171.0,9473.0,315.0,4175.0,486.0,13648.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_VI,926.0,10399.0,277.0,4452.0,1203.0,14851.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_VI,,,,,975.0,15826.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_VI,,,,,297.0,16123.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_VI,628.0,11027.0,429.0,4881.0,64.0,16187.0,,,,,,,,,,,,,,,,,,,,,,,,
