date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_WA,,162105.0,,17689.0,,195567.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_WA,7545.0,169650.0,4936.0,22625.0,12671.0,208238.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_WA,17800.0,187450.0,0.0,,17000.0,225238.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_WA,13232.0,200682.0,8956.0,31581.0,17368.0,242606.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_WA,64825.0,265507.0,13656.0,45237.0,78594.0,321200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_WA,20993.0,286500.0,4494.0,49731.0,25565.0,346765.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_WA,20442.0,306942.0,6171.0,55902.0,26658.0,373423.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_WA,23415.0,330357.0,6250.0,62152.0,29712.0,403135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_WA,28860.0,359217.0,4975.0,67127.0,33862.0,436997.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_WA,11014.0,370231.0,1359.0,68486.0,12388.0,449385.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_WA,34095.0,404326.0,5252.0,73738.0,39400.0,488785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_WA,16402.0,420728.0,2406.0,76144.0,18825.0,507610.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_WA,21167.0,441895.0,5642.0,81786.0,26835.0,534445.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_WA,26633.0,468528.0,9947.0,91733.0,36690.0,571135.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_WA,27480.0,496008.0,8222.0,99955.0,35936.0,607071.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_WA,28458.0,524466.0,8266.0,108221.0,36880.0,643951.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_WA,31039.0,555505.0,9177.0,117398.0,40393.0,684344.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_WA,26915.0,582420.0,9274.0,126672.0,36259.0,720603.0,,,,,,,,,,,,,,,,,,,,,,,,
