date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_WI,,125895.0,,11343.0,,137253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_WI,0.0,125895.0,0.0,11343.0,0.0,137253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_WI,9946.0,135841.0,0.0,,12702.0,149955.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_WI,15546.0,151387.0,5765.0,17108.0,19848.0,169803.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_WI,36757.0,188144.0,6533.0,23641.0,43695.0,213498.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_WI,5317.0,193461.0,3671.0,27312.0,8994.0,222492.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_WI,11285.0,204746.0,4956.0,32268.0,16266.0,238758.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_WI,16321.0,221067.0,5633.0,37901.0,22063.0,260821.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_WI,20445.0,241512.0,4328.0,42229.0,24809.0,285630.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_WI,19152.0,260664.0,3412.0,45641.0,22660.0,308290.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_WI,5817.0,266481.0,1768.0,47409.0,7586.0,315876.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_WI,1610.0,268091.0,608.0,48017.0,2220.0,318096.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_WI,13075.0,281166.0,4315.0,52332.0,17423.0,335519.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_WI,21173.0,302339.0,5176.0,57508.0,26398.0,361917.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_WI,36957.0,339296.0,7846.0,65354.0,44952.0,406869.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_WI,36635.0,375931.0,6622.0,71976.0,43382.0,450251.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_WI,33683.0,409614.0,6926.0,78902.0,40807.0,491058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_WI,19995.0,429609.0,2195.0,81097.0,22327.0,513385.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_WI,7847.0,437456.0,426.0,81523.0,8649.0,522034.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_WI,20312.0,457768.0,3307.0,84830.0,26138.0,548172.0,,,,,,,,,,,,,,,,,,,,,,,,
