date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_WV,,,,,,103330.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_WV,,,,,7379.0,110709.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_WV,,99061.0,,,7951.0,118660.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_WV,13973.0,113034.0,,21162.0,15547.0,134207.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_WV,15889.0,128923.0,2561.0,23723.0,18450.0,152657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_WV,4006.0,132929.0,1958.0,25681.0,5964.0,158621.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_WV,3021.0,135950.0,5906.0,31587.0,8927.0,167548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_WV,9411.0,145361.0,3803.0,35390.0,13214.0,180762.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_WV,11493.0,156854.0,2589.0,37979.0,14082.0,194844.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_WV,6947.0,163801.0,1092.0,39071.0,8039.0,202883.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_WV,727.0,164528.0,382.0,39453.0,1109.0,203992.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_WV,3132.0,167660.0,3368.0,42821.0,6500.0,210492.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_WV,2011.0,169671.0,2423.0,45244.0,4434.0,214926.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_WV,4079.0,173750.0,5599.0,50843.0,9678.0,224604.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_WV,8089.0,181839.0,7270.0,58113.0,15359.0,239963.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_WV,9386.0,191225.0,7052.0,65165.0,16438.0,256401.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_WV,1355.0,192580.0,2018.0,67183.0,3373.0,259774.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_WV,371.0,192951.0,180.0,67363.0,551.0,260325.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_WV,1350.0,194301.0,2530.0,69893.0,3880.0,264205.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_WV,899.0,195200.0,2563.0,72456.0,3860.0,268065.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_WV,2739.0,197939.0,5949.0,78405.0,8688.0,276753.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_WV,5792.0,203731.0,9274.0,87679.0,15066.0,291819.0,,,,,,,,,,,,,,,,,,,,,,,,
